,S15_PM10,S15_SO2,S15_NO2,S15_NOX,S15_NO,S15_O3,OUT
132,31.0,3.57,16.19,20.49,4.3,30.4,2
133,28.08,2.42,16.57,20.1,3.53,32.24,2
134,27.84,1.82,21.65,24.81,3.16,31.66,2
135,25.0,3.9,50.69,58.92,8.22,22.31,3
136,22.46,9.02,181.99,337.94,155.95,5.55,3
137,44.78,21.58,122.95,197.9,74.95,4.84,3
138,71.09,17.78,87.37,117.64,30.26,6.15,3
139,60.94,7.41,55.74,63.08,7.34,13.33,2
140,46.17,6.51,77.73,102.21,24.48,10.71,3
141,47.42,7.03,166.07,322.48,156.4,4.34,3
142,46.45,5.69,135.29,247.98,112.68,3.87,2
143,46.42,3.72,49.01,54.71,5.7,7.33,2
144,33.85,4.72,55.36,66.4,11.04,6.84,2
145,26.25,3.96,51.33,62.99,11.67,7.54,2
146,24.83,3.69,74.72,110.41,35.69,4.74,2
147,21.39,2.85,83.44,133.0,49.56,3.76,2
148,16.78,2.44,94.97,157.44,62.47,3.9,3
149,17.92,3.9,156.12,319.86,163.74,4.17,3
150,24.72,7.53,114.52,213.67,99.15,5.54,5
151,220.71,9.72,81.15,131.09,49.94,9.48,5
152,272.58,9.35,72.06,114.39,42.33,13.2,3
153,68.29,7.99,46.15,64.88,18.72,17.39,2
154,48.44,6.78,57.45,80.09,22.64,19.27,3
155,56.57,5.37,33.21,43.96,10.74,22.77,2
156,42.2,4.95,28.46,37.87,9.4,22.65,1
157,23.77,4.61,25.97,31.73,5.76,25.15,2
158,25.52,6.28,78.26,109.54,31.28,14.35,3
159,31.28,7.06,177.39,341.58,164.18,4.48,3
160,57.45,9.02,99.77,156.94,57.17,4.4,3
161,89.57,17.92,170.98,354.32,183.34,4.91,4
162,96.08,18.83,145.9,303.76,157.87,4.36,4
163,101.83,15.26,156.38,335.46,179.08,4.44,4
164,105.17,10.65,97.41,179.09,81.68,3.67,4
165,93.19,12.68,100.89,183.54,82.64,3.86,3
166,80.82,10.94,97.75,185.57,87.82,3.87,3
167,74.61,8.32,85.37,147.34,61.97,3.77,3
168,59.1,8.63,90.28,164.98,74.71,3.8,3
169,85.49,7.41,31.46,42.27,10.81,20.21,3
170,74.66,6.26,23.97,31.84,7.87,22.73,3
171,57.6,5.94,25.42,32.77,7.35,23.99,2
172,43.84,5.17,20.83,25.28,4.45,30.82,2
173,39.9,5.28,36.94,42.98,6.03,27.09,3
174,32.82,6.53,116.28,172.85,56.57,9.46,3
175,43.76,7.42,108.38,166.28,57.9,4.32,3
176,75.27,12.44,163.81,328.1,164.3,4.68,3
177,86.62,9.6,106.64,191.19,84.56,3.83,3
178,84.52,7.68,140.07,277.35,137.28,3.85,3
179,87.02,7.85,117.32,225.4,108.08,3.95,3
180,85.85,6.19,81.37,134.33,52.97,3.92,3
181,79.99,4.99,62.21,90.3,28.09,3.77,3
182,68.88,5.89,70.32,109.54,39.22,3.97,3
183,55.16,6.32,65.15,106.03,40.88,3.83,2
184,49.58,3.22,39.33,49.29,9.96,4.63,2
185,44.95,2.39,43.24,61.18,17.94,4.96,2
186,34.68,2.42,40.12,55.11,14.99,4.8,2
187,34.33,2.4,47.91,64.47,16.56,4.4,3
188,39.66,9.26,119.53,232.48,112.95,5.16,4
189,140.21,12.22,86.9,150.88,63.98,5.42,5
190,193.65,11.0,55.7,83.11,27.4,7.31,3
191,50.71,9.68,30.99,43.64,12.65,13.42,1
192,24.6,6.21,32.08,39.88,7.8,17.31,1
193,20.31,5.35,28.88,34.78,5.9,21.12,2
194,19.53,6.75,74.16,112.74,38.58,11.52,3
195,23.38,10.65,121.28,223.86,102.59,4.06,3
196,37.64,11.69,117.96,230.4,112.44,4.19,3
197,53.74,8.91,116.32,233.97,117.65,3.99,3
198,52.28,7.48,79.28,134.67,55.39,3.69,3
199,53.0,8.3,84.15,152.68,68.52,3.83,2
200,44.5,5.51,69.92,118.99,49.07,3.69,2
