,S15_PM10,S15_SO2,S15_NO2,S15_NOX,S15_NO,S15_O3,OUT
1206,11.18,1.33,9.74,14.43,4.7,44.44,1
1207,7.83,1.28,8.22,12.23,4.01,43.03,1
1208,7.01,1.44,21.08,26.32,5.25,25.85,1
1209,8.2,1.48,27.66,33.27,5.61,14.39,1
1210,9.42,1.49,20.23,26.39,6.16,21.23,1
1211,12.72,1.86,16.69,24.1,7.41,26.28,1
1212,13.88,2.13,16.38,24.98,8.6,27.28,1
1213,23.05,1.57,15.08,23.01,7.93,34.68,1
1214,19.22,2.62,14.57,20.9,6.32,48.64,1
1215,22.97,2.61,13.15,19.44,6.29,53.68,2
1216,18.61,1.86,11.06,16.64,5.58,62.67,2
1217,15.06,1.09,11.62,19.11,7.49,69.81,1
1218,14.67,1.44,14.61,25.08,10.47,59.48,2
1219,20.76,1.06,15.02,21.69,6.67,60.83,2
1220,19.02,0.91,16.91,24.17,7.26,61.85,1
1221,16.41,0.99,32.41,38.26,5.84,50.01,3
1222,17.3,1.28,109.09,164.51,55.42,10.36,3
1223,43.89,2.13,132.34,241.36,109.03,3.79,3
1224,62.52,2.04,99.59,178.91,79.32,3.55,3
1225,67.99,1.94,109.66,220.24,110.58,3.54,3
1226,77.31,1.51,86.44,158.41,71.97,3.1,3
1227,82.04,1.51,80.77,148.15,67.38,3.01,3
1228,76.0,1.53,66.0,113.44,47.44,2.64,3
1229,65.83,1.43,54.56,89.7,35.14,2.98,3
1230,54.34,1.36,45.1,64.35,19.25,3.96,2
1231,45.53,1.15,45.07,66.16,21.09,7.08,2
1232,37.21,1.53,54.17,89.33,35.16,8.29,2
1233,39.47,2.47,42.66,61.75,19.1,23.69,2
1234,43.73,2.83,45.25,66.72,21.46,26.84,2
1235,42.86,2.27,21.01,30.31,9.3,40.96,2
1236,38.87,2.66,11.62,17.64,6.02,49.9,2
1237,36.92,1.62,9.86,15.76,5.9,58.76,2
1238,40.29,1.46,12.66,19.23,6.56,64.01,2
1239,39.26,1.25,13.82,21.05,7.23,67.65,1
1240,22.11,1.33,10.5,14.0,3.49,51.25,1
1241,19.12,1.13,15.88,21.56,5.67,54.6,2
1242,35.32,1.22,15.17,21.31,6.14,60.01,2
1243,34.15,1.18,15.01,19.96,4.96,66.84,2
1244,38.09,1.35,19.12,23.39,4.27,50.83,2
1245,42.32,2.04,15.43,20.16,4.73,44.82,2
1246,33.06,2.19,16.9,21.03,4.13,39.28,1
1247,23.21,2.23,30.61,36.29,5.68,30.64,1
1248,21.97,2.12,47.66,52.63,4.97,18.44,1
1249,16.86,2.15,35.19,41.28,6.1,23.24,1
1250,14.34,2.05,31.15,35.55,4.39,19.51,2
1251,22.05,2.25,64.05,82.82,18.77,4.3,1
1252,24.54,2.07,48.52,60.47,11.94,9.26,1
1253,22.16,1.94,13.62,15.68,2.06,22.24,1
1254,12.29,1.88,10.38,12.54,2.15,25.01,1
1255,11.44,1.94,13.02,14.98,1.96,22.64,1
1256,9.49,1.96,17.09,21.38,4.29,22.02,1
1257,7.43,1.99,28.69,40.8,12.11,21.76,1
1258,10.55,2.12,23.95,34.17,10.22,25.78,1
1259,9.56,2.13,15.75,22.53,6.78,29.51,1
1260,7.9,2.2,12.03,17.38,5.36,30.92,1
1261,10.07,2.23,14.44,20.97,6.52,28.72,1
1262,7.99,2.32,11.33,15.64,4.31,32.65,1
1263,7.49,2.48,19.11,24.75,5.64,28.43,1
1264,13.23,2.45,10.41,14.38,3.97,30.2,1
1265,12.06,2.36,11.45,15.72,4.26,28.37,1
1266,9.38,2.31,14.79,20.27,5.48,29.45,1
1267,9.18,2.3,17.29,23.21,5.92,28.02,1
1268,7.04,2.17,15.6,20.57,4.97,28.48,1
1269,16.95,2.06,13.19,17.57,4.38,28.42,1
1270,13.96,1.92,14.61,19.02,4.41,26.94,1
1271,10.48,1.94,31.41,39.14,7.73,17.42,1
1272,8.35,1.92,37.64,41.93,4.3,12.12,1
1273,8.79,1.88,38.37,47.3,8.93,9.45,1
1274,13.5,1.76,13.59,15.66,2.07,22.27,1
1275,11.59,1.79,8.71,11.72,3.01,27.24,1
1276,8.46,1.83,15.73,18.23,2.5,24.48,1
1277,6.6,1.78,16.03,20.13,4.1,25.65,1
1278,5.4,1.74,13.26,17.31,4.05,28.49,1
1279,6.6,1.81,15.87,24.14,8.27,29.3,1
1280,11.55,1.66,12.2,18.08,5.89,28.0,1
1281,12.91,1.72,9.53,13.64,4.11,29.44,1
1282,9.94,1.76,13.4,19.59,6.2,29.11,1
1283,8.03,1.74,13.09,16.72,3.63,25.89,1
1284,6.95,1.81,10.98,15.44,4.46,28.96,1
1285,5.78,1.87,9.77,14.12,4.35,34.39,1
1286,7.34,1.95,12.15,16.94,4.79,34.95,1
1287,6.84,2.07,11.19,15.37,4.18,36.23,1
1288,5.21,2.21,10.81,14.5,3.7,38.61,1
1289,4.12,2.04,18.25,24.74,6.49,32.8,1
1290,2.99,2.11,20.02,22.69,2.66,31.31,1
1291,2.09,2.03,37.37,41.52,4.16,24.08,1
1292,10.56,2.01,46.34,51.17,4.83,15.51,1
1293,14.08,1.89,35.97,38.43,2.46,15.5,1
1294,11.89,1.95,24.59,26.56,1.97,18.65,1
1295,7.41,1.85,21.97,24.12,2.15,20.48,1
1296,6.27,1.8,19.8,23.47,3.66,20.58,1
1297,4.72,1.79,17.42,22.25,4.83,22.24,1
1298,7.03,1.74,17.45,23.13,5.67,23.77,1
1299,7.66,1.81,17.14,23.39,6.25,25.6,1
1300,5.96,1.86,11.38,15.3,3.92,33.18,1
1301,5.46,1.83,10.2,13.93,3.73,35.37,1
1302,14.38,1.97,9.57,14.52,4.95,40.71,1
1303,12.9,1.97,10.14,14.41,4.26,41.9,1
1304,11.72,2.17,10.89,14.72,3.84,44.36,1
1305,9.33,2.19,11.54,15.23,3.7,42.19,1
1306,11.27,2.3,10.21,14.22,4.01,39.24,1
1307,9.38,2.38,12.71,17.01,4.3,39.21,1
1308,10.51,2.47,14.22,18.12,3.9,44.23,1
1309,9.12,2.4,19.52,22.71,3.19,38.63,2
1310,6.58,2.53,54.27,61.64,7.38,21.67,2
1311,4.61,2.48,64.85,74.59,9.74,12.87,1
1312,3.22,2.24,19.62,21.74,2.13,29.84,1
1313,5.85,2.29,18.92,20.9,1.99,30.86,1
1314,9.68,2.21,41.03,49.06,8.03,20.29,1
1315,13.4,2.35,39.17,42.6,3.43,13.61,1
1316,18.59,2.33,33.16,35.93,2.78,15.29,1
1317,18.27,2.24,31.41,34.51,3.1,14.3,1
1318,13.98,2.08,20.22,22.66,2.43,21.56,1
1319,19.65,1.94,18.33,25.0,6.67,27.6,1
1320,19.31,1.85,16.0,21.39,5.39,31.5,1
1321,14.77,1.78,15.2,20.63,5.44,33.4,1
1322,11.35,1.92,16.8,25.21,8.41,32.72,1
1323,10.33,2.18,11.08,14.1,3.02,37.81,1
1324,8.16,2.1,11.95,15.5,3.55,40.02,1
1325,6.41,2.23,14.0,19.82,5.82,42.15,1
1326,5.2,2.16,24.78,30.94,6.16,35.83,2
1327,16.31,2.42,51.31,58.28,6.98,20.83,2
1328,18.6,2.26,78.94,91.46,12.52,11.21,1
1329,14.96,1.92,24.18,28.97,4.79,14.31,1
1330,20.25,1.9,25.33,32.49,7.17,16.47,2
1331,25.06,1.92,14.92,20.95,6.03,29.62,1
1332,20.07,1.94,10.36,15.48,5.12,38.32,1
1333,16.14,1.79,11.48,16.39,4.91,34.82,1
1334,20.41,1.85,14.21,18.82,4.61,33.3,1
1335,17.87,2.13,12.94,17.55,4.61,36.08,1
1336,13.62,2.03,17.96,22.58,4.61,39.21,1
1337,15.24,2.24,34.38,40.37,5.99,31.2,2
1338,17.1,2.09,53.33,58.58,5.26,23.27,2
1339,20.25,2.19,65.31,76.23,10.93,17.42,1
1340,16.98,2.19,34.68,41.4,6.72,22.75,1
1341,17.06,2.07,25.1,29.12,4.02,25.01,1
1342,13.77,2.07,29.89,33.08,3.19,24.69,1
1343,15.55,2.06,39.63,43.04,3.41,19.02,1
1344,11.17,1.86,32.76,36.66,3.9,16.98,1
1345,9.83,1.95,34.5,38.05,3.54,10.82,1
1346,13.72,1.95,30.68,35.29,4.61,13.08,1
1347,17.56,1.84,39.86,51.98,12.13,13.6,2
1348,29.39,1.89,11.93,16.59,4.66,38.1,2
1349,25.03,1.84,12.05,15.75,3.7,42.47,2
1350,27.62,1.95,11.69,15.75,4.06,41.42,1
1351,22.14,2.09,14.72,18.7,3.98,38.25,1
1352,15.83,1.97,20.05,24.53,4.49,32.87,1
1353,16.25,1.96,26.65,32.37,5.72,31.58,1
1354,13.76,1.9,18.92,23.38,4.46,35.28,1
1355,10.0,2.02,25.65,32.11,6.46,34.01,1
1356,20.38,2.07,39.84,53.04,13.19,36.14,1
1357,17.56,2.08,28.35,35.75,7.4,33.71,1
1358,17.88,2.0,20.11,24.54,4.42,44.26,1
1359,18.28,1.87,42.03,47.78,5.75,29.5,2
1360,14.05,2.06,66.66,77.6,10.93,14.12,2
1361,22.44,2.08,86.19,120.56,34.37,4.36,2
1362,23.78,2.13,72.82,109.85,37.03,3.39,2
1363,25.09,2.0,81.63,145.01,63.38,2.93,2
1364,32.32,2.16,62.06,97.07,35.01,3.02,2
1365,29.54,1.83,53.52,67.15,13.63,4.14,2
1366,21.61,1.86,54.35,74.39,20.04,3.93,2
1367,22.46,1.96,60.26,103.08,42.82,4.7,2
1368,18.34,1.8,53.25,81.84,28.59,10.41,2
1369,26.17,1.64,47.24,69.16,21.91,16.1,2
1370,34.78,1.69,29.79,41.64,11.85,28.62,2
1371,33.82,1.8,16.86,23.06,6.2,33.14,2
1372,33.95,1.93,10.0,13.74,3.74,36.82,2
1373,25.84,2.08,9.44,13.23,3.79,42.68,1
1374,22.54,2.64,12.33,17.39,5.06,48.18,2
1375,25.42,3.45,13.35,18.23,4.88,51.3,1
1376,20.23,3.29,15.63,19.68,4.05,46.18,1
1377,14.45,2.54,28.87,35.81,6.94,28.77,1
1378,18.55,2.96,21.72,25.49,3.77,33.27,1
1379,15.45,2.81,27.89,30.89,3.0,30.36,1
1380,11.41,2.88,41.99,46.68,4.69,26.2,1
1381,8.34,2.86,39.06,42.47,3.42,27.97,1
1382,6.98,2.76,40.89,44.58,3.69,24.95,1
1383,5.96,2.6,28.53,31.1,2.57,31.54,1
1384,3.41,2.39,30.45,33.49,3.05,23.56,1
1385,2.5,2.38,49.35,60.64,11.3,15.03,2
1386,18.5,2.28,50.6,60.76,10.16,6.02,1
1387,17.9,2.1,43.03,54.8,11.78,4.65,1
1388,24.29,2.2,46.79,74.89,28.1,9.49,2
1389,33.48,1.93,29.81,42.14,12.33,24.58,2
1390,38.86,1.89,24.72,33.66,8.94,31.58,2
1391,31.26,1.95,22.74,30.85,8.1,31.66,2
1392,33.33,1.86,14.28,19.42,5.14,37.66,2
1393,37.46,2.02,13.65,19.69,6.04,46.64,2
1394,29.93,1.99,17.55,25.1,7.55,49.48,2
1395,30.66,2.1,11.87,15.68,3.8,50.17,1
1396,24.3,2.26,17.46,23.25,5.78,45.34,1
1397,19.86,2.28,13.06,16.68,3.61,48.68,1
1398,14.56,2.6,17.84,20.88,3.04,47.76,1
1399,20.09,2.53,36.48,44.88,8.4,34.02,2
1400,18.52,2.56,59.2,68.19,8.99,20.24,2
1401,15.99,2.61,71.25,81.08,9.84,15.04,2
1402,15.38,2.58,52.22,59.2,6.98,21.04,2
1403,12.13,2.61,60.37,68.23,7.86,12.06,2
1404,8.85,2.51,77.81,99.38,21.56,6.8,1
1405,9.44,2.38,32.54,35.84,3.3,22.22,1
1406,8.28,2.27,44.29,54.98,10.69,14.22,2
1407,6.66,2.49,52.99,68.44,15.45,3.95,2
1408,5.14,2.28,57.43,73.7,16.27,3.55,2
1409,12.16,2.22,50.06,63.73,13.66,3.82,1
1410,18.24,2.24,47.14,66.11,18.96,3.91,1
1411,15.52,2.22,35.65,47.96,12.31,10.48,1
1412,11.76,2.2,48.48,69.34,20.86,14.6,1
1413,14.48,1.95,20.4,26.55,6.15,32.63,1
1414,19.14,1.97,19.45,25.57,6.12,39.06,1
1415,10.0,1.96,9.17,12.64,3.47,52.59,1
1416,8.12,1.89,7.35,10.38,3.03,54.65,1
1417,11.17,2.05,13.62,18.78,5.17,53.93,1
1418,14.15,2.09,8.99,11.89,2.91,54.18,1
1419,11.82,2.19,12.43,16.12,3.7,51.36,1
1420,9.29,2.34,26.88,31.2,4.32,44.5,1
1421,6.71,2.25,43.53,50.0,6.47,28.57,1
1422,5.99,2.42,46.44,55.84,9.4,23.8,1
1423,15.28,2.5,27.88,33.9,6.02,31.64,1
1424,18.74,2.73,16.92,20.93,4.01,40.64,1
1425,15.51,2.61,13.68,15.72,2.04,40.81,1
1426,11.44,2.62,23.86,26.26,2.4,28.81,1
1427,15.96,2.5,15.59,17.79,2.2,37.84,1
1428,14.97,2.34,9.63,11.41,1.77,40.66,1
1429,15.32,2.31,13.21,15.17,1.96,34.66,1
1430,12.46,2.28,15.43,17.66,2.22,28.52,1
1431,14.88,2.25,25.31,27.75,2.44,19.57,1
1432,15.64,2.15,15.23,17.63,2.4,26.54,1
1433,10.65,1.97,17.81,24.83,7.02,27.29,1
1434,16.42,1.99,11.21,16.21,5.0,31.13,1
1435,15.16,1.87,11.81,16.7,4.89,34.24,1
1436,13.81,2.05,14.15,22.76,8.61,37.47,1
1437,23.04,2.03,12.19,17.0,4.8,44.94,2
1438,25.72,1.96,12.43,16.05,3.62,48.05,2
1439,30.71,2.1,10.27,15.64,5.38,56.95,2
1440,31.53,2.03,12.3,16.43,4.13,65.29,2
1441,28.38,2.0,13.45,17.46,4.02,59.69,1
1442,21.93,2.26,14.98,18.95,3.98,57.28,1
1443,22.26,2.21,20.1,25.23,5.13,56.97,1
1444,19.89,2.26,20.02,23.16,3.14,47.78,1
1445,22.33,2.35,22.93,25.9,2.97,42.52,1
1446,21.53,2.29,21.46,23.89,2.43,37.15,1
1447,16.97,2.32,19.85,22.05,2.2,35.93,1
1448,16.51,2.19,30.92,33.54,2.62,31.62,1
1449,20.3,2.28,42.03,50.97,8.94,24.18,1
1450,16.3,2.17,29.64,32.47,2.82,23.45,1
1451,17.06,2.21,8.72,10.24,1.52,33.21,1
1452,21.42,1.97,6.95,8.43,1.47,34.46,1
1453,18.48,2.08,8.37,9.96,1.59,32.32,1
1454,13.72,1.92,14.11,15.88,1.77,27.0,1
1455,13.03,1.85,16.28,18.85,2.56,30.35,1
1456,10.83,1.84,35.78,48.04,12.26,21.26,1
1457,12.82,1.87,11.65,15.17,3.52,36.24,1
1458,18.36,1.63,11.8,15.11,3.31,38.51,1
1459,17.15,1.83,13.42,19.94,6.52,53.25,2
1460,27.33,1.66,19.6,23.64,4.04,38.35,2
1461,31.22,1.82,41.67,49.46,7.79,24.24,2
1462,26.95,1.78,35.25,45.55,10.3,27.78,2
1463,26.5,1.81,26.81,32.54,5.73,27.09,1
1464,20.97,1.8,29.68,35.31,5.63,30.05,2
1465,14.87,1.87,51.58,58.71,7.12,28.7,1
1466,18.94,2.01,47.32,50.16,2.84,23.08,2
1467,15.7,1.76,59.78,65.11,5.33,20.59,1
1468,11.39,1.72,32.61,35.12,2.51,31.16,1
1469,11.21,1.74,29.09,32.15,3.05,31.17,1
1470,12.52,1.66,20.86,22.8,1.95,32.68,1
1471,9.72,1.7,15.41,16.96,1.55,38.77,1
1472,7.77,1.58,14.16,15.81,1.64,34.94,1
1473,14.82,1.71,16.34,17.91,1.58,29.91,1
1474,14.78,1.66,13.43,14.99,1.55,36.13,1
1475,13.95,1.55,10.18,11.64,1.46,42.64,1
1476,14.72,1.62,24.27,36.76,12.49,39.57,1
1477,11.67,1.39,20.28,24.41,4.13,37.77,1
1478,9.65,1.36,17.77,22.67,4.9,40.32,1
1479,16.38,1.31,20.0,26.6,6.61,35.14,1
1480,20.36,1.25,15.68,22.17,6.49,37.02,1
1481,16.32,1.35,13.98,25.15,11.17,41.53,1
1482,19.96,1.34,19.98,31.98,12.0,37.62,1
1483,16.99,1.21,21.19,27.23,6.04,34.63,1
1484,12.9,1.43,25.59,33.22,7.63,31.88,1
1485,14.77,1.47,12.86,17.42,4.56,38.28,1
1486,13.27,1.36,15.88,21.42,5.53,36.67,1
1487,12.94,1.53,33.57,44.51,10.94,24.92,1
1488,21.85,1.57,27.92,32.48,4.56,24.57,1
1489,19.15,1.59,40.54,48.68,8.14,21.25,2
1490,10.02,1.68,50.84,59.7,8.86,12.67,2
1491,9.18,1.65,50.67,59.07,8.4,10.34,1
1492,7.87,1.55,43.72,48.46,4.74,10.96,1
1493,5.79,1.53,30.11,33.11,3.0,13.56,1
1494,7.47,1.28,20.27,27.75,7.48,22.46,1
1495,6.67,1.28,33.79,60.98,27.19,30.44,1
1496,7.39,1.17,14.06,22.49,8.43,40.34,1
1497,10.49,1.18,13.68,19.6,5.92,44.14,1
1498,8.42,1.21,11.83,18.25,6.42,57.95,1
1499,7.44,1.23,12.4,19.28,6.88,56.47,1
1500,6.45,1.04,10.24,13.92,3.67,52.27,1
1501,4.88,1.21,13.96,17.66,3.71,57.98,1
1502,2.95,1.35,27.32,30.24,2.91,37.33,1
1503,4.6,1.42,29.54,32.08,2.55,31.84,1
1504,6.57,1.4,19.85,24.91,5.06,37.22,1
1505,4.29,7.44,9.62,11.2,1.57,39.0,1
1506,3.56,7.35,23.85,26.1,2.25,25.76,1
1507,7.85,2.29,9.01,10.57,1.56,32.82,1
1508,6.85,2.41,10.37,13.26,2.89,41.15,1
1509,5.58,2.45,17.81,22.13,4.32,36.95,1
1510,4.53,2.4,16.89,19.96,3.07,36.87,1
1511,3.58,2.19,20.82,26.74,5.92,38.72,1
1512,6.94,2.32,20.39,26.78,6.39,44.29,1
1513,11.86,2.18,19.21,24.18,4.97,39.8,1
1514,13.16,2.13,10.26,14.04,3.78,41.73,1
1515,13.96,1.98,10.16,14.49,4.33,38.08,1
1516,20.8,1.76,12.0,16.52,4.52,49.14,1
1517,17.78,1.71,15.26,22.61,7.35,47.88,1
1518,13.1,1.78,14.66,20.58,5.91,47.93,1
1519,13.66,1.96,24.94,33.48,8.54,39.48,1
1520,11.52,1.91,16.23,21.55,5.32,41.41,2
1521,9.59,2.17,70.98,81.09,10.12,7.31,2
1522,25.3,2.22,52.26,63.76,11.5,7.18,2
1523,20.29,2.2,58.15,78.95,20.8,5.51,2
1524,16.4,2.06,52.2,63.19,11.0,8.03,1
1525,20.35,2.09,7.22,9.64,2.42,58.02,1
1526,20.43,2.02,9.96,13.88,3.92,54.73,1
1527,15.82,2.07,10.27,14.04,3.77,56.46,1
1528,11.98,2.26,13.25,18.63,5.38,49.61,1
1529,13.28,2.25,16.25,21.41,5.16,44.75,1
1530,10.9,2.21,22.85,30.01,7.16,48.94,1
1531,11.97,2.27,22.9,28.73,5.83,45.19,1
1532,19.9,2.41,25.8,32.38,6.58,40.48,1
1533,23.18,2.43,28.62,33.8,5.18,38.56,1
1534,21.9,2.63,26.82,30.53,3.71,38.65,2
1535,26.42,2.69,40.79,44.0,3.21,25.2,1
1536,24.4,3.02,36.52,39.74,3.22,23.19,2
1537,26.59,3.09,5.18,6.61,1.42,32.98,1
1538,4.66,2.44,11.67,15.8,4.12,57.05,1
1539,4.22,2.36,17.51,25.11,7.59,42.72,1
1540,3.13,2.36,20.36,24.38,4.02,31.16,1
1541,2.56,2.37,18.97,24.33,5.36,34.62,1
1542,4.67,2.68,21.21,23.72,2.51,32.25,1
1543,7.18,2.75,19.25,21.36,2.11,32.21,1
1544,9.89,2.65,13.68,15.8,2.12,37.38,1
1545,11.01,2.4,6.81,8.3,1.49,42.12,1
1546,5.2,2.35,10.89,13.32,2.42,36.46,1
1547,3.96,2.43,14.3,19.13,4.83,33.49,1
1548,6.89,2.31,15.36,21.65,6.29,39.44,1
1549,7.36,5.26,10.15,13.62,3.47,46.99,1
1550,5.8,5.21,10.64,14.67,4.03,47.49,1
1551,13.67,2.02,17.07,22.37,5.3,56.93,2
1552,11.23,2.46,98.96,159.64,60.68,12.68,3
1553,20.73,2.89,106.3,196.25,89.95,3.93,2
1554,30.07,2.29,64.14,84.28,20.14,10.34,2
1555,27.45,2.28,27.84,33.06,5.22,30.06,1
1556,22.42,2.31,16.24,21.57,5.33,35.84,1
1557,16.91,2.32,14.6,19.41,4.82,37.69,1
1558,13.38,2.28,13.32,17.74,4.42,32.02,1
1559,15.17,2.3,19.64,24.15,4.51,22.58,1
1560,12.22,2.42,22.25,26.8,4.55,21.91,1
1561,11.02,2.2,8.62,14.84,6.22,45.91,1
1562,11.69,2.22,7.26,12.46,5.21,47.23,1
1563,12.8,2.24,8.83,15.32,6.5,49.54,1
1564,11.25,2.16,9.12,15.66,6.54,54.85,2
1565,12.4,2.09,9.64,16.14,6.5,64.52,2
1566,10.21,2.07,10.18,17.42,7.24,65.58,2
1567,7.92,2.48,9.95,15.94,6.0,70.43,2
1568,6.2,2.38,10.4,16.08,5.67,73.29,2
1569,14.5,2.43,12.25,17.49,5.24,77.1,2
1570,13.62,2.53,18.48,23.52,5.04,72.04,2
1571,12.81,2.51,77.33,93.61,16.28,15.48,2
1572,19.92,2.64,86.37,114.91,28.54,8.36,2
1573,31.17,3.04,29.0,34.37,5.37,51.42,2
1574,25.41,3.11,24.08,29.05,4.97,60.01,2
1575,18.16,3.15,6.76,10.78,4.03,75.06,2
1576,13.79,3.16,9.7,13.81,4.1,61.64,1
1577,10.26,3.16,36.9,42.57,5.67,25.66,1
1578,9.94,3.26,45.5,53.47,7.97,14.83,1
1579,13.7,3.13,39.21,49.82,10.61,21.28,1
1580,18.47,3.01,32.8,45.85,13.05,35.84,1
1581,16.09,2.66,20.22,29.46,9.24,53.01,1
1582,19.73,2.59,15.74,23.3,7.56,55.26,1
1583,19.84,2.28,13.34,20.6,7.26,54.01,2
1584,12.13,2.22,11.02,16.88,5.86,77.87,2
1585,13.13,2.48,9.97,16.15,6.18,86.57,2
1586,11.66,2.55,8.82,13.67,4.86,84.81,2
1587,13.86,2.69,20.71,26.45,5.74,72.22,2
1588,12.78,3.14,35.86,41.54,5.68,63.8,2
1589,9.44,3.24,58.67,65.79,7.12,42.36,2
1590,16.47,3.25,68.32,85.89,17.57,21.06,2
1591,26.21,3.09,38.78,44.25,5.47,43.27,2
1592,31.64,3.19,28.57,33.7,5.14,46.48,2
1593,28.67,3.14,37.57,42.53,4.96,32.4,2
1594,25.08,3.17,39.38,51.79,12.41,26.25,2
1595,27.63,3.29,56.18,65.66,9.48,8.06,1
1596,23.32,3.2,45.81,55.86,10.05,10.37,2
1597,29.33,3.07,42.69,51.98,9.28,9.32,2
1598,25.68,3.3,42.01,54.44,12.43,14.98,2
1599,27.94,3.11,31.98,46.76,14.78,26.24,2
1600,26.56,2.98,32.38,47.74,15.35,19.76,2
1601,28.75,2.97,23.36,35.35,11.99,33.13,2
1602,28.28,2.75,18.31,27.48,9.17,42.72,1
1603,12.63,2.82,18.18,27.38,9.2,51.1,1
1604,13.17,2.86,20.38,28.41,8.03,45.54,1
1605,10.16,2.92,17.67,24.23,6.57,42.99,1
1606,16.64,2.82,16.71,22.17,5.46,42.98,1
1607,13.81,2.9,36.0,42.4,6.4,29.47,1
1608,11.9,2.97,29.1,35.48,6.38,28.51,1
1609,9.26,3.05,26.97,33.49,6.52,30.92,1
1610,3.71,3.98,15.49,27.05,11.56,37.77,1
1611,4.88,3.83,11.49,19.02,7.53,39.51,1
1612,5.3,3.5,11.33,22.02,10.69,38.82,1
1613,22.83,3.41,12.24,22.56,10.32,40.22,1
1614,20.75,3.22,9.49,16.58,7.09,46.62,1
1615,22.56,2.99,11.3,18.28,6.98,47.51,1
1616,17.92,2.9,14.99,23.97,8.98,50.66,1
1617,12.93,3.08,11.82,18.48,6.67,59.23,2
1618,9.24,3.34,12.36,20.41,8.06,69.89,2
1619,9.66,3.52,11.81,18.49,6.68,70.82,2
1620,7.51,3.39,11.01,17.32,6.31,68.76,1
1621,5.33,3.26,13.78,23.5,9.72,56.0,1
1622,8.31,3.22,14.45,22.86,8.41,54.67,1
1623,11.28,2.98,15.12,23.62,8.51,38.9,1
1624,12.54,3.01,20.53,27.23,6.7,31.05,1
1625,14.62,3.05,21.73,26.79,5.06,37.95,1
1626,10.49,3.25,11.7,18.86,7.17,37.18,1
1627,11.78,3.18,10.4,15.8,5.4,36.26,1
1628,9.38,3.37,13.23,18.28,5.05,28.6,1
1629,7.64,3.59,13.97,18.33,4.36,27.28,1
1630,6.39,3.77,13.06,17.39,4.33,26.76,1
1631,4.69,3.83,30.92,41.4,10.48,13.67,1
1632,11.55,3.85,33.33,45.02,11.69,8.81,1
1633,10.58,3.92,38.95,69.3,30.35,8.48,1
1634,8.43,3.92,40.92,72.59,31.66,13.06,1
1635,15.64,3.64,23.21,37.85,14.64,26.88,1
1636,19.31,3.39,17.74,28.01,10.27,37.38,1
1637,19.41,3.18,13.81,21.7,7.88,43.16,1
1638,15.62,2.97,9.06,15.96,6.91,48.76,1
1639,12.04,2.92,9.02,16.11,7.09,53.41,1
1640,9.24,2.84,9.03,15.33,6.3,57.98,2
1641,6.79,2.76,9.78,15.86,6.08,60.72,2
1642,12.92,2.86,9.55,15.81,6.26,60.04,1
1643,11.02,2.72,9.66,15.58,5.92,59.68,2
1644,34.35,3.45,14.56,23.25,8.69,68.13,2
1645,42.98,3.46,14.27,22.26,7.99,76.39,2
1646,43.43,3.26,17.86,27.47,9.61,82.17,3
1647,54.28,3.23,26.78,39.96,13.18,63.9,1
1648,9.95,3.48,15.72,22.91,7.19,39.08,1
1649,7.53,3.44,19.14,27.97,8.83,37.39,1
1650,11.17,3.45,26.1,37.94,11.84,35.78,1
1651,9.3,3.51,45.77,61.73,15.96,25.42,1
1652,7.87,3.68,25.66,36.03,10.38,39.94,1
1653,10.28,3.55,23.2,30.63,7.43,41.8,1
1654,9.35,3.61,35.3,44.37,9.07,27.3,1
1655,10.51,3.78,9.8,16.61,6.81,44.44,1
1656,8.65,3.54,10.93,17.62,6.7,45.84,1
1657,9.39,3.43,8.77,15.17,6.4,48.86,1
1658,9.89,3.24,9.57,16.5,6.92,53.84,1
1659,13.13,2.97,9.86,18.27,8.41,55.3,2
1660,11.82,2.84,8.31,15.61,7.3,63.24,2
1661,9.43,2.52,9.41,16.31,6.9,63.95,1
1662,13.69,3.28,13.12,20.37,7.25,51.4,1
1663,14.43,3.06,9.19,15.75,6.56,53.75,2
1664,11.25,2.91,10.93,18.1,7.17,60.36,1
1665,11.92,2.91,10.6,17.66,7.06,59.73,1
1666,9.49,2.64,11.12,17.33,6.21,58.68,1
1667,6.71,2.55,13.36,19.16,5.79,52.52,2
1668,7.74,2.56,9.59,15.46,5.88,64.97,1
1669,9.95,2.63,14.69,23.03,8.34,58.07,1
1670,7.95,2.5,16.2,24.76,8.56,48.32,2
1671,14.75,3.04,12.07,18.4,6.33,117.37,2
1672,14.6,2.88,10.51,15.88,5.37,119.41,2
1673,16.61,2.87,11.08,16.34,5.26,112.5,2
1674,13.38,2.93,11.22,16.36,5.13,110.3,2
1675,9.93,2.96,13.7,19.44,5.74,105.3,2
1676,7.08,2.99,14.87,20.1,5.23,95.45,2
1677,5.91,3.03,26.01,31.23,5.22,77.44,2
1678,6.47,3.1,56.29,63.0,6.71,43.84,1
1679,5.64,3.2,47.73,53.2,5.48,42.54,1
1680,7.18,3.13,22.31,27.14,4.83,51.11,1
1681,18.01,3.02,22.3,27.5,5.2,40.1,1
1682,16.24,3.17,21.06,25.54,4.48,36.85,1
1683,11.84,3.1,17.46,21.75,4.29,38.43,1
1684,8.56,3.22,15.47,19.7,4.23,38.51,1
1685,15.34,3.43,12.9,17.07,4.17,39.55,1
1686,13.66,3.52,14.38,18.7,4.32,37.15,1
