,S2_PM10,S2_PM25,S2_SO2,S2_CO,S2_03
2548,,,,1383.06,
2549,,,13.66,,
2550,,,,,21.41
2551,,,,,18.97
2552,35.8,,,,
2553,28.4,,,,
2554,,,,830.64,
2555,,,,,12.03
2556,40.5,,,,
2557,,,,986.65,
2558,,,,1033.51,
2559,37.8,,,,
2560,,,,,41.14
2561,,,,,25.01
2562,32.7,,,,
2563,,,,,16.76
2564,,,,1153.92,
2565,32.1,,,,
2566,,,,,20.0
2567,,,,1071.41,
2568,,,,994.35,
2569,28.8,,,,
2570,,,12.91,,
2571,,,12.84,,
2572,,7.89,,,
2573,25.2,,,,
2574,,9.06,,,
2575,20.7,,,,
2576,,,,867.75,
2577,,,,,41.85
2578,,4.45,,,
2579,,,,,21.7
2580,,15.71,,,
2581,,,,,24.29
2582,,37.49,,,
2583,,30.73,,,
2584,,,13.45,,
2585,,,,,28.09
2586,,23.49,,,
2587,19.2,,,,
2588,16.1,,,,
2589,,,,,28.84
2590,,,13.84,,
2591,,,,803.42,
2592,24.7,,,,
2593,,,,929.88,
2594,,4.04,,,
2595,19.8,,,,
2596,,,,,35.74
2597,,,11.83,,
2598,,,,1303.46,
2599,33.4,,,,
2600,,15.92,,,
2601,,,,1460.98,
2602,,,12.63,,
2603,,,,1019.53,
2604,,,,889.06,
2605,,,13.56,,
2606,,,,,25.3
2607,,,13.25,,
2608,,,,,18.5
2609,,,,,27.53
2610,,,13.74,,
2611,46.6,,,,
2612,,3.01,,,
2613,,,14.63,,
2614,,,,,36.06
2615,47.6,,,,
2616,,,,571.58,
2617,32.3,,,,
2618,,8.85,,,
2619,,,,,16.37
2620,,,,855.16,
2621,,,,839.47,
2622,,,,,30.18
2623,,,,771.31,
2624,30.8,,,,
2625,,,12.91,,
2626,,,13.18,,
2627,43.4,,,,
2628,37.9,,,,
2629,,,,659.98,
2630,,,,,43.56
2631,,3.44,,,
2632,38.5,,,,
2633,,3.39,,,
2634,,,,,30.99
2635,,,11.83,,
2636,,,10.92,,
2637,,,,695.0,
2638,,10.76,,,
2639,,,,906.77,
2640,,,,,16.95
2641,,,,,1.04
2642,,25.57,,,
2643,,33.19,,,
2644,,,13.46,,
2645,,,,708.1,
2646,18.3,,,,
2647,,,13.2,,
2648,,,,,44.42
2649,45.0,,,,
2650,,,13.09,,
2651,,,,636.0,
2652,,,,,38.87
2653,,,12.96,,
2654,39.2,,,,
2655,42.6,,,,
2656,,,12.07,,
2657,,,10.83,,
2658,,,,954.44,
2659,35.8,,,,
2660,,,,1032.63,
2661,,,12.37,,
2662,,,12.53,,
2663,29.6,,,,
2664,,,,680.26,
2665,35.9,,,,
2666,32.8,,,,
2667,,,,,4.22
2668,34.8,,,,
2669,,,12.86,,
2670,,,14.46,,
2671,51.7,,,,
2672,,,14.54,,
2673,,,,895.79,
2674,43.9,,,,
2675,,,,,40.31
2676,,,,892.76,
2677,53.5,,,,
2678,,,10.51,,
2679,,,11.56,,
2680,,,,,0.07
2681,,14.15,,,
2682,,,,,0.14
2683,61.8,,,,
2684,,,,1465.13,
2685,58.1,,,,
2686,,,,,2.34
2687,46.6,,,,
2688,,,12.57,,
2689,,14.21,,,
2690,,,,,22.83
2691,58.7,10.65,13.2,1008.58,31.91
2692,,8.69,,,
2693,,7.42,,,
2694,,,,,55.62
2695,42.7,,,,
2696,,,,,50.73
2697,,,,706.4,
2698,32.3,,,,
2699,,,,,24.3
2700,,,11.65,,
2701,,,,873.08,
2702,,,11.72,,
2703,,,,1106.23,
2704,,21.26,,,
2705,,,,,18.64
2706,,,,,24.06
2707,,,,766.05,
2708,,,,,31.9
2709,,,,,34.05
2710,,,12.6,,
2711,,,12.65,,
2712,,18.99,,,
2713,,,13.6,,
2714,,,,,26.66
2715,41.7,,,,
2716,,,13.65,,
2717,44.2,,,,
2718,39.5,,,,
2719,33.6,,,,
2720,,,,759.92,
2721,44.1,,,,
2722,,9.48,,,
2723,,,12.55,,
2724,,,,647.16,
2725,,,10.81,,
2726,,,11.24,,
2727,,,,,8.31
2728,,,,,11.31
2729,,,,,19.18
2730,,,,869.72,
2731,,42.27,,,
2732,,38.16,,,
2733,,30.57,,,
2734,,,,641.02,
2735,,16.47,,,
2736,,12.61,,,
2737,,,12.91,,
2738,,,,612.66,
2739,,8.58,,,
2740,19.1,6.36,13.68,566.88,53.62
2741,27.3,,,,
2742,,,,614.56,
2743,,5.75,,,
2744,,,,,62.27
2745,,,12.33,,
2746,,,11.97,,
2747,,,,,32.48
2748,,,,817.92,
2749,,,12.22,,
2750,,,,,26.12
2751,27.4,,,,
2752,27.1,,,,
2753,,21.09,,,
2754,,,13.26,,
2755,,,,,31.43
2756,,,,565.49,
2757,,,12.7,,
2758,,,,640.13,
2759,,,,,15.72
2760,36.7,,,,
2761,,,13.75,,
2762,,,,,31.93
2763,40.4,,,,
2764,39.7,,,,
2765,,,14.03,,
2766,,2.48,,,
2767,,,,,49.98
2768,,,,,44.15
2769,,,,,31.01
2770,,,,879.68,
2771,,,11.78,,
2772,,,,,19.36
2773,,,12.05,,
2774,,,,,17.86
2775,,14.29,,,
2776,27.7,,,,
2777,,,,791.09,
2778,,,13.74,,
2779,,18.46,,,
2780,,,13.33,,
2781,,,13.14,,
2782,,12.05,,,
2783,,23.67,,,
2784,,,,1014.3,
2785,,,,996.71,
2786,,12.78,,,
2787,,,13.09,,
2788,41.7,,,,
2789,,,,729.68,
2790,,,12.75,,
2791,,,,,41.13
2792,,,,,35.37
2793,33.9,5.58,12.8,846.7,32.07
2794,,,12.41,,
2795,,,11.69,,
2796,,,,986.83,
2797,,11.43,,,
2798,41.1,,,,
2799,,,,1152.2,
2800,,27.68,,,
2801,34.1,,,,
2802,33.9,,,,
2803,,,,793.72,
2804,,26.69,,,
2805,,,,640.65,
2806,,18.4,,,
2807,,,,883.54,
2808,,,,,13.69
2809,,,13.64,,
2810,39.6,,,,
2811,,,,,44.07
2812,,,13.82,,
2813,,,,,50.2
2814,,,13.2,,
2815,,,13.3,,
2816,29.5,,,,
2817,,,,872.09,
2818,,,,859.25,
2819,34.7,,,,
2820,,5.71,,,
2821,,,,1254.05,
2822,,,12.81,,
2823,,24.67,,,
2824,,20.69,,,
2825,,,,,24.07
2826,33.4,,,,
2827,,12.86,,,
2828,,11.1,,,
2829,,,,758.24,
2830,,14.96,,,
2831,,12.45,,,
2832,,,,997.93,
2833,,,,1068.29,
2834,50.6,,,,
2835,,8.91,,,
2836,,,,907.86,
2837,,,,,44.95
2838,,6.61,,,
2839,,,,1168.76,
2840,48.4,,,,
2841,,,,,31.52
2842,,,13.26,,
2843,,,12.82,,
2844,,,12.49,,
2845,,8.43,,,
2846,,7.8,,,
2847,,,,,19.04
2848,,,,1077.07,
2849,,32.06,,,
2850,,29.45,,,
2851,,,,772.61,
2852,,,,760.08,
2853,,,12.72,,
2854,,,,745.41,
2855,,9.41,,,
2856,51.5,,,,
2857,,,13.59,,
2858,34.8,,,,
2859,,4.66,,,
2860,,,12.82,,
2861,,,,1043.99,
2862,,,12.7,,
2863,,,12.25,,
2864,,,,,25.03
2865,,,,,28.16
2866,,6.81,,,
2867,,,,,19.7
2868,,,,,22.92
2869,,13.11,,,
2870,,,13.66,,
2871,,10.08,,,
2872,,,,872.96,
2873,,12.69,,,
2874,,,,,31.0
2875,,,,,32.15
2876,,,,929.56,
2877,,,,,23.8
2878,,,,,31.15
2879,24.5,,,,
2880,,,13.37,,
2881,,,,866.36,
2882,,,,928.22,
2883,,,,1005.6,
2884,27.2,,,,
2885,,,,,32.08
2886,,,12.71,,
2887,,6.89,,,
2888,20.4,,,,
2889,,11.74,,,
2890,,,13.57,,
2891,17.5,,,,
2892,20.2,,,,
2893,,,,1087.19,
2894,,27.92,,,
2895,32.6,,,,
2896,,22.42,,,
2897,27.9,,,,
2898,,,,,28.03
2899,,19.54,,,
2900,,,13.29,,
2901,,6.17,,,
2902,,,,1029.96,
2903,,,,,42.58
2904,,,,,40.78
2905,,,12.33,,
2906,,,11.7,,
2907,,6.79,,,
2908,,17.3,,,
2909,,,,1816.19,
2910,,,,,0.22
2911,29.4,,,,
2912,,,,,19.99
2913,,,,,19.46
2914,31.4,28.57,12.77,1062.77,30.44
2915,30.8,23.99,12.63,982.34,29.07
2916,,,,,26.04
2917,,14.51,,,
2918,,,,1099.15,
2919,,8.63,,,
2920,,,13.16,,
2921,36.2,,,,
2922,36.0,,,,
2923,,,13.18,,
2924,62.0,,,,
2925,59.3,,,,
2926,,,12.28,,
2927,51.2,,,,
2928,,,11.04,,
2929,,,11.58,,
2930,,,,2204.16,
2931,,,,2317.83,
2932,,,13.09,,
2933,,35.62,,,
2934,,,,,30.78
2935,,,,1328.16,
2936,,,13.8,,
2937,54.1,,,,
2938,,,,,6.25
2939,,,,1562.33,
2940,,,14.45,,
2941,,18.15,,,
2942,,,,,37.49
2943,,10.25,,,
2944,,,,,45.26
2945,,7.54,,,
2946,,,,,33.33
2947,,,,,24.5
2948,,,,,26.41
2949,,,12.5,,
2950,,,,1418.5,
2951,25.4,,,,
2952,,,,1543.53,
2953,29.2,21.43,13.56,1552.91,27.21
2954,55.9,,,,
2955,,22.94,,,
2956,,16.32,,,
2957,,,,1256.98,
2958,,12.23,,,
2959,44.2,,,,
2960,,,,,20.45
2961,,,,,24.07
2962,,23.05,,,
2963,58.4,,,,
2964,,23.97,,,
2965,,,,,35.05
2966,,29.38,,,
2967,,23.64,,,
2968,,,14.22,,
2969,60.4,,,,
2970,,23.44,,,
2971,54.3,,,,
2972,,12.95,,,
2973,47.3,,,,
2974,,,13.74,,
2975,,19.46,,,
2976,40.5,,,,
2977,,,13.95,,
2978,,,14.06,,
2979,,,14.34,,
2980,,,,1171.47,
2981,,,,,34.75
2982,,11.29,,,
2983,,,,1163.53,
2984,,,14.13,,
2985,,,,,25.85
2986,,,,1141.46,
2987,,,14.27,,
2988,,,,,16.76
2989,28.3,,,,
2990,,,,1561.13,
2991,,,14.12,,
2992,,,,,3.04
2993,,,14.19,,
2994,,,14.1,,
2995,,,,1633.34,
2996,,,,1557.67,
2997,,,,,7.55
2998,,5.38,,,
2999,28.3,,,,
3000,,,13.79,,
3001,,16.01,,,
3002,,,14.03,,
3003,,27.65,,,
3004,,,,,14.19
3005,,,14.3,,
3006,,18.28,,,
3007,,23.89,,,
3008,33.1,,,,
3009,,,14.73,,
3010,,9.12,,,
3011,34.0,,,,
3012,,,,1617.68,
3013,47.5,,,,
3014,,,15.12,,
3015,,,,1743.43,
3016,,,,1754.26,
3017,,,,1796.36,
3018,,34.55,,,
3019,,26.98,,,
3020,,30.5,,,
3021,,,,1763.73,
3022,45.2,,,,
3023,,,14.47,,
3024,,,14.33,,
3025,,,,1416.22,
3026,,22.08,,,
3027,,,14.43,,
3028,,,14.58,,
3029,50.9,,,,
3030,,,,,36.17
3031,,,15.3,,
3032,,,,1202.94,
3033,,,16.08,,
3034,36.5,3.04,15.84,1214.14,42.1
3035,,,,1355.74,
3036,,,,,14.6
3037,,,15.95,,
3038,48.7,,,,
3039,39.7,,,,
3040,,11.81,,,
3041,,,15.41,,
3042,48.7,,,,
3043,54.2,,,,
3044,52.4,,,,
3045,,,15.61,,
3046,,,,1049.46,
3047,,22.44,,,
3048,,,,883.21,
3049,,14.59,,,
3050,,,,855.16,
3051,,,,,24.81
3052,,,15.13,,
3053,,,,,15.18
3054,,11.12,,,
3055,,8.6,,,
3056,,,,,41.86
3057,,,,1051.44,
3058,,3.26,,,
3059,,,,1250.19,
3060,,,,,42.5
3061,31.5,,,,
3062,,12.81,,,
3063,,,,1114.04,
3064,,12.19,,,
3065,,,,,24.55
3066,,,,,29.49
3067,,20.3,,,
3068,,,,,31.99
3069,,21.14,,,
3070,,,,813.95,
3071,,10.87,,,
3072,,,,740.59,
3073,,,,737.62,
3074,,,,,34.03
3075,,,,1036.49,
3076,,3.79,,,
3077,,,,1204.6,
3078,,,,1068.54,
3079,30.3,,,,
3080,32.1,,,,
3081,,,,914.8,
3082,,,16.28,,
3083,,4.76,,,
3084,,7.18,,,
3085,,,,,21.28
3086,,14.25,,,
3087,,,,1706.87,
3088,,,,,5.42
3089,,,,,5.51
3090,43.7,,,,
3091,,,,1578.81,
3092,,11.09,,,
3093,,,15.23,,
3094,,,,905.46,
3095,37.3,,,,
3096,,,,791.94,
3097,,15.22,,,
3098,,,,,23.26
3099,,,14.58,,
3100,,,,941.05,
3101,,8.35,,,
3102,35.7,,,,
3103,,6.16,,,
3104,,,,815.96,
3105,33.8,,,,
3106,,,15.61,,
3107,,,15.57,,
3108,,,,,46.6
3109,,,,925.93,
3110,,,15.26,,
3111,,6.54,,,
3112,,,16.07,,
3113,,,,,18.78
3114,24.9,,,,
3115,,,15.18,,
3116,,,,,24.33
3117,,,14.95,,
3118,47.3,,,,
3119,40.1,,,,
3120,40.2,3.13,15.16,1458.17,39.74
3121,,,,1360.73,
3122,,,15.26,,
3123,,,,,41.27
3124,,,,,34.91
3125,,,,,36.11
3126,,,,1400.67,
3127,,,,1727.48,
3128,,,16.05,,
3129,21.3,,,,
3130,,,15.64,,
3131,,,15.29,,
3132,26.8,4.03,14.93,1304.6,29.7
3133,,,,,34.38
3134,24.6,10.05,14.91,1222.76,38.38
3135,,,14.83,,
3136,,,14.5,,
3137,,,,1152.2,
3138,,,,1188.28,
3139,,,14.85,,
3140,19.1,,,,
3141,,,,1757.11,
3142,,,15.04,,
3143,,,,1546.47,
3144,,4.32,,,
3145,42.1,,,,
3146,,,,1407.81,
3147,,,,1430.98,
3148,,,15.74,,
3149,,,,,33.02
3150,,8.52,,,
3151,,,,1808.57,
3152,,,,,6.06
3153,,7.4,,,
3154,,,15.95,,
3155,,12.43,,,
3156,,,,2028.96,
3157,48.1,,,,
3158,,,,1904.66,
3159,,,,,5.92
3160,,,,,8.27
3161,,,,1511.03,
3162,44.3,,,,
3163,42.1,,,,
3164,45.2,,,,
3165,,,,,14.79
3166,,6.08,,,
3167,52.3,,,,
3168,,,,1654.86,
3169,,,15.75,,
3170,,,,,44.62
3171,,4.39,,,
3172,,,15.52,,
3173,,,,,30.22
3174,,,,2727.14,
3175,,,16.67,,
3176,55.6,,,,
3177,,,17.03,,
3178,,,,,6.37
3179,,,,,5.42
3180,,10.42,,,
3181,,,,,6.02
3182,,,,,5.88
3183,,,15.06,,
3184,50.4,,,,
3185,,,,,10.36
3186,,,,1635.81,
3187,,,14.9,,
3188,,,,,9.06
3189,,12.5,,,
3190,,,,2297.12,
3191,,,,,24.71
3192,,,,,32.52
3193,,,16.48,,
3194,46.2,,,,
3195,,,,1904.42,
3196,,,,,45.02
3197,,,,,34.88
3198,38.5,,,,
3199,,,16.22,,
3200,,,,,5.68
3201,,,,3839.45,
3202,,15.29,,,
3203,,,,,4.99
3204,,,16.48,,
3205,73.5,,,,
3206,,,,,6.57
3207,,,,2098.22,
3208,,,,,5.64
3209,58.4,,,,
3210,,,,,6.43
3211,,,14.83,,
3212,,,15.05,,
3213,72.5,,,,
3214,,,16.03,,
3215,,,,,30.86
3216,,,16.13,,
3217,57.9,,,,
3218,,,,,52.61
3219,,,,,43.09
3220,,,15.36,,
3221,52.0,,,,
3222,,,,,5.66
3223,,,,,5.53
3224,,,,,4.84
3225,,,,3503.13,
3226,,,,3476.82,
3227,,,,3405.09,
3228,,,16.14,,
3229,,,,3081.41,
3230,,,,2757.66,
3231,,4.17,,,
3232,,,15.26,,
3233,,4.66,,,
3234,,,,2478.02,
3235,61.8,,,,
3236,,10.92,,,
3237,,8.34,,,
3238,,,,2229.7,
3239,,,,,34.05
3240,63.2,,,,
3241,,,,2024.65,
3242,,,15.8,,
3243,,9.32,,,
3244,42.7,,,,
3245,41.0,,,,
3246,,,15.67,,
3247,,,16.61,,
3248,,,,,5.68
3249,71.8,,,,
3250,,20.89,,,
3251,,,,,5.47
3252,72.4,,,,
3253,,,15.77,,
3254,67.9,,,,
3255,,,15.23,,
3256,,8.98,,,
3257,,,,,5.65
3258,,,,,7.19
3259,,,,2146.48,
3260,,5.31,,,
3261,,,15.02,,
3262,,5.6,,,
3263,44.3,,,,
3264,,,,1993.04,
3265,36.1,,,,
3266,,6.95,,,
3267,,,14.74,,
3268,,,,,30.69
3269,34.7,,,,
3270,,,,3694.1,
3271,,,,,4.58
3272,,,16.88,,
3273,,,,3844.25,
3274,90.8,,,,
3275,,,,,5.12
3276,100.5,,,,
3277,,,14.91,,
3278,,,14.94,,
3279,,8.41,,,
3280,,,,,5.74
3281,,,,,6.36
3282,,,15.13,,
3283,,5.9,,,
3284,66.0,,,,
3285,,4.29,,,
3286,,,,2224.82,
3287,,,15.52,,
3288,35.2,,,,
3289,,,,2218.85,
3290,,6.91,,,
3291,,6.13,,,
3292,39.9,,,,
3293,45.2,,,,
3294,,,15.23,,
3295,,,,,5.35
3296,,,15.95,,
3297,,,16.04,,
3298,35.2,,,,
3299,,,,,19.25
3300,31.6,,,,
3301,,,,,31.83
3302,,,,1883.78,
3303,,19.66,,,
3304,,20.91,,,
3305,,,,,17.17
3306,,,,,19.72
3307,,,15.24,,
3308,,,15.38,,
3309,41.7,,,,
3310,,,,,47.88
3311,,,,1988.34,
3312,,,,2117.51,
3313,,,,,14.49
3314,,,,,7.27
3315,,,,2584.14,
3316,,10.43,,,
3317,,,16.22,,
3318,,,15.48,,
3319,,,,,21.16
3320,,,,,31.96
3321,,,,,25.05
3322,33.3,,,,
3323,,,14.66,,
3324,,9.06,,,
3325,,,,2252.05,
3326,,,14.66,,
3327,,,,,18.86
3328,,5.54,,,
3329,,,15.42,,
3330,,3.69,,,
3331,,,,2122.34,
3332,,4.2,,,
3333,,3.8,,,
3334,,,,,43.62
3335,,5.34,,,
3336,,,,,9.41
3337,,,,3610.8,
3338,,,15.17,,
3339,,11.73,,,
3340,,,,,22.46
3341,,11.29,,,
3342,,,15.16,,
3343,,,,,14.52
3344,,11.65,,,
3345,,,,2457.4,
3346,,,14.65,,
3347,,,,2301.91,
3348,62.2,,,,
3349,,5.37,,,
3350,,5.01,,,
3351,64.3,5.23,15.46,2754.49,7.84
3352,74.3,,,,
3353,,,,,17.36
3354,,4.47,,,
3355,,,,,29.03
3356,71.6,,,,
3357,,,,,31.3
3358,58.5,4.86,15.42,2202.7,24.95
3359,,,15.6,,
3360,,,15.84,,
3361,,14.34,,,
3362,,,,2479.74,
3363,,,,2533.96,
3364,,31.17,,,
3365,,,15.08,,
3366,,35.39,,,
3367,,,14.38,,
3368,,5.77,,,
3369,,4.44,,,
3370,,,,2366.41,
3371,35.6,,,,
3372,,,14.72,,
3373,,2.16,,,
3374,,,,,29.04
3375,,,,,33.44
3376,,,15.02,,
3377,,,15.66,,
3378,32.8,,,,
3379,,2.46,,,
3380,,3.11,,,
3381,,,,2651.26,
3382,,,,2910.06,
3383,33.8,,,,
3384,,9.94,,,
3385,,18.01,,,
3386,,,,,7.77
3387,,,14.83,,
3388,,,,,9.91
3389,,,,,7.45
3390,23.3,,,,
3391,,5.85,,,
3392,,,14.72,,
3393,,,,2194.91,
3394,,,,2152.56,
3395,,,15.34,,
3396,,,,,39.25
3397,,,,,37.3
3398,,2.81,,,
3399,,,,2115.55,
3400,,4.27,,,
3401,37.9,,,,
3402,33.8,,,,
3403,,,15.15,,
3404,,14.05,,,
3405,,,14.78,,
3406,,,,,19.18
3407,28.9,,,,
3408,31.7,,,,
3409,,,,2080.99,
3410,25.5,,,,
3411,,,,,8.88
3412,,44.57,,,
3413,,31.21,,,
3414,,,,,21.34
3415,,,,,23.21
3416,,,,,22.87
3417,,,,,17.52
3418,25.5,,,,
3419,,,14.74,,
3420,,,14.62,,
3421,,,,,6.12
3422,,,,2222.5,
3423,28.2,,,,
3424,,20.36,,,
3425,,,,,15.73
3426,,,,,16.59
3427,,22.74,,,
3428,,17.61,,,
3429,25.9,,,,
3430,,10.17,,,
3431,,,,,20.55
3432,35.0,,,,
3433,,,,2108.05,
3434,,,,2045.45,
3435,,,,,32.85
3436,,,,2025.14,
3437,,,15.35,,
3438,,,,,17.06
3439,,,,,11.73
3440,,,,2210.24,
3441,,,,2142.9,
3442,,,,,22.85
3443,,,,,28.25
3444,29.0,,,,
3445,,,,,21.75
3446,,,14.12,,
3447,23.4,,,,
3448,,,,,29.72
3449,,,,1699.63,
3450,,,14.52,,
3451,,,14.41,,
3452,,,14.67,,
3453,,,,2066.88,
3454,,7.01,,,
3455,19.7,,,,
3456,,,14.88,,
3457,,,15.05,,
3458,,,,,24.93
3459,,,15.25,,
3460,,,,,46.63
3461,,,9.86,,
3462,77.8,,,,
3463,,,,1240.81,
3464,,22.67,,,
3465,,,11.65,,
3466,,,12.41,,
3467,,,,813.55,
3468,,,,,5.93
3469,,25.59,,,
3470,,,,,6.43
3471,,22.94,,,
3472,74.7,,,,
3473,,,,812.1,
3474,66.8,,,,
3475,,17.7,,,
3476,,,9.34,,
3477,45.5,,,,
3478,,,,811.81,
3479,,10.32,,,
3480,,14.2,,,
3481,83.5,,,,
3482,,,,,29.06
3483,,29.03,,,
3484,,22.51,,,
3485,,15.21,,,
3486,,18.9,,,
3487,,,,,6.69
3488,,,,814.0,
3489,,22.66,,,
3490,,,11.61,,
3491,,,,,5.69
3492,,,,813.7,
3493,,,,813.56,
3494,,32.23,,,
3495,,24.13,,,
3496,,26.8,,,
3497,66.1,,,,
3498,,,,,11.65
3499,,,,812.18,
3500,,19.53,,,
3501,,15.34,,,
3502,,,,812.0,
3503,,20.74,,,
3504,53.3,,,,
3505,,,,,35.75
3506,,,,,37.42
3507,,,,,32.56
3508,,15.24,,,
3509,,12.81,,,
3510,40.7,,,,
3511,38.7,,,,
3512,,,,,5.35
3513,,23.67,,,
3514,,,,812.7,
3515,63.1,,,,
3516,,,,812.54,
3517,,23.83,,,
3518,,20.92,,,
3519,,17.19,,,
3520,,,,812.67,
3521,,,8.96,,
3522,,3.77,,,
3523,,,,854.63,
3524,27.4,,,,
3525,23.0,,,,
3526,,,8.79,,
3527,,4.05,,,
3528,,3.85,,,
3529,,,,654.13,
3530,,,,625.0,
3531,,,,,9.5
3532,,2.61,,,
3533,27.1,,,,
3534,,,,1001.87,
3535,,,,,20.12
3536,31.2,,,,
3537,,,,,29.94
3538,,,,1019.01,
3539,,2.43,,,
3540,22.7,,,,
3541,29.6,,,,
3542,,,,,5.8
3543,39.6,,,,
3544,,,,,6.06
3545,56.1,,,,
3546,,,,1915.79,
3547,,,,1487.12,
3548,59.6,,,,
3549,,,,,5.34
3550,,,9.2,,
3551,,,,972.34,
3552,,,,,5.36
3553,,,,1179.09,
3554,,,,,6.39
3555,42.1,,,,
3556,62.3,,,,
3557,,,,,16.65
3558,,26.19,,,
3559,,27.31,,,
3560,,20.72,,,
3561,,,,,23.85
3562,,,,1729.48,
3563,54.0,,,,
3564,,,,2878.97,
3565,,,11.37,,
3566,,14.21,,,
3567,,,10.49,,
3568,,,10.31,,
3569,,,10.17,,
3570,76.9,,,,
3571,,,,,5.22
3572,62.5,,,,
3573,,,9.2,,
3574,,,,1257.99,
3575,,,,1152.56,
3576,,,,1130.85,
3577,,,,,5.99
3578,,,10.46,,
3579,59.9,,,,
3580,,,,,14.48
3581,,,,,24.81
3582,,18.97,,,
3583,,,,,41.56
3584,54.5,,,,
3585,,,,1103.86,
3586,46.8,,,,
3587,,5.74,,,
3588,38.5,,,,
3589,,,,,6.55
3590,,6.6,,,
3591,76.5,,,,
3592,,,,2448.42,
3593,,,10.02,,
3594,,,9.98,,
3595,63.7,,,,
3596,,14.21,,,
3597,,17.3,,,
3598,,,9.22,,
3599,,12.94,,,
3600,54.5,,,,
3601,54.7,,,,
3602,,,,1519.08,
3603,,18.61,,,
3604,68.4,,,,
3605,,,10.17,,
3606,,,10.46,,
3607,,,,,24.88
3608,,,10.39,,
3609,,,,,32.92
3610,,,10.86,,
3611,,,10.79,,
3612,51.5,,,,
3613,61.8,,,,
3614,,,,2644.52,
3615,,,,2643.97,
3616,,17.76,,,
3617,,,10.22,,
3618,,,,,5.98
3619,,,,1769.62,
3620,,,,1570.1,
3621,59.5,,,,
3622,,,,1342.52,
3623,,,,1361.82,
3624,,,,,5.89
3625,47.0,,,,
3626,62.8,,,,
3627,,,11.38,,
3628,74.4,,,,
3629,78.1,,,,
3630,,,,1331.98,
3631,,,10.98,,
3632,,,,1229.16,
3633,,11.24,,,
3634,,,11.17,,
3635,,10.1,,,
3636,,,,,14.61
3637,,,,,14.22
3638,,,,1436.51,
3639,45.9,,,,
3640,55.5,,,,
3641,48.7,,,,
3642,,,,1349.36,
3643,,,,1285.71,
3644,,,,1408.12,
3645,,,,,13.2
3646,,5.35,,,
3647,,,9.08,,
3648,,4.85,,,
3649,,,8.86,,
3650,,,9.06,,
3651,23.0,,,,
3652,,,9.19,,
3653,,,,,8.68
3654,,,9.83,,
3655,,,,,9.21
3656,15.9,,,,
3657,,,,1157.69,
3658,,,,1257.26,
3659,,,,1440.9,
3660,,,,,7.01
3661,,,9.62,,
3662,,8.25,,,
3663,29.0,,,,
3664,,,,1470.56,
3665,,,,,20.97
3666,,,,1424.0,
3667,,,,,23.59
3668,,,9.95,,
3669,,,9.94,,
3670,,,,1759.67,
3671,,,,,5.65
3672,,10.91,,,
3673,45.2,,,,
3674,,,,2020.28,
3675,,,,,5.6
3676,,,9.13,,
3677,,,,,5.11
3678,,,,1572.11,
3679,27.7,,,,
3680,,12.95,,,
3681,,,,1914.35,
3682,,13.11,,,
3683,,,,1894.38,
3684,,,,1891.16,
3685,,,,1635.63,
3686,47.7,,,,
3687,,,,1495.67,
3688,,14.8,,,
3689,,,10.7,,
3690,,,,1828.81,
3691,38.7,10.77,10.87,2279.82,6.12
3692,,16.58,,,
3693,,18.98,,,
3694,,22.42,,,
3695,72.1,,,,
3696,,,,,5.43
3697,,32.3,,,
3698,,,,2506.89,
3699,77.3,,,,
3700,,,,2022.46,
3701,65.1,,,,
3702,,13.74,,,
3703,,,,,5.41
3704,,11.43,,,
3705,,9.42,,,
3706,,,10.0,,
3707,,,,,8.44
3708,,,,,10.48
3709,,19.03,,,
3710,,,10.69,,
3711,,,,1795.63,
3712,,,,1725.0,
3713,61.5,,,,
3714,84.6,,,,
3715,,,11.91,,
3716,,,13.0,,
3717,,,,,5.72
3718,,,,3952.59,
3719,127.4,,,,
3720,136.4,,,,
3721,,37.94,,,
3722,,,,,5.2
3723,,,,3226.41,
3724,,,,,5.42
3725,,,,2296.2,
3726,,,,2205.12,
3727,,,,1980.54,
3728,,,,,5.73
3729,,,,,5.92
3730,,,,,7.04
3731,,,,2035.54,
3732,,,,1957.24,
3733,,18.14,,,
3734,53.4,,,,
3735,,21.07,,,
3736,,26.04,,,
3737,85.4,20.62,10.47,2174.21,8.56
3738,,,,2932.48,
3739,,,11.6,,
3740,,,,,4.95
3741,,34.67,,,
3742,,,,,5.3
3743,,,,4301.83,
3744,338.1,,,,
3745,,29.46,,,
3746,,,,3165.28,
3747,,,,,5.15
3748,97.0,,,,
3749,115.5,,,,
3750,,,,1930.57,
3751,,15.83,,,
3752,,,,,6.02
3753,,,,2739.14,
3754,1126.8,,,,
3755,,,,,5.73
3756,,26.45,,,
3757,,,11.97,,
3758,99.1,,,,
3759,,,10.53,,
3760,86.5,,,,
3761,87.6,,,,
3762,,,12.72,,
3763,,,,5112.55,
3764,,,,6309.1,
3765,,,,5759.13,
3766,,,,,5.57
3767,,,,4509.55,
3768,,,11.78,,
3769,,,,,5.7
3770,96.6,,,,
3771,,,,,7.28
3772,69.1,,,,
3773,,,9.99,,
3774,,,,,5.93
3775,,,11.61,,
3776,,,,3766.2,
3777,110.7,,,,
3778,,,,,7.51
3779,,,,2476.67,
3780,,,11.37,,
3781,,,,1948.77,
3782,,,,,12.01
3783,,,10.45,,
3784,,,,,5.2
