,S2_PM10,S2_PM25,S2_SO2,S2_CO,S2_03
499,22.1,2.04,4.01,2030.73,7.69
500,,1.43,,,
501,,,,2857.15,
502,,40.09,,,
503,71.9,,,,
504,,,,,10.01
505,44.1,,,,
506,,,,,6.79
507,,,,,6.32
508,,15.44,,,
509,,16.64,,,
510,,,,2361.98,
511,56.9,,,,
512,,,,2036.74,
513,,11.39,,,
514,,8.3,,,
515,,5.81,,,
516,,,3.96,,
517,28.0,,,,
518,,,3.56,,
519,42.7,,,,
520,,,4.85,,
521,,,,,13.33
522,,,,,12.91
523,,,,1876.13,
524,,13.56,,,
525,,,5.58,,
526,,9.73,,,
527,55.4,,,,
528,,,4.77,,
529,,6.66,,,
530,,,,2532.14,
531,,,5.72,,
532,,,,,5.75
533,,,5.02,,
534,53.2,,,,
535,48.1,,,,
536,,,,,5.35
537,43.9,,,,
538,,,,2461.17,
539,,9.37,,,
540,,,,,7.75
541,,,,,9.55
542,,,,,10.42
543,49.0,,,,
544,,,,,7.98
545,53.5,,,,
546,,,,,9.12
547,54.6,25.0,6.0,1810.42,11.9
548,,,6.11,,
549,,13.6,,,
550,,,6.16,,
551,,,,,6.23
552,,15.52,,,
553,,,8.09,,
554,,,,,5.45
555,,,,,5.73
556,,16.47,,,
557,,,,,5.59
558,,,,,7.66
559,,,6.2,,
560,,28.9,,,
561,76.5,,,,
562,,22.8,,,
563,,,,1680.52,
564,65.6,,,,
565,,11.58,,,
566,,,,,6.67
567,,,,,7.07
568,,,,2818.62,
569,,,,,5.64
570,,,,,6.14
571,103.2,,,,
572,,6.96,,,
573,,,,1877.92,
574,,,,2107.44,
575,43.3,,,,
576,,,,2629.82,
577,,,,2340.05,
578,55.4,,,,
579,,8.98,,,
580,,,4.14,,
581,44.5,,,,
582,41.6,,,,
583,,,,,5.64
584,,,,1788.02,
585,39.9,,,,
586,,,4.6,,
587,,,,,12.21
588,,15.17,,,
589,,,,,12.95
590,,,,,13.15
591,37.4,,,,
592,,7.85,,,
593,28.5,,,,
594,,6.93,,,
595,63.9,,,,
596,41.3,,,,
597,35.5,,,,
598,26.6,,,,
599,,4.97,,,
600,18.4,,,,
601,21.4,,,,
602,,,,761.4,
603,,,,773.74,
604,,,,,18.22
605,48.0,,,,
606,,,,,17.5
607,,,3.18,,
608,,,,831.98,
