,S14_PM10,S14_PM25,S14_SO2,S14_NO2,S14_NOX,S14_NO,OUT
176,56.3,28.44,4.48,242.4,455.78,213.38,3
177,65.52,28.85,4.17,115.68,156.93,41.25,3
178,69.27,24.35,4.67,93.57,116.56,22.99,3
179,66.49,24.12,3.11,50.63,64.67,14.04,2
180,47.59,19.08,3.48,53.62,57.78,4.16,2
181,37.83,15.3,2.11,46.37,50.04,3.67,2
182,33.56,15.4,1.3,47.29,51.31,4.02,2
183,30.01,13.22,1.8,51.35,56.0,4.65,2
184,31.3,9.26,1.71,42.92,45.97,3.05,2
185,25.04,9.07,1.4,63.22,83.77,20.55,3
186,28.37,10.62,1.42,104.88,172.31,67.43,3
187,39.22,8.17,2.33,164.58,316.99,152.41,3
188,53.09,15.27,4.26,173.71,328.24,154.53,3
189,67.84,19.85,6.45,111.21,180.79,69.58,3
190,89.69,35.6,7.25,112.19,170.73,58.54,4
191,90.26,29.13,7.32,40.0,50.53,10.53,4
192,37.91,17.03,4.15,207.6,359.59,151.99,3
193,50.42,23.31,3.16,149.74,278.54,128.8,3
194,59.89,33.94,3.36,107.65,186.08,78.43,3
195,59.18,25.4,4.46,188.82,353.29,164.47,3
196,76.41,26.09,4.67,171.86,310.96,139.1,3
197,88.79,33.6,3.54,111.69,153.4,41.71,3
198,59.29,21.57,1.78,79.36,105.08,25.72,3
199,51.4,19.18,1.83,81.84,120.44,38.6,2
200,43.8,13.96,1.92,71.31,98.69,27.38,2
201,36.37,10.25,2.74,83.08,127.23,44.15,2
202,35.84,8.02,3.81,81.15,134.12,52.97,3
203,32.22,5.7,3.63,131.54,244.82,113.28,3
204,27.75,4.26,8.05,156.0,304.55,148.55,3
205,36.2,5.42,8.87,125.38,229.27,103.89,3
206,49.71,8.53,8.64,124.62,220.18,95.56,3
207,74.03,14.49,22.49,125.0,214.9,89.9,3
208,89.18,23.08,14.85,112.66,166.17,53.51,3
209,84.65,23.23,9.6,98.9,132.23,33.33,3
210,76.76,24.61,6.56,55.91,67.3,11.39,3
211,68.03,26.08,5.67,74.46,88.77,14.31,3
212,53.69,25.58,4.95,83.48,98.18,14.7,3
213,50.91,25.74,5.05,88.53,98.01,9.48,2
214,46.28,19.84,4.94,93.0,97.83,4.83,3
215,40.7,15.25,4.61,131.01,150.08,19.07,3
216,39.11,11.71,5.29,162.15,244.73,82.58,3
217,55.85,16.26,4.24,122.01,174.48,52.47,3
218,66.29,22.47,4.66,141.2,236.34,95.14,3
219,68.13,23.04,5.2,119.11,177.07,57.96,3
220,63.71,28.84,6.09,104.76,146.5,41.74,3
221,64.52,21.29,6.28,107.36,154.28,46.92,3
222,66.86,17.63,10.43,107.11,147.08,39.97,3
223,72.48,21.75,6.27,125.9,195.07,69.17,3
224,62.21,24.68,4.82,101.0,134.76,33.76,2
225,49.23,23.09,3.25,96.58,126.35,29.77,3
226,55.07,17.01,3.66,106.31,165.15,58.84,3
227,54.26,14.6,4.72,128.49,215.36,86.87,3
228,60.43,18.66,4.93,186.59,360.29,173.7,3
229,64.09,19.9,12.13,128.92,221.56,92.64,3
230,70.54,15.71,13.7,120.76,188.67,67.91,3
231,72.61,24.3,11.99,113.71,159.23,45.52,3
232,75.94,38.71,10.46,95.72,128.32,32.6,3
233,80.6,34.49,11.1,106.81,141.48,34.67,3
234,86.97,30.15,7.56,113.38,144.18,30.8,3
235,85.76,26.77,5.53,93.93,103.34,9.41,3
236,82.3,22.71,4.92,87.88,96.79,8.91,3
237,72.76,24.99,5.4,100.99,107.36,6.37,3
238,67.56,22.13,5.39,123.68,153.38,29.7,3
239,65.71,16.16,5.72,149.53,223.45,73.92,3
240,12.63,2.52,1.32,128.03,172.98,44.95,4
241,19.58,3.9,3.7,320.58,666.57,345.99,4
242,37.06,13.47,4.45,283.78,564.32,280.54,3
243,44.3,25.05,5.25,160.03,251.18,91.15,3
244,40.77,23.26,5.5,135.42,199.85,64.43,2
245,36.66,20.52,5.27,76.04,95.5,19.46,2
246,38.47,19.19,4.5,56.52,65.61,9.09,2
247,29.3,14.05,3.64,44.09,47.93,3.84,2
248,26.05,10.89,3.17,55.03,58.04,3.01,2
249,25.05,8.33,2.77,60.28,64.0,3.72,2
250,26.64,7.48,2.71,81.35,86.11,4.76,2
251,32.47,8.42,2.08,92.87,114.71,21.84,2
252,6.46,2.19,2.33,87.6,133.02,45.42,2
253,10.7,2.45,3.51,54.37,83.3,28.93,1
254,21.47,2.75,3.64,28.21,38.46,10.25,3
255,5.32,1.87,2.55,135.91,224.3,88.39,2
256,15.88,1.47,2.85,82.41,107.97,25.56,2
257,26.96,1.54,3.87,59.85,77.62,17.77,2
258,32.49,1.84,4.83,32.36,49.95,17.59,2
259,31.33,1.8,4.23,39.49,45.43,5.94,2
