,S9_PM10,S9_SO2,S9_NO2,S9_NOX,S9_NO,OUT
193,54.91,3.5,119.2,175.02,55.82,3
194,57.21,3.2,101.0,131.1,30.1,3
195,58.19,3.82,134.93,221.08,86.15,3
196,59.26,3.79,143.4,244.23,100.83,3
197,57.22,3.67,153.93,275.59,121.66,3
198,53.04,3.94,173.17,331.61,158.44,3
199,51.72,4.0,175.45,347.12,171.67,3
200,47.69,3.71,139.96,258.18,118.22,3
201,58.79,2.9,107.96,170.74,62.78,2
202,47.31,2.69,92.78,131.13,38.35,2
203,42.43,2.16,82.68,104.31,21.63,3
204,35.03,2.67,106.31,164.07,57.76,3
205,38.68,4.84,144.65,271.81,127.16,2
206,42.14,4.45,82.7,218.73,136.03,3
207,53.2,4.43,110.47,168.43,57.96,3
208,67.58,4.04,83.8,118.68,34.88,3
209,76.34,3.54,72.44,94.96,22.52,3
210,64.81,3.55,79.55,105.23,25.68,3
211,64.34,2.9,45.0,53.77,8.77,3
212,52.64,2.73,29.26,32.35,3.09,2
213,44.02,3.01,31.62,33.3,1.68,2
214,42.85,3.5,72.12,83.85,11.73,3
215,39.47,3.63,128.36,192.28,63.92,3
216,39.92,4.31,161.2,278.29,117.09,4
217,53.05,4.43,208.11,396.45,188.34,3
218,71.28,5.23,173.79,322.57,148.78,3
219,75.39,4.63,114.44,177.46,63.02,3
220,67.76,5.71,123.06,200.66,77.6,3
221,69.11,5.35,76.13,127.41,51.28,3
222,74.92,5.33,73.46,98.41,24.95,3
223,71.33,6.03,92.38,127.53,35.15,3
224,58.76,4.55,58.68,69.6,10.92,3
225,70.65,4.07,66.17,73.43,7.26,3
226,71.99,3.41,57.66,62.45,4.79,3
227,62.73,3.18,63.97,72.16,8.19,3
228,60.59,4.17,102.9,159.34,56.44,3
229,66.19,4.04,91.71,132.51,40.8,3
230,70.86,4.31,91.53,129.08,37.55,3
231,73.17,5.83,106.64,153.93,47.29,3
232,85.3,6.13,117.2,175.05,57.85,3
233,80.12,5.21,90.73,119.43,28.7,3
234,85.61,3.45,64.05,75.68,11.63,3
235,76.46,4.7,79.02,97.88,18.86,3
236,85.63,3.91,69.28,83.32,14.04,3
237,59.89,3.38,64.28,74.56,10.28,3
238,68.07,3.01,57.11,66.97,9.86,3
239,60.34,3.16,56.5,65.0,8.5,1
240,10.14,2.52,49.92,57.31,7.39,2
241,7.15,2.62,85.31,106.02,20.71,2
242,7.46,2.75,68.91,90.08,21.17,2
243,13.44,2.74,57.45,68.04,10.59,1
244,10.82,2.52,40.18,47.59,7.41,1
245,14.44,2.79,25.67,30.06,4.39,1
246,11.47,2.8,22.28,24.59,2.31,1
247,15.66,2.6,24.71,27.15,2.44,1
248,20.76,2.7,27.86,30.19,2.33,1
249,16.85,2.8,30.7,31.86,1.16,1
250,23.02,2.52,37.82,38.88,1.06,2
251,17.66,2.86,50.28,52.98,2.7,1
252,8.1,2.92,37.8,44.19,6.39,1
253,17.85,3.08,31.15,39.94,8.79,1
254,14.89,3.27,20.36,22.57,2.21,2
255,9.6,4.95,61.43,73.85,12.42,2
256,8.24,4.38,71.27,94.61,23.34,2
257,9.78,4.84,67.76,91.55,23.79,1
258,14.9,4.15,42.49,51.65,9.16,1
259,12.42,4.43,41.3,51.18,9.88,1
260,14.22,3.91,36.77,41.38,4.61,2
261,26.14,3.78,37.55,41.79,4.24,2
262,29.94,3.68,45.15,50.74,5.59,2
263,22.67,3.83,50.16,51.92,1.76,2
264,26.94,3.85,58.02,59.24,1.22,2
265,27.06,3.53,74.89,101.75,26.86,3
266,21.19,3.26,100.92,146.22,45.3,3
267,33.82,3.67,108.06,162.03,53.97,2
268,41.39,3.51,98.71,133.49,34.78,2
269,44.12,3.26,74.64,84.91,10.27,2
270,45.29,3.25,69.89,81.95,12.06,2
271,33.22,3.13,66.1,76.85,10.75,2
272,39.93,3.0,40.05,41.52,1.47,2
273,34.88,2.81,32.12,33.87,1.75,2
274,32.74,2.72,27.26,29.24,1.98,2
275,26.76,2.63,28.67,30.09,1.42,1
276,19.01,2.75,39.91,42.26,2.35,2
277,15.7,2.85,55.42,58.47,3.05,2
278,17.68,2.77,67.35,78.46,11.11,1
279,17.49,2.96,48.52,59.55,11.03,2
280,13.26,3.46,72.7,112.85,40.15,2
281,19.32,3.4,58.85,88.88,30.03,1
282,22.72,3.1,31.82,41.11,9.29,2
283,25.96,3.54,37.27,40.95,3.68,1
284,5.71,3.29,49.68,54.26,4.58,2
285,13.1,4.21,54.93,57.35,2.42,2
286,18.99,4.25,65.1,69.99,4.89,2
287,22.99,4.41,57.19,62.77,5.58,2
288,22.38,4.03,58.24,63.71,5.47,2
289,19.84,3.77,63.28,68.9,5.62,2
290,12.69,3.31,52.17,59.64,7.47,1
291,13.06,3.28,45.84,50.46,4.62,1
292,12.43,3.42,38.31,42.56,4.25,1
293,11.23,3.15,27.77,31.14,3.37,1
294,7.11,3.15,32.78,35.9,3.12,1
295,5.52,3.3,24.34,27.38,3.04,1
296,5.57,3.36,22.42,25.08,2.66,1
297,6.39,3.17,18.99,20.62,1.63,1
298,5.66,3.02,17.19,20.27,3.08,1
299,5.19,3.13,17.67,20.75,3.08,1
300,5.41,3.02,19.99,22.04,2.05,1
301,4.77,3.33,24.55,26.52,1.97,1
302,4.01,3.38,36.55,40.63,4.08,1
303,8.54,3.77,35.84,47.39,11.55,1
304,11.72,4.41,35.49,47.99,12.5,1
305,11.78,3.66,18.78,24.76,5.98,1
306,9.25,3.31,17.61,22.68,5.07,1
307,8.2,3.16,20.81,26.49,5.68,1
308,9.41,3.6,33.35,35.41,2.06,1
309,9.13,3.38,28.47,31.4,2.93,1
310,8.73,3.26,28.6,31.73,3.13,1
311,6.11,3.28,31.96,35.39,3.43,1
312,4.6,3.35,26.9,30.01,3.11,2
313,12.81,6.68,70.16,106.54,36.38,1
314,24.68,7.6,45.94,67.35,21.41,1
315,22.84,1.3,20.19,23.59,3.4,2
316,25.25,0.92,49.69,51.98,2.29,1
317,17.77,0.79,48.26,51.82,3.56,1
318,17.94,0.9,48.66,49.75,1.09,2
319,25.75,1.36,22.38,23.34,0.96,2
320,26.56,2.76,78.61,117.07,38.46,1
321,18.99,2.5,49.54,64.05,14.51,2
322,26.4,1.55,21.55,23.61,2.06,1
323,19.28,2.47,31.76,35.72,3.96,1
324,23.87,2.63,32.74,36.65,3.91,2
325,26.52,1.83,34.39,37.5,3.11,1
326,19.13,1.4,28.93,30.86,1.93,1
327,13.4,1.53,35.22,37.67,2.45,1
328,10.14,1.27,35.56,37.67,2.11,1
329,10.18,1.34,26.4,28.56,2.16,1
330,9.5,2.05,33.22,35.04,1.82,2
331,10.28,2.54,53.29,58.27,4.98,1
332,13.19,2.1,35.51,36.66,1.15,1
333,10.1,3.14,35.7,36.97,1.27,1
334,13.64,3.08,38.5,39.74,1.24,1
335,23.03,1.64,18.0,18.71,0.71,1
336,16.27,1.24,15.57,16.47,0.9,1
337,24.27,1.14,16.51,17.55,1.04,1
338,18.38,1.09,18.03,18.96,0.93,1
339,13.18,1.06,25.18,26.85,1.67,1
340,19.06,1.2,29.13,30.55,1.42,1
341,19.73,0.94,19.52,21.49,1.97,1
342,23.09,0.95,17.88,20.48,2.6,1
343,18.14,1.18,16.88,20.02,3.14,1
344,22.04,1.24,16.04,18.79,2.75,1
345,19.39,1.12,16.21,19.19,2.98,2
346,26.73,1.22,15.96,20.38,4.42,1
347,19.06,1.42,23.16,27.07,3.91,1
348,19.09,1.4,28.78,33.31,4.53,1
349,15.43,1.63,31.52,34.64,3.12,1
350,20.02,1.7,46.43,50.89,4.46,1
351,18.14,1.53,47.57,51.78,4.21,2
352,21.4,1.14,56.19,62.61,6.42,2
