,S15_PM10,S15_SO2,S15_NO2,S15_NOX,S15_NO,S15_O3
2372,,,51.79,,,
2373,,,,,,33.11
2374,,,,,,58.82
2375,,,,,7.62,
2376,,4.31,,,,
2377,,,,,,46.75
2378,,,,,4.47,
2379,,4.37,,,,
2380,,,,22.77,,
2381,,,,,,36.96
2382,,,12.33,,,
2383,,,,,4.94,
2384,,,,,7.28,
2385,,3.8,,,,
2386,,,,,,81.94
2387,,4.1,,,,
2388,,,,,,111.43
2389,,,,,,106.17
2390,,,12.74,,,
2391,,,,,,81.19
2392,13.47,,,,,
2393,,,,43.54,,
2394,,4.07,,,,
2395,,4.07,,,,
2396,,,,,,25.81
2397,,,,57.16,,
2398,,,,,,15.73
2399,,5.1,,,,
2400,33.25,,,,,
2401,,,,,,8.52
2402,,,,,,21.28
2403,39.05,,,,,
2404,41.36,,,,,
2405,,4.18,,,,
2406,,,,,7.45,
2407,,2.68,,,,
2408,18.67,,,,,
2409,15.77,,,,,
2410,,2.19,,,,
2411,22.7,,,,,
2412,,,,42.19,,
2413,,,,24.4,,
2414,,,,19.91,,
2415,,,,,3.93,
2416,23.55,,,,,
2417,17.35,,,,,
2418,,0.27,,,,
2419,,,,,4.03,
2420,,,,,,38.88
2421,,4.81,,,,
2422,,,,24.97,,
2423,,,,18.81,,
2424,20.54,,,,,
2425,,4.46,,,,
2426,,,,,5.78,
2427,15.38,,,,,
2428,,,,51.0,,
2429,,,146.29,,,
2430,,,,,104.43,
2431,50.61,,,,,
2432,45.29,,,,,
2433,,,,,5.71,
2434,,,,,4.73,
2435,23.42,,,,,
2436,,,23.22,,,
2437,,,,,3.95,
2438,,,,,,31.16
2439,24.56,,,,,
2440,,,,17.77,,
2441,,,10.5,,,
2442,,,,,,88.81
2443,,,10.27,,,
2444,,,,15.88,,
2445,,,,,5.01,
2446,,5.13,,,,
2447,,,,,,53.83
2448,,,170.21,,,
2449,,6.6,,,,
2450,,,,,,2.67
2451,,,,,,34.66
2452,52.84,,,,,
2453,,6.32,,,,
2454,,6.02,,,,
2455,,6.04,,,,
2456,,,44.13,,,
2457,,,,,11.38,
2458,,,59.9,,,
2459,,,,,18.9,
2460,,,11.27,,,
2461,,,,,5.11,
2462,39.47,,,,,
2463,,,13.09,,,
2464,,,,,5.08,
2465,,,,18.18,,
2466,,5.78,,,,
2467,,,,,5.69,
2468,,,,,,90.46
2469,,,,,,75.4
2470,,5.55,,,,
2471,,,,21.51,,
2472,,,,,6.61,
2473,,,,77.85,,
2474,,6.24,,,,
2475,37.83,,,,,
2476,,5.58,,,,
2477,,,,25.2,,
2478,,,,,,41.65
2479,,,10.08,,,
2480,,,,,6.67,
2481,,5.22,,,,
2482,,,,,6.28,
2483,,,16.62,,,
2484,,4.0,,,,
2485,,,,,,53.53
2486,,4.12,,,,
2487,,,,,5.3,
2488,,,,,,67.83
2489,,,,20.25,,
2490,,,,21.25,,
2491,,,,22.99,,
2492,,,24.68,,,
2493,,,,42.6,,
2494,,,,,,59.19
2495,,,,,13.68,
2496,34.66,,,,,
2497,,,18.01,,,
2498,,,,,,36.47
2499,,,,,,34.49
2500,,,,,,32.68
2501,23.76,,,,,
2502,,,,,,29.14
2503,,,,52.73,,
2504,29.76,,,,,
2505,,,,56.46,,
2506,50.18,,,,,
2507,,4.15,,,,
2508,,,,,5.36,
2509,,,,,4.96,
2510,,,10.59,,,
2511,,,14.03,,,
2512,31.01,,,,,
2513,,,13.59,,,
2514,65.22,,,,,
2515,,,,,6.38,
2516,,,,19.58,,
2517,,3.26,,,,
2518,,,,,4.95,
2519,,,,,,29.82
2520,,4.1,,,,
2521,,,,,4.58,
2522,,4.49,,,,
2523,,,,,,31.18
2524,,,13.76,,,
2525,,,,15.92,,
2526,19.31,,,,,
2527,21.96,,,,,
2528,,,,15.74,,
2529,,,,,6.32,
2530,,,,,5.36,
2531,42.13,,,,,
2532,,2.81,,,,
2533,,,17.95,,,
2534,,,16.09,,,
2535,,,,,,30.46
2536,,,,25.17,,
2537,,,,21.47,,
2538,,3.25,,,,
2539,,3.32,,,,
2540,,,,13.77,,
2541,,,,,,17.3
2542,,,,,,14.76
2543,,,,28.6,,
2544,28.41,,,,,
2545,,,,,6.04,
2546,,,,16.19,,
2547,,3.0,,,,
2548,,,,16.41,,
2549,,2.58,,,,
2550,,,,14.57,,
2551,,,,,,24.58
2552,,,,,,23.6
2553,,,,,4.05,
2554,,2.47,,,,
2555,,,,21.85,,
2556,,,,,,35.89
2557,,,,,6.18,
2558,,,,,,39.71
2559,21.81,,,,,
2560,,,11.34,,,
2561,,,,19.72,,
2562,,,,21.3,,
2563,,,21.92,,,
2564,,,26.25,,,
2565,,,,47.54,,
2566,,,,,8.23,
2567,,,15.94,,,
2568,,,,19.24,,
2569,,,8.18,,,
2570,,,,11.64,,
2571,,3.52,,,,
2572,,,,,,32.81
2573,13.97,,,,,
2574,,3.44,,,,
2575,,3.13,,,,
2576,,,,,5.43,
2577,22.75,,,,,
2578,28.51,,,,,
2579,,,,,,50.65
2580,,,,43.02,,
2581,,2.63,,,,
2582,,2.65,,,,
2583,,2.54,,,,
2584,,,7.58,,,
2585,,,,,3.88,
2586,,,,,,27.62
2587,,,8.8,,,
2588,,2.48,,,,
2589,14.78,,,,,
2590,,,,,5.33,
2591,,,,,4.56,
2592,,,,12.87,,
2593,,,8.55,,,
2594,,,8.96,,,
2595,,,11.28,,,
2596,13.62,,,,,
2597,,,,,,82.52
2598,16.86,,,,,
2599,,,,,4.76,
2600,26.33,,,,,
2601,,,,29.52,,
2602,,,,31.43,,
2603,,,,,,44.36
2604,,2.64,,,,
2605,,,,,3.96,
2606,,,,,,43.22
2607,,,15.44,,,
2608,,,,17.87,,
2609,,,14.09,,,
2610,,,15.61,,,
2611,,2.8,,,,
2612,,,11.93,,,
2613,,,,,,70.3
2614,,,,11.86,,
2615,,,10.69,,,
2616,,,,,6.16,
2617,,2.81,,,,
2618,,,,,4.41,
2619,,,,25.51,,
2620,,2.39,,,,
2621,,,15.21,,,
2622,,,,,,57.67
2623,40.23,,,,,
2624,31.09,,,,,
2625,,,,14.42,,
2626,,,,,,70.33
2627,,,,,,84.2
2628,,,12.19,,,
2629,,,,,5.74,
2630,,,,,7.06,
2631,,2.67,,,,
2632,,,,,,112.68
2633,,,15.84,,,
2634,,,,,5.98,
2635,,,,,6.13,
2636,,,,,4.81,
2637,,,,36.82,,
2638,,2.47,,,,
2639,,2.46,,,,
2640,,,,,,79.68
2641,,2.74,,,,
2642,,,,,,56.94
2643,,,,41.96,,
2644,33.47,,,,,
2645,,2.79,,,,
2646,,,26.71,,,
2647,,2.86,,,,
2648,,,15.4,,,
2649,,,11.27,,,
2650,,,,,6.11,
2651,22.61,,,,,
2652,,,,,,123.74
2653,,,11.59,,,
2654,27.71,,,,,
2655,,,,27.11,,
2656,40.95,,,,,
2657,46.16,,,,,
2658,50.15,,,,,
2659,55.52,,,,,
2660,,,,34.22,,
2661,,,31.13,,,
2662,,,30.35,,,
2663,36.28,,,,,
2664,,3.57,,,,
2665,,,,,,45.73
2666,,,,,,44.57
2667,,,,,,40.67
2668,,,23.07,,,
2669,24.0,,,,,
2670,30.11,,,,,
2671,26.81,,,,,
2672,,,,,,94.65
2673,,3.2,,,,
2674,,,,,,103.2
2675,,,,,9.6,
2676,,,,,,104.16
2677,,,,,,96.78
2678,,,,,5.36,
2679,51.37,,,,,
2680,,,,51.58,,
2681,,,,,3.96,
2682,,3.11,,,,
2683,27.36,,,,,
2684,,,,,,52.27
2685,,,,,,33.21
2686,,,,39.0,,
2687,,,,,,45.15
2688,25.04,,,,,
2689,,3.26,,,,
2690,,,,,,45.33
2691,,,,,,52.85
2692,,,19.84,,,
2693,,3.58,,,,
2694,36.71,,,,,
2695,,3.6,,,,
2696,,,,,5.27,
2697,,3.37,,,,
2698,,,,25.11,,
2699,,,,,,126.94
2700,,,,27.2,,
2701,,,87.21,,,
2702,,,,,,72.31
2703,,,,39.14,,
2704,,3.01,,,,
2705,,,,41.1,,
2706,23.49,,,,,
2707,,,19.8,,,
2708,,,,,,56.61
2709,,,,17.43,,
2710,,,,15.68,,
2711,,,,,,37.78
2712,,,,22.52,,
2713,35.94,,,,,
2714,,2.66,,,,
2715,31.66,,,,,
2716,,,12.05,,,
2717,,2.77,,,,
2718,,2.87,,,,
2719,,,,,,87.28
2720,27.28,,,,,
2721,,,10.74,,,
2722,28.6,,,,,
2723,,,,17.36,,
2724,,,,26.63,,
2725,,,,70.11,,
2726,,3.35,,,,
2727,,,,,,70.67
2728,31.36,,,,,
2729,,,,,,69.99
2730,,,,24.89,,
2731,,,,,3.71,
2732,,,,,,44.76
2733,,2.58,,,,
2734,,2.51,,,,
2735,,,,,3.91,
2736,,,,,3.85,
2737,,,,17.69,,
2738,22.3,,,,,
2739,,,,18.68,,
2740,,,10.27,,,
2741,,,,20.84,,
2742,,,,,5.75,
2743,14.88,,,,,
2744,,3.48,,,,
2745,,,,,,98.72
2746,14.46,,,,,
2747,,,21.68,,,
2748,,,27.8,,,
2749,,,21.6,,,
2750,20.44,,,,,
2751,,3.48,,,,
2752,24.1,,,,,
2753,20.87,,,,,
2754,,,,16.6,,
2755,,,12.27,,,
2756,,,,13.82,,
2757,,,,,3.5,
2758,,,13.02,,,
2759,,3.41,,,,
2760,,,,,,55.0
2761,,,,,,55.74
2762,,,,,,55.76
2763,,,12.67,,,
2764,,,,,6.6,
2765,,,,,,79.48
2766,,3.27,,,,
2767,,,,14.56,,
2768,26.18,,,,,
2769,,3.29,,,,
2770,,3.32,,,,
2771,,,,24.7,,
2772,,,,,4.71,
2773,,4.01,,,,
2774,,,,,20.43,
2775,32.3,,,,,
2776,,,,29.42,,
2777,,,,,3.88,
2778,,,,,,45.63
2779,,,17.51,,,
2780,,,16.36,,,
2781,,3.59,,,,
2782,25.74,,,,,
2783,,,,19.66,,
2784,,,,21.56,,
2785,,3.96,,,,
2786,19.55,,,,,
2787,,,,,5.47,
2788,,,,15.89,,
2789,,,,,4.94,
2790,,,,17.51,,
2791,,,,17.19,,
2792,,,,,4.64,
2793,,3.16,,,,
2794,,,16.52,,,
2795,,,,24.9,,
2796,,2.98,,,,
2797,,,,,,45.14
2798,,,,,14.22,
2799,46.28,,,,,
2800,,,27.14,,,
2801,37.96,,,,,
2802,,,,,4.66,
2803,,,21.14,,,
2804,,,,,3.5,
2805,,3.46,,,,
2806,29.16,,,,,
2807,26.38,,,,,
2808,,,,42.7,,
2809,,,,,,63.94
2810,34.51,,,,,
2811,,,,,5.87,
2812,,,8.77,,,
2813,,,9.34,,,
2814,,,,19.64,,
2815,,3.4,,,,
2816,,,11.98,,,
2817,,,,19.87,,
2818,,,,21.84,,
2819,,2.87,,,,
2820,,2.86,,,,
2821,,,102.29,,,
2822,,,,,84.41,
2823,,,,,10.39,
2824,,,25.29,,,
2825,,,,,,75.1
2826,,4.17,,,,
2827,,,14.02,,,
2828,,,15.0,,,
2829,,,,,,54.15
2830,21.39,,,,,
2831,,,,,4.64,
2832,,,,,9.22,
2833,40.62,,,,,
2834,34.1,4.55,15.45,21.68,6.23,74.47
2835,,,,,,80.51
2836,,,,,6.24,
2837,29.02,,,,,
2838,,,,14.49,,
2839,,,,,5.15,
2840,34.43,,,,,
2841,32.85,,,,,
2842,,,,22.59,,
2843,26.11,,,,,
2844,,3.55,,,,
2845,30.84,,,,,
2846,,,,,18.32,
2847,,,,,3.69,
2848,,,23.97,,,
2849,,,,29.33,,
2850,,,16.21,,,
2851,,,,16.96,,
2852,,,10.89,,,
2853,,,,,,49.75
2854,,,11.44,,,
2855,16.92,,,,,
2856,,,19.86,,,
2857,,3.64,,,,
2858,,,13.42,,,
2859,,,,,,91.69
2860,,,,,4.76,
2861,,,,18.36,,
2862,20.15,,,,,
2863,,,,21.12,,
2864,,,,23.24,,
2865,24.01,,,,,
2866,,,,64.31,,
2867,,,,,,54.16
2868,,3.28,,,,
2869,,,,,,62.46
2870,23.7,,,,,
2871,,,24.76,,,
2872,,,,,3.48,
2873,,,,,3.41,
2874,,,,,,55.51
2875,18.24,3.3,12.11,15.54,3.43,60.0
2876,,,,19.73,,
2877,,,20.43,,,
2878,,,18.64,,,
2879,,,,,5.8,
2880,,,8.67,,,
2881,,,,,,90.91
2882,,,,,7.86,
2883,,3.13,,,,
2884,13.39,3.04,8.87,14.5,5.62,95.56
2885,12.99,,,,,
2886,,,,,5.71,
2887,,,,22.63,,
2888,,,,55.34,,
2889,,3.59,,,,
2890,,,,34.85,,
2891,,2.91,,,,
2892,24.4,,,,,
2893,,,,24.37,,
2894,,,,36.12,,
2895,21.62,,,,,
2896,,,,,3.56,
2897,,,,24.22,,
2898,,,16.81,,,
2899,,,,,,36.56
2900,,,19.85,,,
2901,19.01,,,,,
2902,,3.21,,,,
2903,18.76,2.88,8.86,13.38,4.52,135.51
2904,,,,,5.85,
2905,14.57,,,,,
2906,,3.03,,,,
2907,11.9,,,,,
2908,18.76,,,,,
2909,,3.24,,,,
2910,,,41.54,,,
2911,,,,39.21,,
2912,,3.93,,,,
2913,,,,,,9.32
2914,,,,39.63,,
2915,,,,,,45.94
2916,,,,20.56,,
2917,,3.32,,,,
2918,,,,,25.51,
2919,,3.12,,,,
2920,,,,25.57,,
2921,,,,,6.32,
2922,,,9.03,,,
2923,,,,,5.79,
2924,55.08,,,,,
2925,,,12.48,,,
2926,,,,,,89.92
2927,,,,,6.88,
2928,,,,,5.65,
2929,44.33,,,,,
2930,,4.63,,,,
2931,,5.16,,,,
2932,,,59.24,,,
2933,,,8.26,,,
2934,,2.8,,,,
2935,,,,11.74,,
2936,,,9.23,,,
2937,44.54,,,,,
2938,,,,,,70.58
2939,,4.59,,,,
2940,,,11.53,,,
2941,,,,18.18,,
2942,,,,,,77.02
2943,,,14.54,,,
2944,,,12.13,,,
2945,,5.76,,,,
2946,,,,20.58,,
2947,,,,,7.29,
2948,,,,,,82.9
2949,,3.7,,,,
2950,,,19.37,,,
2951,,3.4,,,,
2952,,,,,3.84,
2953,,,,,4.91,
2954,,3.07,,,,
2955,28.33,,,,,
2956,,3.11,,,,
2957,,3.19,,,,
2958,,,,,,46.25
2959,,,,12.61,,
2960,19.63,,,,,
2961,,,19.24,,,
2962,,,14.85,,,
2963,,3.2,,,,
2964,,,,18.71,,
2965,,,,,,62.35
2966,,,,,4.48,
2967,,3.69,,,,
2968,,,,,,77.36
2969,,,10.64,,,
2970,39.38,,,,,
2971,,3.74,,,,
2972,41.52,,,,,
2973,,,,16.64,,
2974,,,14.39,,,
2975,,,,,5.49,
2976,,,15.88,,,
2977,,,16.48,,,
2978,,,,,5.35,
2979,,,,17.18,,
2980,41.06,,,,,
2981,,,6.87,,,
2982,,,,17.65,,
2983,,,,,5.36,
2984,,3.0,,,,
2985,6.58,,,,,
2986,,,,20.24,,
2987,,,13.45,,,
2988,,,,,,47.62
2989,,3.12,,,,
2990,,3.09,,,,
2991,,,20.5,,,
2992,,,,,,39.91
2993,,,,,4.49,
2994,,,,,4.76,
2995,12.9,,,,,
2996,,,,,4.48,
2997,,,,28.3,,
2998,10.56,,,,,
2999,8.42,,,,,
3000,,,14.65,,,
3001,,,,,,33.22
3002,9.55,,,,,
3003,,3.34,,,,
3004,,,39.39,,,
3005,,,,,7.08,
3006,,,23.76,,,
3007,23.52,,,,,
3008,,,18.02,,,
3009,,3.42,,,,
3010,,,14.1,,,
3011,,,,,7.72,
3012,,,,,5.95,
3013,4.91,,,,,
3014,,3.54,,,,
3015,,,,38.81,,
3016,,,24.21,,,
3017,,,17.76,,,
3018,,,,,,44.43
3019,,3.48,,,,
3020,,,,,,22.03
3021,,,,28.89,,
3022,,,,,3.95,
3023,31.52,,,,,
3024,,3.43,,,,
3025,,,,,6.82,
3026,,,,,,22.06
3027,,3.8,,,,
3028,,,26.7,,,
3029,,,28.28,,,
3030,22.57,3.69,19.51,27.82,8.3,41.11
3031,25.37,,,,,
3032,,,,16.37,,
3033,,,,18.1,,
3034,,,,,,55.83
3035,,3.52,,,,
3036,,3.49,,,,
3037,,,98.4,,,
3038,69.1,,,,,
3039,,,,,,74.99
3040,,4.13,,,,
3041,,,,104.38,,
3042,,,,83.57,,
3043,38.7,,,,,
3044,,,,33.0,,
3045,26.28,,,,,
3046,,,,20.12,,
3047,,3.35,,,,
3048,,,,,4.0,
3049,,,,18.17,,
3050,,,,,,28.84
3051,,,,,4.32,
3052,,,16.11,,,
3053,,,20.74,,,
3054,,,22.42,,,
3055,,,,,7.19,
3056,,,,,7.13,
3057,,,,18.42,,
3058,,,,,5.42,
3059,,3.44,,,,
3060,,3.69,,,,
3061,19.58,,,,,
3062,18.57,,,,,
3063,,,,,4.62,
3064,,,,,,34.7
3065,,,,43.53,,
3066,,,,,5.25,
3067,,,,,,48.81
3068,,,,37.33,,
3069,,3.4,,,,
3070,,,,,3.91,
3071,,,,,3.72,
3072,,,,,,47.33
3073,,,,19.45,,
3074,,,,16.96,,
3075,12.32,,,,,
3076,,,,23.4,,
3077,,,19.72,,,
3078,,,13.92,,,
3079,,3.55,,,,
3080,,,,20.0,,
3081,,,,28.66,,
3082,17.18,,,,,
3083,,,14.61,,,
3084,,3.6,,,,
3085,8.9,,,,,
3086,,,25.99,,,
3087,,,,37.21,,
3088,,,,,,49.59
3089,10.3,,,,,
3090,,,,,,10.27
3091,26.87,,,,,
3092,,,,,4.03,
3093,,,15.41,,,
3094,,,,19.2,,
3095,17.79,,,,,
3096,,3.69,,,,
3097,19.89,,,,,
3098,,,,,,45.09
3099,,,,,,44.22
3100,,3.78,,,,
3101,,,,,,57.0
3102,,3.94,,,,
3103,,4.14,,,,
3104,,,,,4.83,
3105,,,,,,89.64
3106,,,,15.23,,
3107,9.62,4.37,12.04,17.18,5.14,88.88
3108,,,15.27,,,
3109,,,,17.31,,
3110,,,22.5,,,
3111,,,,,6.07,
3112,,4.27,,,,
3113,,,,31.27,,
3114,,,22.24,,,
3115,,,,,3.9,
3116,,,15.26,,,
3117,,,,19.44,,
3118,,5.92,,,,
3119,,,15.71,,,
3120,,,,,7.38,
3121,,3.24,,,,
3122,,,,,,87.18
3123,,,,,6.43,
3124,,,15.62,,,
3125,,,,,,115.42
3126,,3.27,,,,
3127,,,,,,87.14
3128,,,,,,44.78
3129,14.19,,,,,
3130,,,48.5,,,
3131,,,,,,29.26
3132,,,,72.73,,
3133,20.42,,,,,
3134,,,,,3.96,
3135,23.67,,,,,
3136,,3.15,,,,
3137,13.69,,,,,
3138,,2.99,,,,
3139,,,,,,42.54
3140,5.34,,,,,
3141,,,,,9.55,
3142,7.16,,,,,
3143,9.69,,,,,
3144,,,,31.32,,
3145,,,,,,93.19
3146,,,,26.48,,
3147,,3.26,,,,
3148,,,,,8.34,
3149,,,22.4,,,
3150,,,26.09,,,
3151,,,,,,72.84
3152,,,,,118.48,
3153,,,209.44,,,
3154,,8.8,,,,
3155,,7.02,,,,
3156,,,124.28,,,
3157,,,,229.5,,
3158,,,102.66,,,
3159,,,,,,4.66
3160,,4.95,,,,
3161,43.23,,,,,
3162,,,,,40.98,
3163,,4.05,,,,
3164,,,,,,2.72
3165,,,,,,5.61
3166,,4.93,,,,
3167,,,50.57,,,
3168,58.51,,,,,
3169,,,22.47,,,
3170,,5.05,,,,
3171,,,13.09,,,
3172,,,17.3,,,
3173,,3.75,,,,
3174,,,,29.33,,
3175,,,,,48.35,
3176,,,,352.97,,
3177,,,,,,0.82
3178,,,,,151.68,
3179,,,,,,62.2
3180,,,,,9.83,
3181,,,,,7.72,
3182,,,85.53,,,
3183,,,,,33.11,
3184,,,,,27.0,
3185,,,,,,1.03
3186,26.03,,,,,
3187,,,,,68.5,
3188,,,114.15,,,
3189,,,,,65.94,
3190,,,,93.97,,
3191,,,44.82,,,
3192,,,,,,65.87
3193,,,,,6.44,
3194,47.16,,,,,
3195,,,,,5.77,
3196,,5.61,,,,
3197,,,,22.29,,
3198,,,,,8.16,
3199,,,,,36.87,
3200,,,,,116.74,
3201,,,,,,0.55
3202,,,,,,0.55
3203,,,,224.91,,
3204,,,,,153.56,
3205,,5.2,,,,
3206,,,,253.82,,
3207,,,,,,0.71
3208,,,,,25.74,
3209,,,,,,0.19
3210,,,,109.44,,
3211,,,,141.96,,
3212,,,,,111.38,
3213,,,94.57,,,
3214,,,,,15.21,
3215,,5.7,,,,
3216,63.83,,,,,
3217,53.56,,,,,
3218,,,13.38,,,
3219,,5.02,,,,
3220,,,,,8.41,
3221,28.23,,,,,
3222,,5.35,,,,
3223,33.54,,,,,
3224,,,,,,1.37
3225,,,,,,0.65
3226,,,136.37,,,
3227,,6.22,,,,
3228,,6.25,,,,
3229,,,145.74,,,
3230,,,,,33.22,
3231,54.32,,,,,
3232,52.51,4.04,69.74,101.06,31.32,1.86
3233,,,83.0,,,
3234,,,,127.74,,
3235,,,,,86.78,
3236,,,,,,18.18
3237,,,,74.76,,
3238,,,,,16.21,
3239,,5.48,,,,
3240,,,,,,75.69
3241,,,25.98,,,
3242,,,,,12.85,
3243,24.84,,,,,
3244,23.42,4.32,15.68,22.75,7.07,83.37
3245,,4.12,,,,
3246,,,,,,31.07
3247,,,,,,1.12
3248,,,,396.35,,
3249,,5.58,,,,
3250,82.89,,,,,
3251,,4.77,,,,
3252,,4.85,,,,
3253,,4.4,,,,
3254,,,63.4,,,
3255,,,64.6,,,
3256,,,48.48,,,
3257,,,59.24,,,
3258,,,,,20.27,
3259,,4.56,,,,
3260,,4.88,,,,
3261,,4.52,,,,
3262,,,,46.73,,
3263,,,,,,65.93
3264,,4.49,,,,
3265,,,20.66,,,
3266,,,,,,92.13
3267,,,,,5.92,
3268,,,,,,92.86
3269,,,,,6.09,
3270,,,34.63,,,
3271,,4.99,,,,
3272,,,168.84,,,
3273,,,154.78,,,
3274,,,,,,0.35
3275,,,,,,0.3
3276,,,,,,0.48
3277,66.05,,,,,
3278,,,,,4.05,
3279,,,,,,49.62
3280,,,,,,42.37
3281,,4.75,,,,
3282,,,,,,7.35
3283,,6.26,,,,
3284,52.55,,,,,
3285,,,,,,30.21
3286,64.75,,,,,
3287,,,,23.68,,
3288,,,,21.38,,
3289,,,,,,83.34
3290,,,,,,87.17
3291,,,,24.58,,
3292,24.68,,,,,
3293,,,,,,38.31
3294,,,,,212.0,
3295,,,271.39,,,
3296,87.63,,,,,
3297,,4.6,,,,
3298,,,,,4.18,
3299,,,,,,40.47
3300,,,,41.18,,
3301,,4.22,,,,
3302,,,30.67,,,
3303,,4.2,,,,
3304,,,,,,27.17
3305,,,,26.17,,
3306,,,,,6.85,
3307,,,,,9.75,
3308,,,,,,35.44
3309,21.72,,,,,
3310,,3.63,,,,
3311,,,,,6.32,
3312,21.49,,,,,
3313,,4.37,,,,
3314,24.27,,,,,
3315,,,55.51,,,
3316,32.96,,,,,
3317,,3.31,,,,
3318,,3.57,,,,
3319,,,,37.8,,
3320,,4.02,,,,
3321,19.46,,,,,
3322,,,60.3,,,
3323,,,,,,22.52
3324,23.64,3.81,30.67,35.44,4.77,23.56
3325,,,,26.47,,
3326,,,,,,25.02
3327,,3.95,,,,
3328,,,,,,34.4
3329,,,20.86,,,
3330,,,,,7.23,
3331,,,,20.2,,
3332,,,11.66,,,
3333,,4.25,,,,
3334,,4.14,,,,
3335,,,14.98,,,
3336,,,,34.87,,
3337,,5.88,,,,
3338,,,,,,23.84
3339,,,,21.82,,
3340,,3.49,,,,
3341,,,24.8,,,
3342,,,19.86,,,
3343,,,,25.67,,
3344,,,60.88,,,
3345,,,71.83,,,
3346,,,,34.95,,
3347,,,72.76,,,
3348,,,67.11,,,
3349,27.32,,,,,
3350,,3.91,,,,
3351,,,,,,11.81
3352,,,,,13.49,
3353,31.21,,,,,
3354,,,,24.18,,
3355,,,,,,46.08
3356,,,,,5.9,
3357,,4.97,,,,
3358,,,,,,42.92
3359,,,,26.08,,
3360,27.93,4.37,36.45,45.7,9.24,29.72
3361,,,29.91,,,
3362,,,21.42,,,
3363,,,17.16,,,
3364,,3.65,,,,
3365,,,,,,24.91
3366,,,,,,18.1
3367,,,,,7.78,
3368,,,,,,2.83
3369,,,,,12.7,
3370,,,,,,2.24
3371,,3.58,,,,
3372,18.84,,,,,
3373,17.1,,,,,
3374,,,,,7.79,
3375,,3.32,,,,
3376,,3.64,,,,
3377,9.88,,,,,
3378,,4.15,,,,
3379,,4.54,,,,
3380,4.36,,,,,
3381,,,,42.46,,
3382,,,,,,29.79
3383,,,,,,15.92
3384,,,27.22,,,
3385,,,35.99,,,
3386,,8.24,,,,
3387,12.8,,,,,
3388,,,,,,4.93
3389,,5.6,,,,
3390,,,,,,1.36
3391,,,,,,1.59
3392,,,,,,8.42
3393,,,,,8.27,
3394,,,,25.08,,
3395,29.77,,,,,
3396,,5.89,,,,
3397,25.32,,,,,
3398,,,16.22,,,
3399,19.88,,,,,
3400,,5.14,,,,
3401,,,,33.64,,
3402,,,,34.34,,
3403,,,,,,31.07
3404,14.14,,,,,
3405,,,,,,24.76
3406,16.79,,,,,
3407,,,,34.41,,
3408,14.67,,,,,
3409,,,28.08,,,
3410,,,,,,16.2
3411,,,17.25,,,
3412,,,,,6.01,
3413,,,,19.02,,
3414,8.79,,,,,
3415,,7.07,,,,
3416,,,,,5.26,
3417,,,,,6.15,
3418,,,,,6.72,
3419,,,29.32,,,
3420,,4.35,,,,
3421,,4.1,,,,
3422,,,,,,28.21
3423,,,,,4.42,
3424,13.17,,,,,
3425,9.75,,,,,
3426,7.59,,,,,
3427,,,,,7.44,
3428,,6.26,,,,
3429,,,19.34,,,
3430,,,,,,24.34
3431,,,,,,30.38
3432,,,13.03,,,
3433,,,,,,40.07
3434,,,,24.4,,
3435,,,,,7.11,
3436,,5.71,,,,
3437,,5.51,,,,
3438,,,24.08,,,
3439,,,19.62,,,
3440,,6.36,,,,
3441,,,21.79,,,
3442,5.42,,,,,
3443,,5.13,,,,
3444,,,19.2,,,
3445,,,,22.8,,
3446,,,,,,37.02
3447,,,,,3.96,
3448,,,,16.34,,
3449,,,9.12,,,
3450,,,,,3.85,
3451,,,10.33,,,
3452,,,19.01,,,
3453,,,22.17,,,
3454,1.22,,,,,
3455,,,,,7.55,
3456,,,,,,61.85
3457,,,10.4,,,
3458,,,,,,61.98
3459,,,,,8.81,
3460,,,,,7.24,
3461,,4.86,,,,
3462,,4.85,,,,
3463,,,,28.64,,
3464,,,,,7.23,
3465,21.15,,,,,
3466,,,,,9.43,
3467,,,62.8,,,
3468,,,113.99,,,
3469,,,,,48.91,
3470,41.8,,,,,
3471,,,,,63.92,
3472,,,131.76,,,
3473,,,,144.04,,
3474,,,,194.8,,
3475,33.71,,,,,
3476,,,,89.36,,
3477,26.9,,,,,
3478,,,,121.57,,
3479,,,92.46,,,
3480,29.04,,,,,
3481,,,,,,37.55
3482,,,42.82,,,
3483,,,31.86,,,
3484,,,25.14,,,
3485,,5.4,,,,
3486,,,,,,98.9
3487,,,44.63,,,
3488,23.89,,,,,
3489,,,,326.83,,
3490,,,,,193.39,
3491,67.8,,,,,
3492,,,,175.2,,
3493,,4.96,,,,
3494,,,,,53.83,
3495,,,,23.72,,
3496,,4.78,,,,
3497,,,,17.46,,
3498,30.82,,,,,
3499,,,,,4.06,
3500,,,,,,41.02
3501,,,,69.12,,
3502,,,,,7.56,
3503,,,,,,42.81
3504,22.99,,,,,
3505,,4.19,,,,
3506,,,,18.3,,
3507,,,,,,78.16
3508,,,12.31,,,
3509,,,,,5.96,
3510,,,,35.9,,
3511,,,,,,60.93
3512,,4.29,,,,
3513,,,,,,2.83
3514,,,,,,2.47
3515,,,,260.68,,
3516,,,127.04,,,
3517,,,,,,4.53
3518,,,,,,3.21
3519,61.3,,,,,
3520,,5.99,,,,
3521,,,75.58,,,
