,S1_PM10,S1_PM25,S1_SO2,S1_NO2,S1_NOX,S1_NO,S2_PM10,S2_PM25,S2_SO2,S2_CO,S2_03,S5_PM10,S5_CO,S7_PM10,S9_PM10,S9_SO2,S9_NO2,S9_NOX,S9_NO,S10_PM10,S10_PM25,S10_CO,S11_PM10,S12_CO,S13_PM10,S13_PM25,S13_SO2,S14_PM10,S14_PM25,S14_SO2,S14_NO2,S14_NOX,S14_NO,S15_PM10,S15_SO2,S15_NO2,S15_NOX,S15_NO,S15_O3,S17_PM10,S17_PM25,S17_SO2,S17_NO2,S17_NOX,S17_NO,S17_O3
5911,26.7,21.21,2.54,68.56,83.26,14.7,19.7,27.71,14.03,1187.63,8.41,12.32,440.9,19.0,15.4,5.18,27.68,39.97,12.29,9.03,3.79,921.7,34.06,561.16,6.9,3.54,2.41,9.76,4.13,2.54,26.95,37.07,10.12,9.55,3.3,20.6,25.85,5.26,27.38,21.51,11.78,2.8,30.54,38.28,7.74,2.78
5912,38.4,33.81,2.33,36.06,41.98,5.92,27.6,27.65,14.25,1318.12,9.39,15.92,414.07,18.6,14.5,5.08,28.92,41.22,12.3,15.03,4.56,914.7,60.97,607.56,6.6,3.29,2.42,18.17,3.84,2.48,35.82,46.07,10.25,16.84,3.34,37.36,42.91,5.55,19.36,19.41,10.27,2.84,26.92,34.39,7.47,44.29
5913,35.1,20.03,2.0,27.04,33.27,6.23,26.4,25.63,14.07,1442.98,14.19,18.23,585.43,13.98,13.44,5.05,70.84,90.62,19.78,11.84,8.78,1010.81,27.92,749.64,25.73,3.54,2.51,17.37,4.23,2.55,43.02,53.6,10.59,16.69,3.3,39.39,46.31,6.92,19.26,15.84,9.48,2.94,29.46,36.55,7.09,21.91
5914,30.43,29.14,2.22,34.45,43.32,8.87,26.8,26.98,14.3,1602.78,9.07,26.14,880.6,12.27,20.89,5.08,76.55,91.12,14.57,9.44,8.11,1057.01,31.61,811.85,18.37,6.96,2.47,19.41,4.75,2.52,54.68,66.56,11.88,15.17,3.23,31.39,38.48,7.08,24.6,16.93,9.42,2.94,85.99,120.51,34.52,7.63
5916,35.24,20.96,2.29,55.42,65.62,10.2,26.1,18.28,14.6,1863.24,7.11,24.41,533.62,15.44,28.0,5.43,109.92,130.34,20.42,10.35,5.94,1074.8,45.91,713.19,11.36,7.44,2.36,35.63,4.65,2.53,67.83,87.77,19.94,32.44,3.41,23.76,30.99,7.23,31.8,31.35,8.69,2.8,47.82,63.72,15.9,63.82
5917,44.8,34.68,2.16,50.63,58.94,8.31,42.7,23.89,14.64,1785.65,10.59,25.16,491.63,18.55,29.38,5.59,108.37,133.5,25.13,7.42,6.09,1089.16,34.01,663.06,9.79,6.94,2.32,45.15,4.81,2.61,47.91,59.62,11.7,23.52,3.42,23.04,29.64,6.6,38.2,28.98,8.24,2.94,40.77,51.53,10.76,58.22
5918,33.96,26.11,2.45,37.58,47.41,9.83,33.1,17.1,14.58,1713.27,15.0,26.14,526.44,24.59,31.32,6.11,85.21,102.71,17.5,6.42,5.64,1135.48,63.6,649.38,16.0,5.98,2.37,32.71,5.65,2.56,66.01,78.64,12.63,17.38,3.43,18.02,24.68,6.66,40.24,27.42,9.74,2.79,34.33,44.67,10.34,50.92
5919,36.33,24.15,2.46,33.25,41.19,7.94,29.9,12.12,14.73,1588.54,23.8,27.24,516.65,21.09,28.75,5.29,70.17,94.31,24.14,28.49,4.26,1059.65,31.18,191.26,11.95,11.67,2.43,24.3,11.52,2.6,51.18,64.79,13.62,13.1,3.42,11.41,16.98,5.56,46.75,27.48,11.24,2.76,46.73,61.07,14.34,62.21
5920,33.78,15.35,2.53,41.86,49.3,7.44,30.8,9.12,14.86,1450.47,31.0,26.09,468.65,21.39,20.32,5.54,41.29,59.44,18.15,21.0,4.11,1049.41,17.45,1886.95,8.05,7.38,2.49,18.07,9.6,2.46,37.47,48.31,10.84,10.2,3.48,14.1,20.88,6.79,49.96,21.18,9.82,2.7,34.1,46.95,12.85,88.3
5921,30.0,23.85,2.65,47.14,56.03,8.89,34.0,6.38,15.1,1413.53,30.62,25.58,442.83,29.46,16.29,5.66,36.87,52.25,15.38,14.49,4.14,1032.9,11.44,326.52,7.96,6.13,2.6,15.69,8.04,2.48,22.56,30.27,7.72,7.97,3.55,17.67,25.39,7.72,47.56,20.36,8.95,2.9,47.38,65.09,17.71,70.38
5922,33.75,29.55,2.4,37.8,45.14,7.34,42.8,4.86,15.43,1617.68,16.96,20.51,432.39,23.47,18.37,5.58,43.57,57.32,13.75,11.48,3.85,1104.98,8.01,331.35,4.94,4.27,2.56,44.59,6.52,2.52,19.36,27.16,7.8,6.06,3.63,13.52,19.47,5.95,54.81,42.36,11.14,2.84,39.13,51.76,12.63,99.36
5923,42.99,22.33,2.15,28.11,36.21,8.1,47.5,10.64,15.34,1584.3,16.65,14.88,460.48,27.08,16.25,5.36,59.3,73.05,13.75,7.72,4.12,1113.68,5.76,402.4,6.56,3.77,2.55,45.65,5.53,2.49,20.19,25.76,5.56,4.91,3.62,20.03,25.46,5.43,51.2,64.75,13.38,2.9,32.15,41.59,9.44,61.64
5924,26.28,18.28,2.29,18.94,25.31,6.37,37.9,18.83,15.12,1580.34,9.61,11.14,576.64,26.91,16.78,5.12,97.87,114.72,16.85,14.85,4.06,1227.46,10.27,536.6,8.94,3.19,2.63,31.98,5.38,2.62,39.04,45.29,6.24,5.05,3.54,24.01,28.79,4.78,47.3,60.92,12.56,2.73,53.95,64.69,10.74,42.23
5925,22.44,17.76,2.45,24.89,31.01,6.12,46.3,26.13,15.2,1743.43,1.83,15.86,771.26,32.13,22.1,5.17,153.82,195.33,41.51,20.29,3.3,1436.35,73.07,316.52,22.49,3.36,2.53,22.74,4.67,2.68,56.08,62.19,6.11,9.08,3.71,33.66,38.81,5.14,40.4,56.9,12.57,2.68,52.8,59.32,6.52,42.15
5926,23.65,14.35,2.34,55.03,63.68,8.65,43.8,22.85,14.82,1754.26,0.37,17.06,851.45,28.28,27.18,5.26,161.96,209.89,47.93,13.41,2.47,1700.68,259.79,589.47,21.32,4.25,2.82,16.01,4.2,2.72,64.56,78.13,13.58,13.35,3.51,24.21,28.53,4.32,42.75,46.86,10.3,3.11,69.95,80.82,10.87,21.37
5927,37.09,13.56,2.19,89.72,103.16,13.44,52.8,47.76,14.92,1796.36,0.66,21.26,827.58,36.89,23.88,5.17,114.67,134.0,19.33,22.93,1.89,1972.45,251.84,749.78,21.74,12.08,2.77,12.16,4.15,2.7,81.69,104.34,22.66,10.16,3.5,17.76,21.77,4.01,46.91,48.16,9.12,3.39,105.62,146.71,41.09,19.44
5928,49.8,22.06,2.43,97.25,116.38,19.13,57.1,34.55,14.85,1728.71,2.57,23.89,1202.27,30.56,26.26,5.1,132.9,158.85,25.95,39.03,4.08,1546.26,168.97,483.35,23.31,22.87,2.92,14.61,4.2,2.73,80.28,100.28,20.01,12.38,3.44,19.78,24.04,4.26,44.43,51.75,8.73,3.38,101.1,148.45,47.35,21.67
5929,39.06,35.06,2.52,102.3,133.65,31.35,55.0,26.98,14.65,1925.06,0.06,22.92,1276.64,31.19,29.8,5.27,137.73,184.3,46.57,43.36,4.8,1380.34,95.75,473.93,34.45,14.41,2.85,27.7,5.58,2.84,70.03,92.69,22.66,24.28,3.48,48.85,60.03,11.18,23.46,51.47,8.13,3.31,91.48,135.97,44.49,11.87
5930,52.41,38.5,2.66,106.53,168.73,62.2,56.2,30.5,14.87,1910.96,0.07,29.42,828.08,36.15,35.34,5.21,123.19,149.12,25.93,34.8,3.89,1288.9,55.33,371.56,30.01,16.49,2.71,32.56,9.45,2.99,78.26,101.75,23.48,33.01,3.36,34.24,40.71,6.47,22.03,59.38,9.61,3.33,119.34,208.62,89.28,16.46
5931,64.59,62.22,2.37,94.5,142.34,47.84,55.5,37.56,15.07,1763.73,0.05,33.44,736.73,25.3,37.99,5.15,118.08,151.97,33.89,34.22,5.94,1078.96,69.89,367.71,31.55,9.92,2.81,23.65,8.0,2.84,61.48,72.13,10.65,39.43,3.33,24.72,28.89,4.16,28.14,58.38,11.34,3.4,113.15,200.13,86.98,10.47
5932,63.13,59.38,2.29,76.61,97.65,21.04,45.2,27.64,14.8,1646.23,0.27,33.59,949.62,19.73,45.29,5.38,126.9,221.59,94.69,20.81,6.36,1145.18,134.28,304.26,29.06,17.9,2.63,26.46,7.85,3.12,59.8,70.63,10.82,39.43,3.25,15.92,19.88,3.95,31.41,52.06,13.6,3.23,100.39,164.54,64.15,7.85
5933,72.88,56.69,1.96,52.58,60.18,7.6,46.1,34.96,14.47,1631.64,0.08,37.2,795.16,22.0,49.93,5.38,122.61,197.65,75.04,16.51,6.02,1217.68,154.37,212.99,20.1,18.27,2.85,32.61,18.91,3.02,66.31,81.13,14.82,31.52,3.42,14.66,18.54,3.88,30.79,59.24,18.16,3.06,87.73,129.26,41.53,18.31
5934,60.72,49.2,2.12,44.39,51.32,6.93,54.4,42.63,14.33,1470.78,4.38,34.87,466.4,18.77,52.43,5.08,100.72,140.69,39.97,16.22,4.64,1229.23,134.7,191.57,19.84,10.45,2.62,23.84,14.23,3.04,63.25,85.19,21.94,31.91,3.43,21.04,26.41,5.37,25.21,53.32,16.64,2.94,40.85,59.3,18.45,33.39
5935,38.65,38.26,1.95,48.48,54.71,6.23,52.5,31.29,14.33,1416.22,7.39,30.54,308.77,20.92,42.35,5.01,67.36,85.44,18.08,10.86,4.59,1233.75,104.79,209.25,15.43,5.93,2.6,18.11,11.24,3.06,66.0,93.26,27.26,39.3,3.66,22.86,29.68,6.82,22.93,38.99,13.99,2.72,7.9,12.12,4.22,25.64
5936,77.76,42.33,2.18,54.89,64.74,9.85,50.6,22.08,14.5,1466.83,8.8,24.34,396.84,32.81,35.2,4.78,49.0,62.84,13.84,19.17,4.54,1227.47,119.56,271.8,18.69,4.54,2.49,20.05,10.47,3.18,85.73,145.8,60.07,37.95,3.65,28.22,35.54,7.32,22.06,33.37,12.06,2.87,10.22,14.41,4.19,22.32
5937,72.7,53.2,2.28,62.89,82.71,19.82,55.2,16.52,14.43,1548.14,14.85,22.73,464.22,34.16,29.74,4.95,96.07,131.53,35.46,29.78,4.24,1281.86,107.37,285.71,17.31,4.19,2.41,15.79,8.77,3.37,100.22,174.78,74.56,35.89,3.8,35.3,46.92,11.62,21.32,28.23,10.56,2.74,20.92,28.8,7.88,29.29
5938,66.2,54.39,2.33,77.31,120.23,42.92,48.5,11.82,14.58,1581.59,17.52,20.88,424.4,39.25,24.62,4.81,74.42,104.87,30.45,35.35,4.06,982.09,63.87,310.54,15.54,9.77,2.48,36.29,7.46,3.01,73.13,111.52,38.38,29.31,3.85,26.7,37.64,10.94,32.46,23.35,9.53,2.75,28.02,39.73,11.71,32.14
5939,72.92,51.07,2.5,99.46,176.7,77.24,50.9,9.37,14.63,1370.56,27.13,24.76,414.91,37.48,20.66,4.85,57.31,84.37,27.06,33.59,3.45,948.69,35.74,229.25,21.78,10.15,2.45,86.22,6.46,2.86,54.77,76.34,21.57,23.34,3.76,28.28,40.67,12.39,35.93,23.58,8.91,2.81,26.43,37.35,10.92,46.22
5940,53.52,39.26,2.27,61.68,85.79,24.11,51.0,6.57,14.73,1280.21,36.17,25.28,378.22,35.42,23.2,5.0,47.74,71.79,24.05,26.39,4.14,934.83,23.43,190.66,16.13,5.74,2.57,108.83,6.2,2.77,33.65,46.21,12.56,22.57,3.69,19.51,27.82,8.3,41.11,25.88,8.1,2.79,25.54,36.16,10.62,74.39
5941,41.13,28.7,2.07,47.55,63.18,15.63,48.0,4.89,15.3,1195.91,37.27,25.72,426.67,29.33,23.65,5.09,34.33,55.1,20.77,16.49,2.97,932.47,16.72,222.93,9.77,4.28,2.5,65.08,5.9,2.84,28.37,37.74,9.37,25.37,3.56,13.04,19.07,6.03,44.97,29.36,7.17,2.84,25.37,35.59,10.22,108.75
5942,45.74,35.4,1.83,22.76,30.67,7.91,44.0,4.13,15.94,1202.94,42.44,20.99,320.11,24.96,26.71,4.93,26.58,43.04,16.46,9.78,2.48,963.6,14.18,205.39,6.38,5.41,2.57,30.54,7.8,2.93,28.04,36.23,8.19,18.46,3.61,10.59,16.37,5.78,47.58,33.62,7.41,2.72,24.02,32.34,8.32,164.11
5944,44.59,19.44,1.98,23.02,29.62,6.6,32.8,2.58,16.08,1124.64,43.61,21.76,447.07,27.05,27.38,4.97,43.22,59.05,15.83,10.3,3.07,910.2,12.1,190.8,8.63,2.89,2.96,19.72,6.06,2.94,41.8,52.15,10.35,21.67,3.53,11.97,18.1,6.12,52.01,44.76,7.96,3.07,28.8,36.44,7.64,99.06
5945,43.72,12.6,1.81,22.17,28.03,5.86,36.5,3.04,15.84,1214.14,42.1,18.08,344.31,21.16,24.11,5.02,34.43,47.02,12.59,7.67,2.77,890.8,10.55,194.73,4.31,1.44,2.22,26.33,6.28,2.91,33.22,41.8,8.57,18.76,3.56,11.56,17.28,5.72,55.83,57.44,7.35,3.07,29.19,36.49,7.3,106.73
5946,38.84,7.84,2.0,21.0,26.54,5.54,31.6,2.28,15.7,1355.74,30.75,22.27,328.87,22.24,23.21,4.83,37.66,47.69,10.03,5.25,3.65,880.35,16.43,608.17,2.34,0.85,2.89,25.03,5.68,2.86,29.61,38.38,8.78,18.57,3.52,11.95,17.36,5.42,64.9,83.65,6.89,3.05,34.05,42.44,8.39,84.85
5947,31.51,9.15,2.22,14.83,19.78,4.95,40.1,3.13,15.62,1597.18,14.6,19.34,340.06,16.37,19.64,4.88,32.99,40.73,7.74,4.64,3.94,983.76,15.33,1012.21,6.41,1.95,2.42,20.07,6.67,2.96,49.89,63.83,13.94,21.53,3.49,16.73,22.46,5.73,63.13,106.86,6.32,3.45,47.3,56.4,9.1,64.52
5951,51.77,7.6,2.25,133.45,166.2,32.75,48.6,26.58,15.95,1930.49,0.96,37.36,2430.18,15.38,28.57,6.13,237.26,489.7,252.44,24.92,4.34,1530.12,71.49,3562.29,57.39,22.28,3.94,21.07,5.68,3.03,59.32,68.55,9.23,44.24,3.8,98.4,151.23,52.83,10.43,99.69,14.82,3.44,99.52,117.99,18.47,27.81
5952,67.04,10.97,2.11,115.21,145.45,30.24,48.7,19.47,15.97,2008.46,0.08,55.93,3060.25,14.9,31.93,6.7,267.63,681.86,414.23,31.3,7.06,1559.79,119.83,3442.79,75.26,27.76,4.17,22.76,5.68,2.96,55.34,69.45,14.11,69.1,3.89,89.69,154.81,65.13,10.83,90.78,16.43,3.53,95.4,128.79,33.39,29.93
5971,25.93,10.58,2.91,17.03,22.16,5.13,39.7,6.08,15.48,1497.69,19.08,28.32,478.72,17.57,22.65,5.12,58.26,64.18,5.92,5.08,3.77,1063.39,24.5,628.1,4.94,1.69,1.04,34.12,7.31,3.03,41.18,49.98,8.8,22.12,3.98,30.94,39.04,8.1,74.99,61.39,14.51,2.99,34.7,41.45,6.75,74.57
5972,27.62,9.21,2.94,16.35,21.23,4.88,38.3,11.81,15.22,1519.12,12.61,26.12,807.59,14.78,22.11,4.97,119.96,130.23,10.27,17.54,2.89,1085.14,22.66,878.97,15.2,4.53,1.33,23.99,6.67,2.96,26.55,32.63,6.08,25.69,4.13,45.0,53.53,8.53,67.35,61.21,12.51,2.97,72.5,83.69,11.19,61.65
5973,32.81,8.64,3.1,18.06,22.89,4.83,42.5,12.86,15.41,1803.43,5.98,32.78,1054.41,22.67,28.45,5.58,188.99,231.24,42.25,20.68,2.48,1137.64,31.73,1090.06,46.38,17.34,1.48,16.79,5.57,2.86,28.71,34.58,5.88,38.66,4.01,86.83,104.38,17.54,33.52,55.56,11.42,3.0,91.29,99.35,8.06,7.96
5974,28.76,8.0,2.91,39.97,45.56,5.59,48.7,31.49,15.42,1547.48,12.93,38.3,743.26,29.1,25.37,5.61,178.73,236.95,58.22,23.84,2.77,1359.21,49.31,840.97,25.92,11.08,1.53,11.76,4.8,2.97,25.58,30.82,5.24,39.15,3.88,65.84,83.57,17.73,39.44,54.9,9.59,2.78,36.22,40.54,4.32,35.19
5975,37.71,12.13,2.6,50.26,57.04,6.78,54.2,31.14,15.64,1374.27,19.07,34.27,687.88,29.27,32.51,5.83,131.72,161.36,29.64,26.0,8.17,1261.28,60.43,721.62,17.41,15.44,1.5,8.38,4.26,2.84,21.68,27.17,5.48,38.7,3.47,25.76,34.05,8.29,49.86,51.73,11.58,2.73,23.9,28.82,4.92,89.97
5976,46.87,30.19,2.7,36.89,42.23,5.34,52.4,24.81,15.94,1277.76,22.89,34.34,447.37,30.76,39.61,5.72,87.64,102.35,14.71,34.58,9.3,1213.08,54.95,646.53,41.24,11.41,1.36,8.29,3.92,3.02,26.47,32.76,6.29,36.16,3.56,26.32,33.0,6.68,44.4,46.87,14.09,2.72,15.4,19.56,4.16,56.12
5977,36.81,20.67,2.47,32.56,37.34,4.78,46.7,18.39,15.61,1162.08,26.12,32.36,544.59,31.32,33.44,5.62,58.58,68.64,10.06,22.86,7.92,1149.5,61.16,606.69,25.11,8.0,1.34,9.15,4.11,2.97,32.76,39.79,7.03,26.28,3.67,31.71,37.48,5.77,34.56,42.39,11.83,2.64,10.74,14.77,4.03,18.48
5978,42.99,26.78,2.55,34.59,39.5,4.91,48.2,20.8,15.4,1049.46,27.01,35.06,419.79,31.34,30.65,4.85,38.87,49.05,10.18,36.19,5.49,1012.78,53.45,581.3,24.56,8.61,1.44,9.98,4.64,2.54,34.7,40.13,5.43,21.74,3.41,15.83,20.12,4.29,39.09,38.35,10.79,2.6,8.93,12.91,3.98,15.45
5979,42.98,27.12,2.46,46.1,51.51,5.41,43.3,22.44,15.33,982.46,28.94,28.65,443.23,32.12,28.41,4.71,34.89,44.73,9.84,29.64,3.48,928.61,61.86,572.03,26.47,5.84,1.46,8.0,4.92,2.7,28.4,34.15,5.75,21.65,3.35,15.13,19.18,4.05,38.35,32.58,9.83,2.62,9.17,13.57,4.4,21.06
5980,28.79,18.85,2.69,50.87,56.83,5.96,42.2,19.07,15.37,883.21,32.09,32.87,432.74,30.31,30.85,4.62,31.89,41.18,9.29,17.35,3.64,948.56,67.79,547.66,18.52,3.82,1.42,7.64,5.06,2.55,27.78,34.25,6.47,16.53,3.33,14.18,18.18,4.0,37.47,29.62,8.98,2.52,6.45,10.28,3.83,21.72
5981,49.28,35.97,2.48,39.33,44.34,5.01,34.2,14.59,15.32,853.08,30.17,29.05,347.81,24.69,26.48,4.43,26.6,36.23,9.63,11.21,3.09,905.94,54.17,538.65,13.48,3.03,1.46,6.31,4.92,2.55,22.71,28.67,5.96,13.84,3.31,14.26,18.17,3.92,35.42,29.87,8.69,2.75,5.76,9.48,3.72,16.66
5982,30.35,30.3,2.31,28.24,33.87,5.63,31.1,17.38,15.11,855.16,29.53,21.27,433.75,22.12,27.87,4.41,22.87,32.66,9.79,12.26,2.67,911.84,54.34,537.81,24.4,2.37,1.43,4.72,4.72,2.61,22.07,28.4,6.33,18.98,3.22,20.89,26.1,5.2,28.84,23.24,8.22,2.7,5.31,8.96,3.65,20.65
5983,32.01,21.59,2.05,24.28,29.17,4.89,25.1,13.08,14.9,856.79,24.81,21.05,366.07,28.11,25.33,4.42,25.67,35.49,9.82,9.62,3.34,941.57,53.94,543.6,14.28,2.19,1.47,4.29,3.73,2.62,31.88,40.3,8.42,27.13,3.36,19.2,23.51,4.32,28.63,18.18,7.76,2.74,5.55,9.08,3.53,18.86
5984,37.87,25.87,1.78,25.38,30.81,5.43,29.7,10.15,15.13,1232.79,14.5,16.7,392.04,23.52,22.12,4.59,42.42,53.07,10.65,8.39,3.43,1017.2,42.77,566.87,10.18,3.5,1.42,4.12,3.87,2.72,59.06,86.08,27.01,25.87,3.55,16.11,20.42,4.31,30.47,15.75,7.5,2.62,9.82,14.36,4.54,17.03
5985,39.35,29.78,2.03,29.06,34.49,5.43,33.5,14.39,15.24,1403.06,15.18,12.22,590.55,19.83,25.73,5.09,80.12,100.94,20.82,20.19,3.02,1112.01,40.98,619.56,9.48,8.04,1.48,4.69,4.59,2.72,69.88,102.56,32.68,20.87,3.44,20.74,27.2,6.46,29.54,18.07,6.94,2.74,22.68,31.51,8.83,21.19
5986,46.89,24.82,1.88,35.97,42.87,6.9,41.7,11.12,15.09,1263.95,27.86,18.44,467.22,26.81,28.12,4.4,66.02,91.11,25.09,33.85,3.78,965.13,29.33,685.45,7.04,5.33,1.45,27.78,4.67,2.74,47.45,70.69,23.24,20.14,3.62,22.42,32.58,10.16,34.47,19.77,6.56,2.78,26.73,37.16,10.43,39.76
5987,30.98,29.2,1.89,53.32,68.68,15.36,45.7,8.6,14.9,1112.84,34.97,21.52,456.67,30.01,27.59,4.59,51.25,73.66,22.41,23.3,3.19,919.02,20.53,600.6,25.35,6.92,1.41,84.14,7.87,2.69,43.15,58.72,15.58,17.21,3.11,14.33,21.52,7.19,39.26,23.74,6.7,2.7,26.64,37.68,11.04,43.88
5988,35.34,23.18,1.87,51.09,67.72,16.63,40.0,6.29,15.3,1051.25,41.86,29.82,473.31,28.38,28.7,4.37,34.26,51.8,17.54,21.29,3.75,900.97,14.39,574.8,13.53,5.52,1.47,78.39,9.14,2.73,31.22,43.61,12.39,19.96,3.39,15.53,22.66,7.13,44.04,31.6,7.07,2.73,21.73,30.68,8.95,26.36
5989,29.18,24.23,1.69,38.65,51.25,12.6,33.7,4.46,15.61,1051.44,44.63,26.05,383.07,32.93,26.6,4.3,23.54,38.7,15.16,13.24,4.56,917.74,10.86,553.28,8.98,4.04,1.42,59.94,7.66,2.55,23.98,33.97,9.99,24.84,3.44,12.08,18.42,6.34,50.26,32.03,8.86,2.72,18.91,28.09,9.18,64.08
5990,34.56,26.44,1.87,19.87,27.48,7.61,39.2,3.26,16.21,1062.06,47.94,25.1,383.8,47.34,27.08,4.65,25.09,38.35,13.26,8.82,4.05,960.01,14.99,560.8,6.17,3.21,1.48,40.03,8.01,2.64,21.61,29.42,7.82,23.23,3.48,11.74,17.16,5.42,55.37,33.13,11.04,2.66,15.11,21.37,6.26,91.56
5992,35.9,17.65,3.74,12.5,17.88,5.38,44.3,2.93,16.18,1250.19,40.49,26.54,372.05,39.02,27.2,4.58,24.12,35.46,11.34,9.6,2.47,892.15,19.53,573.17,3.26,2.93,1.53,28.19,6.91,2.58,27.41,38.23,10.82,23.05,3.44,11.88,16.88,5.0,67.31,32.76,9.09,2.92,20.64,28.77,8.13,100.78
5993,25.07,17.19,3.64,12.31,17.52,5.21,40.6,3.2,16.21,1189.48,42.5,21.89,338.16,20.06,24.89,4.64,23.71,34.16,10.45,7.27,2.5,865.12,15.84,554.86,2.53,1.46,1.53,30.1,6.45,2.75,28.69,38.23,9.53,18.7,3.69,13.48,19.18,5.7,70.61,30.83,8.33,2.85,20.73,29.25,8.52,136.54
5994,33.93,10.87,3.81,12.62,17.81,5.19,31.5,3.18,16.16,1185.37,40.82,17.17,453.31,21.23,22.0,4.3,26.87,36.63,9.76,4.91,2.4,921.53,11.83,579.19,1.95,0.85,1.6,32.03,6.45,2.72,35.56,49.3,13.74,19.58,3.65,14.17,19.61,5.44,81.16,34.58,7.81,3.11,21.7,29.43,7.73,67.58
5995,23.5,10.49,4.16,12.83,17.95,5.12,29.7,12.81,15.68,1115.82,34.28,13.63,447.61,13.16,17.2,4.51,37.09,47.09,10.0,3.91,3.86,995.75,9.33,636.31,4.78,2.36,1.58,23.03,6.42,2.64,32.26,39.77,7.51,18.57,3.84,13.78,18.24,4.46,97.82,39.33,7.71,3.02,32.19,40.36,8.17,47.05
5996,39.73,7.28,4.25,17.13,22.76,5.63,22.6,9.9,15.38,1114.04,27.33,9.86,445.28,16.9,17.96,4.38,70.49,81.18,10.69,15.71,3.32,1006.83,17.62,795.45,4.58,2.89,1.58,18.23,6.06,2.68,46.21,53.3,7.09,13.68,3.7,25.85,30.47,4.62,91.15,40.38,7.17,3.18,42.17,49.74,7.57,39.14
5997,26.25,7.7,3.96,17.09,22.37,5.28,17.1,12.19,15.6,1089.03,21.45,15.74,669.38,25.02,18.65,4.87,58.78,70.39,11.61,25.94,2.4,989.38,21.62,847.38,7.27,3.86,1.58,14.11,5.43,2.62,48.24,54.56,6.33,12.28,3.96,87.2,102.24,15.05,34.7,36.79,6.93,2.83,38.66,43.42,4.76,29.74
5998,38.34,7.46,3.91,31.0,36.28,5.28,17.3,21.57,15.77,1129.55,24.55,17.58,712.76,27.31,17.12,5.07,77.84,90.83,12.99,24.63,2.05,939.76,27.07,783.88,10.79,3.69,1.54,9.87,4.7,2.6,34.14,39.24,5.09,16.92,3.51,37.97,43.53,5.56,43.33,32.39,7.3,2.88,47.3,51.41,4.11,26.05
5999,37.36,9.07,4.13,50.47,56.02,5.55,22.5,17.8,16.1,1031.19,29.49,20.68,458.45,22.32,19.76,4.88,72.42,85.03,12.61,19.59,8.31,899.84,33.09,700.17,6.73,6.33,1.58,7.0,4.25,2.62,30.15,35.24,5.09,20.84,3.75,37.24,42.49,5.25,46.06,32.68,7.16,2.88,19.22,22.86,3.64,44.93
6000,48.49,8.04,1.62,57.21,63.71,6.5,18.0,20.3,15.86,1013.65,29.67,21.16,469.42,28.69,21.75,4.64,51.58,61.72,10.14,24.79,6.88,966.44,32.63,624.06,18.07,5.47,1.5,6.68,4.45,2.58,23.19,28.12,4.92,19.35,3.67,24.39,28.61,4.22,48.81,33.86,6.81,2.83,14.45,18.33,3.88,45.49
6001,32.81,7.42,1.57,33.73,38.8,5.07,34.9,18.62,15.76,978.52,31.99,21.82,511.38,26.87,21.28,4.52,42.67,51.77,9.1,15.72,6.01,917.17,37.93,586.74,24.99,4.89,1.6,14.12,4.04,2.63,19.01,23.61,4.6,17.96,3.45,32.09,37.33,5.24,37.92,30.86,6.86,2.79,11.51,14.99,3.48,41.54
6002,48.68,5.77,1.61,24.45,29.39,4.94,30.3,21.14,15.52,895.71,36.2,25.6,366.43,32.27,23.28,5.01,36.8,43.98,7.18,9.47,4.18,883.12,43.83,568.05,14.56,3.9,1.54,14.32,3.99,2.82,14.98,19.37,4.39,13.6,3.4,20.13,24.02,3.9,42.74,26.98,6.84,2.92,10.49,14.03,3.54,40.63
6003,43.24,7.74,1.48,23.04,27.49,4.45,24.3,15.11,15.51,813.95,38.14,20.57,412.24,36.38,27.96,5.09,33.19,40.41,7.22,24.18,3.58,857.56,54.01,550.59,15.48,3.56,1.59,11.17,4.36,2.79,12.95,17.3,4.35,13.36,3.46,19.32,23.23,3.91,40.22,21.47,6.69,2.79,7.34,10.78,3.44,46.77
6004,55.11,8.02,1.27,20.66,25.08,4.42,24.5,10.87,15.27,745.49,40.28,22.55,369.34,26.44,23.8,5.08,24.29,31.67,7.38,16.4,4.5,836.78,43.4,546.95,17.78,3.51,1.54,9.35,4.32,2.87,8.31,12.54,4.22,17.05,3.48,9.42,13.14,3.72,47.73,16.87,6.61,2.81,6.15,9.58,3.43,49.51
6005,49.08,6.68,1.59,16.67,21.04,4.37,26.7,8.02,15.15,740.59,35.92,18.32,330.29,24.95,20.78,4.83,15.69,22.79,7.1,12.9,4.21,833.68,38.36,529.19,13.33,2.63,1.5,20.71,4.69,2.95,7.18,11.39,4.2,14.82,3.45,8.5,12.12,3.62,47.33,13.99,6.84,2.74,5.5,8.99,3.49,51.19
6006,43.92,22.88,1.53,11.25,15.57,4.32,27.4,6.61,15.26,737.62,36.86,13.52,380.98,35.13,21.94,4.9,14.26,21.42,7.16,14.57,4.09,835.49,28.93,520.2,26.42,2.51,1.57,14.81,4.18,2.96,7.88,12.14,4.27,15.58,3.33,15.67,19.45,3.78,41.31,11.78,6.9,2.75,4.93,8.35,3.42,56.8
