,S14_PM10,S14_PM25,S14_SO2,S14_NO2,S14_NOX,S14_NO
400,,,,,,11.11
401,20.25,,,,,
402,,,,,,19.91
403,,,,61.98,,
404,17.19,,,,,
405,13.01,,,,,
406,8.14,,,,,
407,,,1.99,,,
408,,1.36,,,,
409,,,,82.39,,
410,34.01,,,,,
411,,,26.73,,,
412,63.32,,,,,
413,,,,,63.16,
414,,,,,,17.69
415,52.93,,,,,
416,,,4.83,,,
417,,,,41.28,,
418,,,,,89.76,
419,,,,89.12,,
420,,,4.01,,,
421,27.25,,,,,
422,,8.93,,,,
423,,6.25,,,,
424,,,,,,83.96
425,45.97,,,,,
426,41.78,,,,,
427,,,,,,6.41
428,,,1.86,,,
429,,5.35,,,,
430,,,,49.24,,
431,19.16,,,,,
432,,,,79.74,,
433,37.45,,,,,
434,,,2.86,,,
435,,,,,,15.44
436,30.75,,,,,
437,31.03,,,,,
438,,,,,,13.88
439,,3.04,,,,
440,,,,,,6.56
441,,1.67,,,,
442,,,,,41.88,
443,,,,,89.12,
444,,0.91,,,,
445,,,,,39.54,
446,,,,,61.11,
447,,,,68.98,,
448,,,,39.89,,
449,,,,,,6.06
450,7.66,,,,,
451,,,,,,6.1
452,14.07,,,,,
453,,,,,54.1,
454,,1.12,,,,
455,26.82,,,,,
456,,,2.29,,,
457,,,,,,15.0
458,,,,,,15.06
459,,1.49,,,,
460,16.43,,,,,
461,,,,,63.25,
462,,1.0,,,,
463,,1.97,,,,
464,,,,,,21.6
465,,14.54,,,,
466,19.46,,,,,
467,,,,66.72,,
468,,6.86,,,,
469,14.06,,,,,
470,,,,,,27.73
471,,,,103.93,,
472,12.17,,,,,
473,,,3.17,,,
474,,,,,,70.36
475,41.76,,,,,
476,38.26,,,,,
477,28.54,,,,,
478,,,,,174.73,
479,,,,118.38,,
480,,,,,114.8,
481,,,,,,34.42
482,,,,101.28,,
483,,,,,,48.82
484,24.84,,,,,
485,,,2.81,,,
486,,,,,,55.9
487,28.98,,,,,
488,,,6.66,,,
489,,,,,196.84,
490,,,,,120.99,
491,,,,41.01,,
492,,,,,61.72,
493,,,,,,17.76
494,,,,,69.95,
495,,,,,79.78,
496,,,,,,15.6
497,,,2.07,,,
498,,,,,71.89,
499,,,2.06,,,
500,,,1.68,,,
501,68.71,,,,,
502,72.92,,,,,
503,,,,56.37,,
504,,,1.03,,,
505,21.52,,,,,
506,,9.89,,,,
507,,,,,,3.13
508,,,4.2,,,
509,,8.63,,,,
510,,,,74.3,,
511,,,,,,17.04
512,,,,,136.7,
513,,,,,,9.59
514,,,,,73.44,
515,,,,,70.43,
516,,,2.57,,,
517,13.26,,,,,
518,,14.28,,,,
519,,16.19,,,,
520,,,,91.7,,
521,47.19,,,,,
522,,,,,62.62,
523,,,2.31,,,
524,,,,,57.7,
525,,,,,,18.25
526,,19.02,,,,
527,,19.04,,,,
528,,,,,178.76,
529,54.82,,,,,
530,,44.28,,,,
531,60.22,,,,,
532,59.79,,,,,
533,,,,,137.95,
534,,,,,129.71,
535,49.55,,,,,
536,46.28,,,,,
537,,21.66,,,,
538,,,,84.3,,
539,,,,110.92,,
540,,,,,251.51,
541,,,,,202.03,
542,61.1,,,,,
543,,25.74,,,,
544,,23.2,,,,
545,,,,,,72.88
546,,,,,101.92,
547,,28.24,,,,
548,,25.98,,,,
549,,,,,105.06,
550,,,8.21,,,
551,,,,,,55.55
552,,,,146.94,,
553,,,,,163.31,
554,53.01,,,,,
555,,,,,181.62,
556,,,4.94,,,
557,75.22,,,,,
558,,,,,,135.11
559,,37.1,,,,
560,,29.96,,,,
561,,,,,,19.21
562,,,,,61.21,
563,,,,,47.49,
564,,,,,,2.61
565,,,,93.07,,
566,34.46,,,,,
567,,,,,,33.49
568,,,,,,35.28
569,,,,,,54.6
570,,25.68,,,,
571,59.47,,,,,
572,,,,,180.5,
573,,,,,,89.06
574,,,,211.52,,
575,,,,,,87.35
576,59.31,,,,,
577,,29.79,,,,
578,,,,,,204.39
579,,,,,195.04,
580,,,,,179.18,
581,,,,,,55.23
582,50.29,,,,,
583,40.1,,,,,
584,,,2.52,,,
585,,,3.23,,,
586,,,,,592.92,
587,,22.58,,,,
588,,,,,,41.3
589,,,4.26,,,
590,,23.72,,,,
591,,,,28.31,,
592,,,2.44,,,
593,,,2.41,,,
594,25.03,,,,,
595,,28.06,,,,
596,,,,,,9.65
597,,,,26.43,,
598,,,,26.4,,
599,,27.65,,,,
600,27.74,21.88,1.6,25.76,36.7,10.94
601,,,,,,12.61
602,,,,80.1,,
603,28.19,,,,,
604,,,,,97.3,
605,,,,,,21.03
606,,,1.92,,,
607,,,,45.9,,
608,,29.66,,,,
609,,,,,,12.36
610,,,,,35.39,
611,,,1.5,,,
612,89.07,,,,,
613,,,,33.03,,
614,,,,,39.59,
615,17.15,,,,,
616,17.8,,,,,
617,,11.52,,,,
618,,,1.59,,,
619,,,1.6,,,
620,,,1.97,,,
621,23.47,,,,,
622,,11.39,,,,
623,,,,,63.22,
624,,15.52,,,,
625,,12.44,,,,
626,,,,,79.54,
627,,,,104.33,,
628,,,10.46,,,
629,,,,,,58.86
630,,19.04,,,,
631,,,,89.41,,
632,49.09,,,,,
633,,,,,70.04,
634,,,6.07,,,
635,,,,,,22.14
636,,21.42,,,,
637,,,3.47,,,
638,,,2.99,,,
639,,,2.57,,,
640,,,,,,36.4
641,,,,,94.62,
642,,,2.16,,,
643,27.96,,,,,
644,,,,86.3,,
645,,18.34,,,,
646,75.35,,,,,
647,,,,68.31,,
648,,,,50.84,,
649,,19.17,,,,
650,,,,,,27.7
651,21.33,,,,,
652,,,,,,35.37
653,,,,,118.72,
654,,,,,,15.66
655,,14.49,,,,
656,,,,43.82,,
657,,,,,33.03,
658,8.37,,,,,
659,,,1.65,,,
660,7.03,,,,,
661,,,,,44.74,
662,,,2.62,,,
663,6.42,6.07,2.98,24.81,30.13,5.32
664,,,,,30.46,
665,,,2.18,,,
666,,,,,77.36,
667,,,,,89.31,
668,21.93,,,,,
669,,8.91,,,,
670,,,3.24,,,
671,15.17,5.81,3.7,20.1,28.17,8.06
672,,,,16.68,,
673,,,3.29,,,
674,,,,16.49,,
675,,,,,,3.12
676,,,,25.25,,
677,,5.8,,,,
678,,5.87,,,,
679,,,2.59,,,
680,,,1.85,,,
681,,,,30.48,,
682,,,,19.92,,
683,,,,,28.92,
684,,12.27,,,,
685,,,,22.52,,
686,,7.92,,,,
687,11.8,,,,,
688,11.46,,,,,
689,,,,,,5.18
690,10.48,,,,,
691,,5.0,,,,
692,,,,15.93,,
693,,,,41.44,,
694,,,,,,47.64
695,49.29,,,,,
696,,,3.7,,,
697,,,,17.77,,
698,,,2.06,,,
699,,,,,17.8,
700,,,,,20.19,
701,,12.3,,,,
702,,,,,45.3,
703,9.35,,,,,
704,,,,,106.07,
705,,,2.18,,,
706,11.73,,,,,
707,,,,,,7.8
708,9.07,,,,,
709,,,,,,44.54
710,,,,,,40.27
711,,,6.3,,,
712,,,,,,17.46
713,,,3.98,,,
714,34.63,,,,,
715,84.0,,,,,
716,,,7.87,,,
