,S1_PM10,S1_PM25,S1_SO2,S1_NO2,S1_NOX,S1_NO,OUT
362,42.43,12.51,2.44,18.64,21.02,2.38,1
363,24.08,7.22,1.8,12.84,14.94,2.1,1
364,12.71,6.16,1.79,17.32,19.73,2.41,1
365,9.35,6.55,1.98,20.57,23.77,3.2,1
366,13.95,12.18,1.8,17.66,21.61,3.95,1
367,14.94,14.62,1.95,12.32,16.89,4.57,1
368,7.66,10.54,1.98,14.46,20.81,6.35,1
369,14.48,8.54,2.05,14.39,20.99,6.6,1
370,10.52,5.0,2.18,14.75,21.63,6.88,1
371,13.03,5.12,2.24,19.41,26.55,7.14,1
372,17.04,5.0,2.03,24.2,32.3,8.1,2
373,30.07,8.9,1.83,32.11,40.8,8.69,2
374,26.2,14.83,1.68,40.63,47.85,7.22,2
375,36.25,10.95,1.55,37.88,45.75,7.87,2
376,35.23,7.72,1.56,38.61,45.59,6.98,2
377,32.92,20.88,1.79,37.1,43.34,6.24,2
378,42.52,14.96,1.8,39.52,44.73,5.21,2
379,35.04,15.1,1.91,35.39,40.73,5.34,2
380,43.89,15.44,1.9,33.71,37.13,3.42,3
381,50.63,11.12,1.84,32.6,37.17,4.57,2
382,36.74,22.32,1.98,26.39,29.92,3.53,2
383,26.84,14.17,2.5,22.54,25.24,2.7,2
384,39.97,8.45,3.55,20.84,23.37,2.53,2
385,34.34,8.49,2.35,26.02,28.69,2.67,3
386,34.47,33.24,2.87,50.85,59.95,9.1,2
387,33.51,25.64,2.61,83.62,109.08,25.46,2
388,45.63,28.85,3.79,90.69,133.06,42.37,2
389,46.2,25.07,14.87,43.63,59.49,15.86,2
390,33.88,21.78,12.15,26.13,35.73,9.6,2
391,34.51,27.52,8.71,22.05,30.65,8.6,2
392,39.88,15.9,7.21,21.02,30.37,9.35,2
393,25.38,14.04,8.5,16.65,23.67,7.02,1
394,20.23,9.38,8.6,17.31,24.14,6.83,1
395,24.72,7.97,6.85,15.12,20.77,5.65,1
396,23.33,5.65,5.11,22.64,30.14,7.5,1
397,12.61,11.2,4.68,32.28,39.39,7.11,2
398,23.11,18.07,3.05,35.01,40.39,5.38,2
399,23.91,19.7,6.94,58.84,69.12,10.28,2
400,27.6,17.42,6.78,57.9,65.61,7.71,2
401,24.5,10.21,4.11,70.99,84.8,13.81,3
402,24.41,6.32,3.9,101.93,159.13,57.2,3
403,44.4,4.15,3.98,117.26,185.22,67.96,2
404,40.37,9.34,4.59,85.63,115.39,29.76,2
405,31.95,6.03,5.22,70.45,85.65,15.2,2
406,36.41,16.47,4.08,45.85,51.38,5.53,2
407,34.9,12.18,11.07,37.15,40.8,3.65,1
408,21.43,6.94,6.29,43.28,48.51,5.23,2
409,20.37,5.82,6.14,66.2,85.55,19.35,2
410,21.53,6.51,10.14,98.45,164.47,66.02,2
411,36.97,4.12,11.43,87.89,140.76,52.87,2
412,42.86,27.93,8.52,83.21,135.01,51.8,3
413,67.76,34.44,7.12,67.49,105.31,37.82,3
414,57.49,28.85,6.79,41.09,59.77,18.68,3
415,61.16,16.52,9.64,23.84,35.63,11.79,2
416,45.73,17.23,5.89,21.8,31.69,9.89,2
417,31.92,10.18,4.54,21.84,30.03,8.19,2
418,27.39,6.56,3.95,21.72,30.84,9.12,2
419,33.8,5.85,4.07,22.78,31.48,8.7,1
420,20.5,3.88,3.88,35.43,45.45,10.02,2
421,23.6,8.46,3.99,68.01,91.37,23.36,2
422,27.35,21.66,4.98,79.89,108.46,28.57,2
423,40.83,14.19,4.25,65.41,76.37,10.96,2
424,38.88,19.18,3.75,87.33,110.38,23.05,2
425,41.7,14.33,3.66,75.94,99.52,23.58,2
426,48.9,17.69,3.11,36.88,42.75,5.87,2
427,37.79,11.15,3.09,29.92,33.92,4.0,2
428,35.93,6.94,3.25,22.61,25.48,2.87,2
429,26.93,6.76,3.13,18.85,21.48,2.63,1
430,21.11,7.44,2.91,15.77,18.2,2.43,2
431,29.57,13.85,2.78,17.04,19.67,2.63,2
432,30.5,19.28,2.2,33.38,40.29,6.91,2
433,28.62,12.75,1.74,58.52,76.75,18.23,1
434,17.43,8.44,2.1,45.27,56.56,11.29,1
435,19.06,6.24,3.06,29.97,37.51,7.54,1
436,14.14,6.01,4.05,27.3,38.12,10.82,1
437,19.56,4.53,4.12,22.97,31.42,8.45,1
438,16.42,3.93,4.15,22.04,30.89,8.85,1
439,14.63,3.72,3.73,20.24,28.08,7.84,1
440,11.97,7.81,3.5,31.18,41.86,10.68,1
