,S17_PM10,S17_PM25,S17_SO2,S17_NO2,S17_NOX,S17_NO,S17_O3
495,,,,,,25.02,
496,,,,,,,29.64
497,,,,59.62,,,
498,,,,,,9.93,
499,,5.58,,,,,
500,11.32,,,,,,
501,183.38,,,,,,
502,,,9.91,,,,
503,,,,,111.17,,
504,,,,,,,68.33
505,,,,39.27,,,
506,14.4,,,,,,
507,,8.76,,,,,
508,,,,,,,25.23
509,,,,,,8.75,
510,,,,,,6.28,
511,,,,,30.75,,
512,,,,,26.63,,
513,,,,,,,56.88
514,,,,,18.19,,
515,,,,,,9.08,
516,,3.14,,,,,
517,,,,,,,44.91
518,,,,,49.88,,
519,,6.97,,,,,
520,,,,,,169.4,
521,,,5.07,,,,
522,,,,,,,61.68
523,,,,,52.56,,
524,,15.61,,,,,
525,,,3.35,,,,
526,,,,,,71.45,
527,73.61,,,,,,
528,,26.95,,,,,
529,146.34,,,,,,
530,,,,,102.69,,
531,,26.09,,,,,
532,,,,,,76.17,
533,,,,82.32,,,
534,103.27,,,,,,
535,,,,,65.38,,
536,,,,,,15.08,
537,,,,,,,6.6
538,,,3.68,,,,
539,181.5,,,,,,
540,,73.15,,,,,
541,171.37,,,,,,
542,,,,,,84.35,
543,,,,94.84,,,
544,122.81,,,,,,
545,431.91,,,,,,
546,,,,131.91,,,
547,,,5.76,,,,
548,105.11,,,,,,
549,,25.41,,,,,
550,91.43,,,,,,
551,,,,272.97,,,
552,,,,208.76,,,
553,,,,,390.31,,
554,,,7.29,,,,
555,,,,,294.53,,
556,,,,,362.97,,
557,,,5.36,,,,
558,,,,149.25,,,
559,,46.8,,,,,
560,92.79,,,,,,
561,96.02,,,,,,
562,,,,51.11,,,
563,,,,,,22.25,
564,,20.99,,,,,
565,,,,,,94.8,
566,,20.49,,,,,
567,,,4.57,,,,
568,,,,,,9.57,
569,,,,40.25,,,
570,,,,,,,16.57
571,110.32,,,,,,
572,,,3.06,,,,
573,,,4.8,,,,
574,,,,,,52.28,
575,,,,,,,6.29
576,,,4.2,,,,
577,,,3.57,,,,
578,,,,108.16,,,
579,,,,,166.58,,
580,,,,,,25.2,
581,,,,59.36,,,
582,,15.67,,,,,
583,,,,53.97,,,
584,,,2.8,,,,
585,,,,,198.95,,
586,111.72,,,,,,
587,,,4.54,,,,
588,,,,,95.42,,
589,95.56,,,,,,
590,,,,,,,77.27
591,50.41,,,,,,
592,17.12,,,,,,
593,,5.86,,,,,
594,,4.46,,,,,
595,,,3.31,,,,
596,,,,,,4.79,
597,48.26,,,,,,
598,40.52,,,,,,
599,,,,,,,57.17
600,,,,,,1.73,
601,,,,,,,49.69
602,,,,,,,19.68
603,19.42,,,,,,
604,,,,,,,40.29
605,,11.62,,,,,
606,,,,,,21.41,
607,,18.48,,,,,
608,,,,,74.34,,
609,,,4.38,,,,
610,,,,37.65,,,
611,,,,,,,65.28
612,,,,32.55,,,
613,,,,,,,70.37
614,78.39,,,,,,
615,,,,,,11.86,
616,,,,,41.21,,
617,,,,,66.74,,
618,,,,,62.02,,
619,,,,,70.0,,
620,,,,,82.33,,
621,,,,,,3.01,
622,,,,30.83,,,
623,,,,,15.02,,
624,,,2.36,,,,
625,,,2.04,,,,
626,,,,,,10.32,
627,14.75,,,,,,
628,,,,,,,2.33
629,43.38,,,,,,
630,54.84,31.38,4.44,54.97,79.45,24.48,41.75
631,,,,78.68,,,
632,,24.98,,,,,
633,,,,62.18,,,
634,,,,,,,45.23
635,,9.56,,,,,
636,,,,58.85,,,
637,,,,,57.06,,
638,,,,,,7.06,
639,,,,,,,7.38
640,,40.5,,,,,
641,54.78,,,,,,
642,,,,43.26,,,
643,,23.87,,,,,
644,,,,69.14,,,
645,,37.32,,,,,
646,,,,118.66,,,
647,,,,,,,36.95
648,96.48,,,,,,
649,,,,,,,54.11
650,,,,,83.69,,
651,,,,,,,8.71
652,,24.3,,,,,
653,,,,,108.45,,
654,,,,,,,15.94
655,,,,,,,38.63
656,37.79,,,,,,
657,,15.18,,,,,
658,,,,,,,29.28
659,,,,,,9.07,
660,14.48,,,,,,
661,,,2.22,,,,
662,,5.41,,,,,
663,,,,,45.37,,
664,,,2.22,,,,
665,17.55,,,,,,
666,,2.55,,,,,
667,,,,40.71,,,
668,7.81,,,,,,
669,,,,68.81,,,
670,,7.13,,,,,
671,,13.2,,,,,
672,,13.55,,,,,
673,27.09,,,,,,
674,23.58,,,,,,
675,16.76,,,,,,
676,,,,83.73,,,
677,,,2.3,,,,
678,,,,80.81,,,
679,,,2.7,,,,
680,,,,,,,48.26
681,,,,,,1.47,
682,,,,11.81,,,
683,1.78,0.83,2.19,10.0,13.39,3.39,57.76
684,,1.24,,,,,
685,2.46,,,,,,
686,,,,,15.84,,
687,,,,,,,55.82
688,,,,,,,61.74
689,,,2.14,,,,
690,,,2.27,,,,
691,,,2.17,,,,
692,,0.39,,,,,
693,,,,10.56,,,
694,,,,,,,34.73
695,,,,55.63,,,
696,,19.81,,,,,
697,,,3.16,,,,
698,,,,,,9.6,
699,,,,20.64,,,
700,,,,,,,70.73
701,,2.05,,,,,
702,,,,26.95,,,
703,,,,,31.44,,
704,,,,,,4.56,
705,,,2.84,,,,
706,17.61,,,,,,
707,,3.16,,,,,
708,31.32,,,,,,
709,,,,,176.48,,
710,,,,,316.24,,
711,,,7.54,,,,
712,,,,,,,72.02
713,,,,,,20.45,
714,,,,,,,65.74
715,,,,,,,9.77
716,,,7.25,,,,
717,,,,,,,16.21
718,,,5.91,,,,
719,,,,,103.53,,
720,,,,,,30.69,
721,,,,,110.45,,
722,,,2.86,,,,
723,,,3.44,,,,
724,,,,133.55,,,
725,,,,,,67.64,
726,69.92,,,,,,
727,,,,,144.76,,
728,,7.12,,,,,
729,22.78,,,,,,
730,,,2.03,,,,
731,,,,,,19.3,
732,,,,,,,4.53
733,,,2.57,,,,
734,,,,,142.93,,
735,,,2.99,,,,
736,,,,94.18,,,
737,,,,,90.49,,
738,,,,,236.45,,
739,51.15,,,,,,
740,,,4.24,,,,
741,,,,,73.98,,
742,,,,,61.08,,
743,,19.05,,,,,
744,,,,29.02,,,
745,,,3.14,,,,
746,,,,,,,75.58
747,,,,,,,73.68
748,29.07,,,,,,
749,,,3.02,,,,
750,,,3.17,,,,
751,,,,,,,4.16
752,,,3.25,,,,
753,96.02,,,,,,
754,,,3.92,,,,
755,,,,96.87,,,
756,,,,,,9.44,
757,,,,,41.97,,
758,44.48,,,,,,
759,,,2.28,,,,
760,,,2.21,,,,
761,,7.1,,,,,
762,,5.45,,,,,
763,,,3.3,,,,
764,,1.62,,,,,
765,,,,,,83.48,
766,,,2.22,,,,
767,,,,,,2.14,
768,,,,37.17,,,
769,,,1.97,,,,
770,,,,,223.11,,
771,,23.16,,,,,
772,,,3.68,,,,
773,,,3.09,,,,
774,35.45,,,,,,
775,3.3,,,,,,
776,,,,,17.92,,
777,,,,,,,70.31
778,,,,12.18,,,
779,,,,,,,65.82
780,,0.55,,,,,
781,,0.38,,,,,
782,,,,,16.76,,
783,,,3.41,,,,
784,,,,,,4.69,
785,,,,41.65,,,
786,,,,,,12.14,
787,,,,,37.69,,
788,,,,,50.98,,
789,,2.53,,,,,
790,,,,,,,70.99
791,,,,50.35,,,
792,12.44,,,,,,
793,,,,,,,78.49
794,,,2.02,,,,
795,,,,,,2.71,
796,6.92,,,,,,
797,,,,26.44,,,
798,3.9,,,,,,
799,,0.53,,,,,
800,,,,,30.03,,
801,,,1.95,,,,
802,,,,32.57,,,
803,,,,33.01,,,
804,,,1.95,,,,
805,,,2.48,,,,
806,,1.03,,,,,
807,,,,,77.44,,
808,,,,,,13.43,
809,16.62,,,,,,
810,,1.88,,,,,
811,,,,61.87,,,
812,,,,,,,46.46
813,,,4.98,,,,
814,,,,,87.88,,
815,,,2.06,,,,
816,,,1.94,,,,
817,,,2.06,,,,
818,,,,61.82,,,
819,,,,,118.78,,
820,,,,,,,60.51
821,,,,,,12.39,
822,,,,,,11.76,
823,,,,,,,85.97
824,,,,,,10.83,
825,,9.27,,,,,
826,,,,,71.25,,
827,,,,,77.18,,
828,,,,52.44,,,
829,,,,,,7.1,
830,,10.3,,,,,
831,13.87,,,,,,
832,,,1.82,,,,
833,,,,,,12.89,
834,,,1.93,,,,
835,3.32,,,,,,
836,,,,,,,66.04
837,,,,,,,72.79
838,,,1.79,,,,
839,,,,38.95,,,
840,,0.8,,,,,
841,,,,,71.65,,
842,,,,,,6.6,
843,,0.28,,,,,
844,,,2.83,,,,
845,10.96,,,,,,
846,,,,79.12,,,
847,,2.36,,,,,
848,,,,67.0,,,
849,,,,,,,5.05
850,,,,88.55,,,
851,,,1.16,,,,
852,,,1.23,,,,
853,,,1.64,,,,
854,44.24,,,,,,
855,,,,90.63,,,
856,,,,,,,28.81
857,,,,,114.29,,
858,,,,48.74,,,
859,24.75,,,,,,
860,,,,40.52,,,
861,,,,,,,84.16
862,,,,62.81,,,
863,,1.05,,,,,
864,,,,,,,29.55
865,,,,,,29.26,
866,,,1.21,,,,
867,,,1.18,,,,
868,,0.85,,,,,
869,,,,63.11,,,
870,,,,,58.98,,
871,,0.75,,,,,
872,,,,,,,53.44
873,0.57,,,,,,
874,,,,,,4.53,
875,,,0.94,,,,
876,,,,,36.63,,
877,,0.09,,,,,
878,,,,,61.4,,
879,,,,,88.25,,
880,,,,58.41,,,
881,,,,,,10.76,
882,,,2.42,,,,
883,,,,,55.36,,
884,,,2.17,,,,
885,,,,,62.81,,
886,,0.39,,,,,
887,,,1.91,,,,
888,24.23,,,,,,
889,,,,55.98,,,
890,25.52,8.39,1.44,40.6,45.1,4.51,56.23
891,,,,46.37,,,
892,,4.11,,,,,
893,,,,,,,62.85
894,,,,,32.14,,
895,,,,31.57,,,
896,,,,,36.99,,
897,,0.71,,,,,
898,,,1.32,,,,
899,,,,48.76,,,
900,,,1.42,,,,
901,,,,,,14.76,
902,8.09,,,,,,
903,,,3.06,,,,
904,,4.55,,,,,
905,,,,,,22.06,
906,,,,60.84,,,
907,,,,44.58,,,
908,,,,,48.88,,
909,,,,,,,44.41
910,,,,58.55,,,
911,,,1.56,,,,
912,,,,71.35,,,
913,,,1.36,,,,
914,,,1.52,,,,
915,,,,,,4.2,
916,,4.14,,,,,
917,,,,29.38,,,
918,,,,33.36,,,
919,,,,,,,39.18
920,8.57,,,,,,
921,8.21,,,,,,
922,9.22,,,,,,
923,,,,,,,61.56
924,,,,,,13.12,
925,,,,141.08,,,
926,,,,,,,5.67
