,S17_PM10,S17_PM25,S17_SO2,S17_NO2,S17_NOX,S17_NO,S17_O3
2180,,,,,,,66.03
2181,,,,,,4.54,
2182,,5.94,,,,,
2183,,,2.88,,,,
2184,,,2.88,,,,
2185,,4.4,,,,,
2186,,5.09,,,,,
2187,,,,,,,50.46
2188,,,,,16.26,,
2189,,,,,,,58.49
2190,,,,,,,54.1
2191,,3.87,,,,,
2192,,,,,58.7,,
2193,,,,,,8.91,
2194,,,,,,,36.72
2195,,,,,69.45,,
2196,34.03,,,,,,
2197,,,2.99,,,,
2198,39.64,,,,,,
2199,,,2.89,,,,
2200,,,,,,5.07,
2201,,,2.92,,,,
2202,,,,,,4.8,
2203,,6.18,,,,,
2204,,,,,,,90.54
2205,,5.25,,,,,
2206,,,,,,3.52,
2207,,,,,,2.89,
2208,,,,,,2.93,
2209,,,,,28.5,,
2210,23.95,,,,,,
2211,,,,59.08,,,
2212,,,,57.4,,,
2213,22.39,,,,,,
2214,,,,66.19,,,
2215,,12.3,,,,,
2216,,,,,,13.47,
2217,44.32,,,,,,
2218,,17.63,,,,,
2219,,16.15,,,,,
2220,,,,,21.77,,
2221,,,3.0,,,,
2222,,,3.02,,,,
2223,38.34,,,,,,
2224,,,,,,,72.4
2225,,,2.92,,,,
2226,,,,,11.84,,
2227,,,,,,2.82,
2228,,,,12.36,,,
2229,,4.47,,,,,
2230,,4.28,,,,,
2231,,,,12.88,,,
2232,,,,10.56,,,
2233,,,,12.38,,,
2234,,,,22.17,,,
2235,,,,18.12,,,
2236,39.71,,,,,,
2237,,,,20.07,,,
2238,30.09,,,,,,
2239,,,,,28.89,,
2240,,,,,,,69.53
2241,,4.02,,,,,
2242,,,,16.85,,,
2243,,,,,16.06,,
2244,,,,,,,48.51
2245,,,,12.46,,,
2246,,,,,,,53.77
2247,,,,,11.15,,
2248,19.71,,,,,,
2249,,,,,8.16,,
2250,13.87,,,,,,
2251,,,,,8.05,,
2252,,,,9.23,,,
2253,10.6,,,,,,
2254,,,,,24.33,,
2255,,,,,37.67,,
2256,,,,,,,65.72
2257,,,,,,7.33,
2258,,,,33.63,,,
2259,,,2.86,,,,
2260,,,,,33.32,,
2261,,10.66,,,,,
2262,,,,,,,91.43
2263,,,,,,,98.21
2264,,,3.28,,,,
2265,,,,,,5.25,
2266,,,,,46.68,,
2267,,,,,,,70.11
2268,,,,50.6,,,
2269,,,,27.04,,,
2270,,,,,,,66.42
2271,,,,,,,67.81
2272,,,,,14.54,,
2273,,,2.91,,,,
2274,,,,,,14.67,
2275,,,,93.8,,,
2276,,,3.24,,,,
2277,,,,68.8,,,
2278,,,3.28,,,,
2279,61.23,,,,,,
2280,,,3.12,,,,
2281,,,3.39,,,,
2282,,8.3,,,,,
2283,,,,,,5.99,
2284,,5.68,,,,,
2285,,,3.41,,,,
2286,,4.86,,,,,
2287,,4.49,,,,,
2288,,,3.5,,,,
2289,,,,,281.56,,
2290,,,,,,,8.89
2291,103.15,,,,,,
2292,86.38,,,,,,
2293,97.61,,,,,,
2294,,,,138.25,,,
2295,,20.62,,,,,
2296,,,,86.42,,,
2297,,,,112.21,,,
2298,,,,,,71.71,
2299,112.84,,,,,,
2300,,38.78,,,,,
2301,,,,81.35,,,
2302,,,,56.12,,,
2303,,26.99,,,,,
2304,,,,,,,85.37
2305,,14.75,,,,,
2306,,,,,33.85,,
2307,97.07,9.84,4.0,35.07,42.43,7.36,84.58
2308,,,3.41,,,,
2309,,,,,17.8,,
2310,107.02,,,,,,
2311,,,,,,2.34,
2312,26.13,,,,,,
2313,,,,,6.5,,
2314,15.35,,,,,,
2315,,,,,,1.97,
2316,,,,,,,69.3
2317,,,,,,5.72,
2318,18.06,,,,,,
2319,19.62,,,,,,
2320,,,,,29.98,,
2321,,,2.67,,,,
2322,,5.12,,,,,
2323,,,,,29.06,,
2324,13.3,,,,,,
2325,12.31,,,,,,
2326,,,,,30.07,,
2327,,,,,,2.55,
2328,,3.76,,,,,
2329,15.14,,,,,,
2330,,,,,,2.44,
2331,,,,14.57,,,
2332,,4.11,,,,,
2333,,,,,,2.4,
2334,9.65,,,,,,
2335,,,,,,2.34,
2336,7.46,,,,,,
2337,7.36,,,,,,
2338,,,,,34.3,,
2339,,4.4,,,,,
2340,28.1,,,,,,
2341,,,,,,,73.69
2342,,,,,29.64,,
2343,,,2.68,,,,
2344,,,2.66,,,,
2345,,,3.21,,,,
2346,58.29,13.62,3.03,30.39,35.9,5.51,106.08
2347,,12.65,,,,,
2348,,10.63,,,,,
2349,,,,,44.08,,
2350,45.06,,,,,,
2351,,,,26.0,,,
2352,,,2.96,,,,
2353,,,,,,,60.07
2354,,,,,,,60.4
2355,32.49,,,,,,
2356,,,,,,,61.9
2357,,,,,8.68,,
2358,,,,,8.56,,
2359,,,,6.09,,,
2360,,,,6.47,,,
2361,,,,,,,55.29
2362,,,,,16.13,,
2363,33.15,,,,,,
2364,27.14,,,,,,
2365,,,,,,3.28,
2366,,,,,,2.72,
2367,,,2.73,,,,
2368,,,2.79,,,,
2369,22.06,,,,,,
2370,,,,11.83,,,
2371,,,,,,3.07,
2372,40.67,,,,,,
2373,32.54,3.48,2.88,34.58,38.33,3.75,53.45
2374,,,2.67,,,,
2375,,,2.58,,,,
2376,,,,,,2.44,
2377,,,,13.59,,,
2378,25.6,,,,,,
2379,,,2.43,,,,
2380,17.56,,,,,,
2381,,,,4.32,,,
2382,,,,,,,56.35
2383,,,,,17.55,,
2384,,,,,30.07,,
2385,,,2.58,,,,
2386,,,,,,7.21,
2387,,,3.03,,,,
2388,,,,26.29,,,
2389,,,2.97,,,,
2390,,,,,39.86,,
2391,,,,,57.28,,
2392,,,,73.08,,,
2393,,4.21,,,,,
2394,,,,,,3.01,
2395,,,,22.15,,,
2396,,,1.86,,,,
2397,,4.3,,,,,
2398,,,,,124.89,,
2399,35.86,,,,,,
2400,,11.9,,,,,
2401,,,,,,,11.1
2402,,,2.18,,,,
2403,,,,,88.36,,
2404,,,,54.09,,,
2405,52.14,,,,,,
2406,67.93,,,,,,
2407,,6.39,,,,,
2408,26.49,5.37,2.2,25.65,32.92,7.26,79.34
2409,,,,,,5.72,
2410,,,,,26.65,,
2411,,,,,23.57,,
2412,,,1.99,,,,
2413,,,,24.78,,,
2414,,,,,,2.48,
2415,,,,,,2.55,
2416,,,1.94,,,,
2417,,4.47,,,,,
2418,,,1.72,,,,
2419,,4.25,,,,,
2420,,,1.88,,,,
2421,,,1.76,,,,
2422,,,,,,,54.9
2423,,,,,,,63.95
2424,,,,,,,76.77
2425,,,2.3,,,,
2426,,,2.26,,,,
2427,,,,,,,54.05
2428,48.26,,,,,,
2429,,,2.34,,,,
2430,,,2.22,,,,
2431,,,,,,,42.73
2432,,,,29.48,,,
2433,33.52,,,,,,
2434,,3.81,,,,,
2435,,,1.95,,,,
2436,,,,,,2.01,
2437,,,,6.45,,,
2438,,,,,11.25,,
2439,,,,,12.51,,
2440,57.11,,,,,,
2441,,,,28.39,,,
2442,,,,,,4.88,
2443,,,,21.06,,,
2444,,,,22.31,,,
2445,,3.22,,,,,
2446,,,,34.65,,,
2447,,,,,55.57,,
2448,,,,,146.72,,
2449,46.17,,,,,,
2450,,,,,107.2,,
2451,,,,,,,13.83
2452,,,,,,,2.48
2453,,,,,,143.79,
2454,,,,137.38,,,
2455,,,3.17,,,,
2456,,,,,,54.04,
2457,,,,,,55.21,
2458,,,2.98,,,,
2459,,,,,,36.31,
2460,,,,,,22.63,
2461,,,,,,,85.24
2462,,,,,,,95.74
2463,,,,14.56,,,
2464,,,2.31,,,,
2465,,,2.42,,,,
2466,,,,13.86,,,
2467,,,,18.02,,,
2468,33.46,,,,,,
2469,,,,,,5.01,
2470,,4.32,,,,,
2471,,,,,,17.1,
2472,,,,103.86,,,
2473,,,,111.04,,,
2474,,,,,,,5.02
2475,,,,,,4.56,
2476,,,,,,5.32,
2477,,5.88,,,,,
2478,,,,,,4.61,
2479,,,,,30.77,,
2480,,,2.14,,,,
2481,,,,47.79,,,
2482,,13.57,,,,,
2483,,,,,,8.37,
2484,,,,28.09,,,
2485,,,,,23.39,,
2486,,,,,,5.39,
2487,,,,21.36,,,
2488,,,,,32.29,,
2489,,,,,,,79.51
2490,,,2.86,,,,
2491,55.15,,,,,,
2492,,5.58,,,,,
2493,,,,,,4.02,
2494,,4.32,,,,,
2495,,,,,,3.38,
2496,,7.81,,,,,
2497,,7.81,,,,,
2498,,,,,,3.8,
2499,,,,,52.3,,
2500,49.63,,,,,,
2501,,,,52.28,,,
2502,51.06,,,,,,
2503,,,,,42.11,,
2504,,,,,50.25,,
2505,,,,,,13.68,
2506,,7.37,,,,,
2507,,,,28.5,,,
2508,,,2.74,,,,
2509,,,2.86,,,,
2510,,,,,31.5,,
2511,,,,,32.02,,
2512,,,,,37.78,,
2513,,,,,,,35.98
2514,,,,,21.82,,
2515,,6.33,,,,,
2516,,,,,,2.82,
2517,59.65,,,,,,
2518,,,,11.08,,,
2519,,,,,8.57,,
2520,,,,,,2.78,
2521,24.25,,,,,,
2522,18.71,4.13,2.73,4.98,7.55,2.57,27.94
2523,,,2.64,,,,
2524,,3.98,,,,,
2525,,,2.64,,,,
2526,,,,,,5.84,
2527,,,2.89,,,,
2528,40.65,,,,,,
2529,,4.15,,,,,
2530,,,,,,,97.71
2531,,,,,,5.81,
2532,,,,28.55,,,
2533,42.89,,,,,,
2534,,,2.84,,,,
2535,42.68,,,,,,
2536,39.58,,,,,,
2537,,,,,,2.58,
2538,31.9,,,,,,
2539,,,,,,2.51,
2540,32.33,,,,,,
2541,,,,,7.43,,
2542,,,,,,,23.39
2543,,,2.56,,,,
2544,,,2.57,,,,
2545,,,,,27.89,,
2546,,,,,,6.98,
2547,67.42,,,,,,
2548,,6.52,,,,,
2549,,,,,,,36.76
2550,,,,21.12,,,
2551,,,,10.0,,,
2552,,,,,,2.74,
2553,27.79,,,,,,
2554,,,,,,,38.47
2555,,5.33,,,,,
2556,28.64,,,,,,
2557,33.17,,,,,,
2558,,4.84,,,,,
2559,,7.22,,,,,
2560,34.14,,,,,,
2561,,,,17.06,,,
2562,,7.58,,,,,
2563,,,,19.03,,,
2564,,,2.83,,,,
2565,,,,13.27,,,
2566,,,,,15.05,,
2567,,,,,,,28.46
2568,,,,,,,21.67
2569,,,2.8,,,,
2570,,,,7.49,,,
2571,,,,,,2.91,
2572,,,,,,,23.9
2573,,,,4.7,,,
2574,,,,,,2.22,
2575,26.22,4.18,2.91,17.74,23.73,5.99,1.2
2576,,,,,,,87.31
2577,,,,,,,96.39
2578,,,2.96,,,,
2579,,4.42,,,,,
2580,40.43,,,,,,
2581,,,,,,,23.11
2582,,,,10.17,,,
2583,,,,,9.93,,
2584,,,,,,1.93,
2585,,,,,6.9,,
2586,,,,,6.32,,
2587,,,,,,,22.29
2588,,,,4.16,,,
2589,,,,,,2.42,
2590,22.33,,,,,,
2591,,,,,,,106.46
2592,,,,14.02,,,
2593,,5.15,,,,,
2594,,,,10.25,,,
2595,,,,,12.65,,
2596,,,,,,2.15,
2597,,,3.22,,,,
2598,,,,,,,52.25
2599,,,,,27.92,,
2600,49.62,,,,,,
2601,,,,,,,46.57
2602,,,,,,,46.4
2603,,,2.76,,,,
2604,31.19,,,,,,
2605,31.99,,,,,,
2606,,3.89,,,,,
2607,,,,,9.7,,
2608,22.09,,,,,,
2609,,,,,,,54.81
2610,,3.56,,,,,
2611,,,,,,7.96,
2612,,,3.24,,,,
2613,71.54,8.06,3.24,37.12,46.58,9.46,71.91
2614,,,,,,,74.6
2615,,7.83,,,,,
2616,,,3.63,,,,
2617,,,,,41.38,,
2618,52.37,,,,,,
2619,,4.8,,,,,
2620,,,,23.17,,,
2621,45.83,,,,,,
2622,,,,,,,69.37
2623,,4.5,,,,,
2624,,,,6.18,,,
2625,,4.88,,,,,
2626,39.02,,,,,,
2627,,5.47,,,,,
2628,53.29,,,,,,
2629,,,,,,,72.39
2630,62.87,,,,,,
2631,56.6,,,,,,
2632,51.61,,,,,,
2633,,5.1,,,,,
2634,,,,,,,55.25
2635,,,3.62,,,,
2636,,,3.42,,,,
2637,,,,46.39,,,
2638,,,,,40.58,,
2639,,,3.39,,,,
2640,,,3.39,,,,
2641,,,3.38,,,,
2642,,,,,,7.62,
2643,,,,,,2.6,
2644,,,3.26,,,,
2645,,4.91,,,,,
2646,35.7,,,,,,
2647,,4.59,,,,,
2648,,8.58,,,,,
2649,,,,30.1,,,
2650,,,,,32.27,,
2651,,,,,,6.15,
2652,,,,29.08,,,
2653,73.88,,,,,,
2654,,,3.48,,,,
2655,,8.77,,,,,
2656,92.68,8.89,3.29,44.87,51.9,7.03,56.44
2657,,,,,,,47.33
2658,,,,,,,17.04
2659,,,,55.59,,,
2660,,,,,36.71,,
2661,52.04,,,,,,
2662,,,,,,,44.28
2663,43.45,,,,,,
2664,,,2.84,,,,
2665,,,,,8.21,,
2666,,,2.76,,,,
2667,,,,15.09,,,
2668,,,,,,,16.96
2669,,,3.09,,,,
2670,,,,,,9.73,
2671,,,3.17,,,,
2672,,,,35.58,,,
2673,,23.65,,,,,
2674,,,,,,4.82,
2675,,,,,43.31,,
2676,,15.44,,,,,
2677,,,,,41.91,,
2678,,,,,,,58.58
2679,,,,,88.01,,
2680,106.73,,,,,,
2681,90.72,,,,,,
2682,,,,150.17,,,
2683,,24.63,,,,,
2684,117.67,,,,,,
2685,,,,,,,34.02
2686,,33.28,,,,,
2687,105.72,,,,,,
2688,,,,,,,43.35
2689,,,,,108.26,,
2690,,,,,133.93,,
2691,,,,,37.55,,
2692,,,,,,,112.93
2693,,,,,,5.07,
2694,,,,,,4.7,
2695,,11.18,,,,,
2696,,9.17,,,,,
2697,,,3.47,,,,
2698,,,,,30.62,,
2699,52.31,,,,,,
2700,,,,,45.38,,
2701,,5.59,,,,,
2702,,,,,119.11,,
2703,,4.76,,,,,
2704,,,,28.17,,,
2705,,,,,,,52.5
2706,,,2.91,,,,
2707,,,2.85,,,,
2708,,,,,10.38,,
2709,,,2.91,,,,
2710,,,2.83,,,,
2711,,,,4.86,,,
2712,,,,,10.78,,
2713,,,,,,4.09,
2714,,,,30.73,,,
2715,,,,26.6,,,
2716,,,,22.61,,,
2717,,,,,,6.38,
2718,,,,,21.91,,
2719,,,,24.27,,,
2720,,7.08,,,,,
2721,,,,15.92,,,
2722,,,,,,,85.49
2723,,,3.38,,,,
2724,,,,,,4.45,
2725,,4.74,,,,,
2726,,,,,99.97,,
2727,54.37,,,,,,
2728,,4.8,,,,,
2729,46.1,,,,,,
2730,,,3.04,,,,
2731,,4.91,,,,,
2732,45.01,,,,,,
2733,,,,,8.57,,
2734,,,,,,2.29,
2735,,,,5.0,,,
2736,,,,,,2.01,
2737,,,,,,,61.61
2738,26.12,,,,,,
2739,30.71,,,,,,
2740,,,,,,,88.65
2741,,4.53,,,,,
2742,,4.9,,,,,
2743,,,,8.77,,,
2744,26.8,,,,,,
2745,,3.74,,,,,
2746,,,,,,2.59,
2747,,,,12.02,,,
2748,,,,12.32,,,
2749,,,,14.14,,,
2750,,,,,14.94,,
2751,,,,,,,51.33
2752,,,,,,3.4,
2753,,,,,10.6,,
2754,,,,,,2.37,
2755,,,,,,,51.82
2756,,,,4.66,,,
2757,,3.73,,,,,
2758,26.9,,,,,,
2759,,,,,,2.59,
2760,16.49,,,,,,
2761,,,3.19,,,,
2762,,,3.13,,,,
2763,,,,,,,64.42
2764,,,,23.25,,,
2765,,,,,25.69,,
2766,,,,,25.76,,
2767,,,,19.84,,,
2768,,,,,,5.95,
2769,,5.74,,,,,
2770,,,,23.29,,,
2771,,,,,,,66.44
2772,,4.65,,,,,
2773,,,,81.06,,,
2774,,,,,85.63,,
2775,,,,,22.01,,
2776,,,,,,2.51,
2777,,,3.38,,,,
2778,,,,,8.74,,
2779,,,,,,,66.02
2780,,5.16,,,,,
2781,,,,,7.18,,
2782,,,3.48,,,,
2783,28.66,,,,,,
2784,,,,30.48,,,
2785,,,,46.0,,,
2786,,,,30.06,,,
2787,37.93,,,,,,
2788,43.57,,,,,,
2789,,,,,,,86.29
2790,42.29,,,,,,
2791,,,,,,,83.34
2792,,,3.64,,,,
2793,,,3.72,,,,
2794,,4.18,,,,,
2795,,,3.81,,,,
2796,,,,,52.26,,
2797,,,,105.83,,,
2798,,,,,,5.53,
2799,,,,,,3.32,
2800,,,3.61,,,,
2801,,,,,16.42,,
2802,,,,,,2.04,
2803,,,,,10.44,,
2804,,4.38,,,,,
2805,,,,,,,70.55
2806,24.88,,,,,,
2807,,,,,,2.61,
2808,,,,,,6.36,
2809,,,3.71,,,,
2810,,4.13,,,,,
2811,,,,,,8.45,
2812,,10.86,,,,,
2813,,,,,,5.75,
2814,,8.82,,,,,
2815,,,3.96,,,,
2816,,,,,,6.09,
2817,,,,,,7.22,
2818,,9.36,,,,,
2819,,,,48.18,,,
2820,74.83,,,,,,
2821,,,,,156.41,,
2822,,,,,,26.82,
2823,,,,24.47,,,
2824,,,,,16.08,,
2825,,,,,,,65.54
2826,,,,,,2.59,
2827,46.23,,,,,,
2828,,,3.48,,,,
2829,,,,6.32,,,
2830,,,,,,2.88,
2831,,,,57.4,,,
2832,44.46,,,,,,
2833,56.1,,,,,,
2834,,,,,,35.78,
2835,,15.92,,,,,
2836,,,,,57.99,,
2837,,,,,,,79.22
2838,,,,,36.1,,
2839,61.85,,,,,,
2840,,7.96,,,,,
2841,,,,,31.9,,
2842,,,3.68,,,,
2843,,,,,,6.26,
2844,,,,,,,72.51
2845,,,,,,3.18,
2846,,,,,,3.62,
2847,,,,,,,71.25
2848,,,,,21.35,,
2849,,,,9.92,,,
2850,,,,,,,40.2
2851,,,,,,,37.86
2852,,,,,,2.78,
2853,,,,,,2.8,
2854,,,,,,2.9,
2855,,,,8.73,,,
2856,,,,,,8.31,
2857,,,,,,,72.44
2858,,,,18.34,,,
2859,40.69,,,,,,
2860,,,3.52,,,,
2861,,5.8,,,,,
2862,55.86,,,,,,
2863,,,,,,,62.14
2864,50.39,,,,,,
2865,,5.16,,,,,
2866,,,,,,3.64,
2867,,,3.62,,,,
2868,32.05,,,,,,
2869,,,,,15.27,,
2870,,,3.34,,,,
2871,,5.03,,,,,
2872,,,,,7.82,,
2873,,,,5.12,,,
2874,16.78,,,,,,
2875,13.47,4.85,3.46,5.23,7.38,2.14,68.68
2876,,,,7.7,,,
2877,,,,,,,61.95
2878,,,,,,8.16,
2879,37.87,,,,,,
2880,,,,,,,70.42
2881,,,3.9,,,,
2882,,,,,32.72,,
2883,,,3.62,,,,
2884,54.82,,,,,,
2885,,,,21.05,,,
2886,,,,,25.06,,
2887,,,,,31.53,,
2888,,6.33,,,,,
2889,24.81,,,,,,
2890,,,,,,23.62,
2891,,4.67,,,,,
2892,33.92,,,,,,
2893,,,,,,2.66,
2894,,,,,,2.91,
2895,,,,,,2.65,
2896,,,,,,,55.71
2897,,,,,,,55.68
2898,,,,,7.33,,
2899,,,3.3,,,,
2900,,,,9.21,,,
2901,26.57,,,,,,
2902,,,,,,,91.21
2903,22.57,,,,,,
2904,,,,,,3.23,
2905,,,,,,3.73,
2906,,5.46,,,,,
2907,13.61,,,,,,
2908,,,3.65,,,,
2909,,,3.52,,,,
2910,,,,24.4,,,
2911,,,,,,,43.42
2912,,,,,16.57,,
2913,,,3.35,,,,
2914,,,,,,2.72,
2915,,,,,9.29,,
2916,,,,,,,36.75
2917,,,3.29,,,,
2918,,,3.15,,,,
2919,,,,,,6.82,
2920,,,,,44.29,,
2921,,,,,,9.33,
2922,,4.28,,,,,
2923,,,3.46,,,,
2924,,,9.91,,,,
2925,,,,,,,92.62
2926,,,,,,,95.86
2927,,,10.28,,,,
2928,,,,63.12,,,
2929,,,,,,,57.38
2930,,,,,,8.71,
2931,,,11.18,,,,
2932,,,,,,,42.27
2933,,,,35.89,,,
2934,,,,,,,45.2
2935,,,3.51,,,,
2936,59.79,,,,,,
2937,52.95,,,,,,
2938,,,,,,,68.49
2939,,,,,,,58.55
2940,,,,,,10.41,
2941,,,,,,15.0,
2942,,12.09,,,,,
2943,,17.07,,,,,
2944,,18.93,,,,,
2945,101.56,,,,,,
2946,,9.93,,,,,
2947,,8.76,,,,,
2948,,,,,33.66,,
2949,58.36,6.97,4.29,21.87,26.75,4.88,56.68
2950,62.08,,,,,,
2951,,,,,,5.33,
2952,,,,15.41,,,
2953,,,,,16.0,,
2954,,,,12.88,,,
2955,,,,,,,42.49
2956,,,3.19,,,,
2957,,,,,11.75,,
2958,,,,,,4.42,
2959,,,,5.9,,,
2960,,,2.99,,,,
2961,,,,14.24,,,
2962,,6.64,,,,,
2963,,,3.0,,,,
2964,,,,,,7.54,
2965,,,,,,8.31,
2966,,17.6,,,,,
2967,,,3.19,,,,
2968,,,,,28.16,,
2969,62.14,,,,,,
2970,,,,18.12,,,
2971,,,3.34,,,,
2972,,,3.55,,,,
2973,,,,,,,50.03
2974,,,3.24,,,,
2975,,,,,,4.91,
2976,,,,9.77,,,
2977,38.27,,,,,,
2978,,,,,,,40.21
2979,,,,,,4.3,
2980,,,,8.53,,,
2981,,,,,9.83,,
2982,,,2.86,,,,
2983,,7.43,,,,,
2984,15.52,,,,,,
2985,,8.06,,,,,
2986,12.51,8.87,2.87,8.36,13.02,4.66,25.15
2987,,,2.86,,,,
2988,,,,,,,29.13
2989,,,,,26.02,,
2990,,,,,40.61,,
2991,,6.93,,,,,
2992,,,,,,14.2,
2993,,,,,,,65.03
2994,,,,,,6.69,
2995,,,,,,,32.63
2996,,,,37.67,,,
2997,,9.82,,,,,
2998,,,2.93,,,,
2999,,,2.82,,,,
3000,,,,,31.58,,
3001,25.91,,,,,,
3002,,11.78,,,,,
3003,,,,,34.39,,
3004,,,,,36.55,,
3005,,,,,,,7.63
3006,31.35,,,,,,
3007,,,,40.77,,,
3008,,,,,,,50.92
3009,,,,,,14.34,
3010,,,,34.1,,,
3011,,,,,,17.71,
3012,,,,,,12.63,
3013,,,,,,9.44,
3014,,,2.73,,,,
3015,,,,,,6.52,
3016,,,,,,,21.37
3017,,,,,,41.09,
3018,51.75,,,,,,
3019,,,3.31,,,,
3020,,,,,,89.28,
3021,58.38,,,,,,
3022,,,,,,,7.85
3023,,,,,129.26,,
3024,53.32,,,,,,
3025,,,,,,,25.64
3026,,,,,,,22.32
3027,28.23,,,,,,
3028,,,,,,11.71,
3029,,,,,37.35,,
3030,25.88,,,,,,
3031,,,,25.37,,,
3032,,,,,,,164.11
3033,,,3.07,,,,
3034,57.44,,,,,,
3035,,,,,,,84.85
3036,,,,47.3,,,
3037,,,,,,,27.81
3038,,,3.53,,,,
3039,,,,,,6.75,
3040,,,2.97,,,,
3041,,,,,,8.06,
3042,,,,,,,35.19
3043,,,,,,,89.97
3044,46.87,14.09,2.72,15.4,19.56,4.16,56.12
3045,42.39,,,,,,
3046,,10.79,,,,,
3047,32.58,,,,,,
3048,,,,6.45,,,
3049,,,,,9.48,,
3050,23.24,,,,,,
3051,18.18,,,,,,
3052,,,,,,4.54,
3053,,,,22.68,,,
3054,,,,26.73,,,
3055,23.74,,,,,,
3056,31.6,,,,,,
3057,,8.86,,,,,
3058,,,,15.11,,,
3059,32.76,,,,,,
3060,30.83,,,,,,
3061,,,3.11,,,,
3062,39.33,,,,,,
3063,,,,,,,39.14
3064,,,2.83,,,,
3065,,,,,,,26.05
3066,,7.16,,,,,
3067,,,2.83,,,,
3068,,6.86,,,,,
3069,,,,,14.03,,
3070,,,2.79,,,,
3071,,,,,,3.43,
3072,13.99,,,,,,
3073,11.78,,,,,,
3074,,,,,,,60.31
3075,,,,8.15,,,
3076,,6.33,,,,,
3077,11.18,,,,,,
3078,17.8,,,,,,
3079,,,3.11,,,,
3080,,,,22.33,,,
3081,34.93,,,,,,
3082,,,,15.14,,,
3083,,,,,28.17,,
3084,,,,,,8.8,
3085,,,,,,7.51,
3086,,7.51,,,,,
3087,,7.97,,,,,
3088,,,,,,,19.79
3089,,,3.02,,,,
3090,,,3.19,,,,
3091,,,,,,,35.58
3092,,6.29,,,,,
3093,,,,,,4.03,
3094,,,,,13.15,,
3095,,,,,,,53.78
3096,13.44,,,,,,
3097,,,,,9.69,,
3098,,,,,,,49.38
3099,,6.72,,,,,
3100,,,2.95,,,,
3101,,7.1,,,,,
3102,,,2.97,,,,
3103,33.14,,,,,,
3104,,,,,,7.4,
3105,,,,,,7.28,
3106,,,2.95,,,,
3107,,,,,27.79,,
3108,,,,,,,91.91
3109,,,,,,,80.96
3110,,,,,,5.66,
3111,56.13,,,,,,
3112,,,,22.29,,,
3113,,6.09,,,,,
3114,,,,22.67,,,
3115,,,,,,,38.88
3116,,,3.31,,,,
3117,,,,,,,52.38
3118,,,4.19,,,,
3119,,5.03,,,,,
3120,,,,,,,61.7
3121,,,,22.11,,,
3122,,5.03,,,,,
3123,,,3.41,,,,
3124,38.32,,,,,,
3125,,,,,39.97,,
3126,,,,,51.26,,
3127,,,,56.94,,,
3128,,,3.77,,,,
3129,,,3.84,,,,
3130,,,,,35.85,,
3131,21.55,,,,,,
3132,,,,,,,60.52
3133,,,,9.42,,,
3134,,6.4,,,,,
3135,,,,,,4.75,
3136,,,3.27,,,,
3137,13.58,,,,,,
3138,,,,,,,65.26
3139,,,,,,,60.11
3140,,,,,73.69,,
3141,,5.91,,,,,
3142,,,,28.04,,,
3143,24.26,,,,,,
3144,,,3.64,,,,
3145,,6.18,,,,,
3146,,,,,,10.39,
3147,,,,,,10.37,
3148,,,,,,11.24,
3149,30.78,,,,,,
3150,,,,40.68,,,
3151,,,,82.77,,,
3152,,,,114.89,,,
3153,,,,125.0,,,
3154,,,3.9,,,,
3155,,,5.22,,,,
3156,,,,,,,1.14
3157,,,,152.85,,,
3158,,,,,245.33,,
3159,,,4.86,,,,
3160,85.71,16.29,4.69,130.2,241.36,111.16,0.25
3161,,,4.41,,,,
3162,,,,112.44,,,
3163,119.79,,,,,,
3164,,,,,262.23,,
3165,,,,,309.6,,
3166,109.04,,,,,,
3167,,,,,,44.49,
3168,89.03,,,,,,
3169,,,4.4,,,,
3170,,,,,,15.04,
3171,,,,,,13.66,
3172,56.33,,,,,,
3173,65.86,,,,,,
3174,,9.11,,,,,
3175,,,,,,,32.22
3176,,7.04,,,,,
3177,87.08,,,,,,
3178,97.55,,,,,,
3179,,,5.83,,,,
3180,,,,,,,1.57
3181,,,6.68,,,,
3182,,,,196.78,,,
3183,,29.97,,,,,
3184,102.12,,,,,,
3185,,,4.96,,,,
3186,,,,,246.89,,
3187,,,,,,,0.53
3188,,,,,290.71,,
3189,,,,,,173.72,
3190,,,,,,116.78,
3191,,,,,,61.04,
3192,,,,81.09,,,
3193,,,4.51,,,,
3194,,,,,,9.45,
3195,,,,,,10.11,
3196,,,,39.11,,,
3197,,,,,37.19,,
3198,,,,,,,92.7
3199,,9.34,,,,,
3200,,,,,,46.17,
3201,,,,,267.93,,
3202,57.78,,,,,,
3203,,,,,237.24,,
3204,,,,,,,1.28
3205,,24.22,,,,,
3206,,,,,,126.34,
3207,,,,,,112.71,
3208,138.38,,,,,,
3209,,,,,311.33,,
3210,,,,,,135.37,
3211,,,,,,173.9,
3212,138.2,,,,,,
3213,,,,,315.88,,
3214,,,,,,,20.51
3215,,,,,149.5,,
3216,100.08,,,,,,
3217,,,,,38.46,,
3218,,17.64,,,,,
3219,,,,,,,97.18
3220,,,,,,9.55,
3221,,9.36,,,,,
3222,,,,95.73,,,
3223,,7.14,,,,,
3224,53.68,,,,,,
3225,,,,,263.26,,
3226,,,,,171.25,,
3227,,,,183.5,,,
3228,,,6.26,,,,
3229,,,,,,88.02,
3230,,,,130.93,,,
3231,,,7.1,,,,
3232,,,,,,130.91,
3233,107.06,,,,,,
3234,,,,,235.35,,
