,S9_PM10,S9_SO2,S9_NO2,S9_NOX,S9_NO
2590,,,,21.41,
2591,,2.75,,,
2592,,2.68,,,
2593,,,11.64,,
2594,18.93,,,,
2595,19.58,,,,
2596,,2.66,,,
2597,,,,,6.31
2598,20.35,,,,
2599,28.85,,,,
2600,,3.26,,,
2601,,,,58.75,
2602,,,,40.95,
2603,29.57,,,,
2604,,,19.06,,
2605,26.37,,,,
2606,23.52,,,,
2607,,,,19.51,
2608,24.6,,,,
2609,,,,37.2,
2610,,,34.24,,
2611,29.44,,,,
2612,,3.35,,,
2613,,3.52,,,
2614,,3.4,,,
2615,41.75,,,,
2616,,,,,6.0
2617,,,,,4.74
2618,30.86,,,,
2619,,,58.85,,
2620,,,85.57,,
2621,,,,,4.59
2622,33.87,,,,
2623,,,23.05,,
2624,,,,,4.63
2625,,,15.01,,
2626,,,,43.37,
2627,,,,,8.31
2628,,,,,6.25
2629,,4.1,,,
2630,,3.88,,,
2631,31.18,,,,
2632,,,21.57,,
2633,36.22,,,,
2634,31.21,,,,
2635,,,45.88,,
2636,26.88,,,,
2637,24.86,,,,
2638,,4.18,,,
2639,,,,56.7,
2640,,4.34,,,
2641,,,,69.51,
2642,29.45,,,,
2643,,4.85,,,
2644,,,,31.94,
2645,18.92,,,,
2646,,,,,5.89
2647,22.91,,,,
2648,,4.11,,,
2649,,,,,5.97
2650,,,,,5.56
2651,,,17.34,,
2652,,,,21.86,
2653,31.06,,,,
2654,,,,,5.46
2655,30.51,,,,
2656,,4.0,,,
2657,26.26,,,,
2658,,,79.8,,
2659,,,131.92,,
2660,26.91,,,,
2661,,,,81.56,
2662,31.33,,,,
2663,,,,42.44,
2664,,4.4,,,
2665,,4.23,,,
2666,,,,,6.21
2667,,,,21.17,
2668,,3.76,,,
2669,,,,59.41,
2670,,,,,8.83
2671,,,,,5.97
2672,33.66,,,,
2673,,,20.39,,
2674,,,,23.16,
2675,,,,24.74,
2676,,3.99,,,
2677,31.13,,,,
2678,41.06,,,,
2679,,,,,9.93
2680,43.26,,,,
2681,,,,,80.42
2682,,,215.75,,
2683,,,,,80.88
2684,47.89,4.39,99.11,143.25,44.14
2685,,,83.44,,
2686,,,,,12.26
2687,,3.55,,,
2688,,3.66,,,
2689,32.75,,,,
2690,,,,72.85,
2691,,,,,11.45
2692,,,,,8.5
2693,,3.18,,,
2694,,,,,5.74
2695,,,,23.78,
2696,35.63,,,,
2697,,,19.21,,
2698,29.69,,,,
2699,,,26.37,,
2700,,,48.35,,
2701,23.19,,,,
2702,,3.39,,,
2703,,3.28,,,
2704,28.37,,,,
2705,32.64,,,,
2706,,,44.79,,
2707,,,34.85,,
2708,,,29.99,,
2709,,,,,5.71
2710,,,,,5.42
2711,,,15.22,,
2712,28.8,,,,
2713,,3.62,,,
2714,,,37.9,,
2715,,,,37.48,
2716,,,,,6.73
2717,,,,,5.81
2718,,,16.99,,
2719,,3.6,,,
2720,8.27,,,,
2721,,,,25.61,
2722,,,21.49,,
2723,,3.82,,,
2724,,3.95,,,
2725,,,70.64,,
2726,19.55,,,,
2727,,,125.83,,
2728,21.23,,,,
2729,,,,,7.11
2730,,3.65,,,
2731,,,36.59,,
2732,,,,,5.61
2733,,,,25.27,
2734,33.15,,,,
2735,,,,,5.2
2736,,,,25.81,
2737,33.04,,,,
2738,,,,,6.71
2739,,,20.77,,
2740,,,,,5.98
2741,,,,18.94,
2742,,,,16.58,
2743,,,13.69,,
2744,,,14.09,,
2745,,,,,4.6
2746,,,,25.31,
2747,,,29.5,,
2748,,2.85,,,
2749,,,,,5.01
2750,,3.11,,,
2751,,,31.05,,
2752,,2.96,,,
2753,,3.51,,,
2754,,3.4,,,
2755,,3.33,,,
2756,,3.34,,,
2757,,,,17.73,
2758,,3.07,,,
2759,,,,26.85,
2760,,,,46.58,
2761,,3.27,,,
2762,,,,47.07,
2763,,3.33,,,
2764,,,,,6.68
2765,,3.19,,,
2766,,,,,5.57
2767,,,13.85,,
2768,,,,20.48,
2769,,,15.35,,
2770,,,,27.32,
2771,,3.59,,,
2772,,,,,6.17
2773,,,,,6.56
2774,17.82,,,,
2775,,,,,6.85
2776,,,28.37,,
2777,,,22.19,,
2778,,4.25,,,
2779,18.52,,,,
2780,,,,,4.41
2781,,,,,4.23
2782,,,12.33,,
2783,,4.12,,,
2784,,,,36.44,
2785,,,31.09,,
2786,,,,30.66,
2787,,,,,6.14
2788,,,17.2,,
2789,,,17.86,,
2790,,3.62,,,
2791,,,,21.59,
2792,,3.92,,,
2793,,,16.12,,
2794,,3.47,,,
2795,,3.52,,,
2796,,3.66,,,
2797,,,,,11.0
2798,,,113.24,,
2799,,,,142.34,
2800,,,45.86,,
2801,,,,47.8,
2802,,4.05,,,
2803,,,,28.75,
2804,,3.87,,,
2805,,,14.96,,
2806,,,18.19,,
2807,,,,,4.65
2808,25.02,,,,
2809,,,,,9.82
2810,35.05,,,,
2811,33.29,,,,
2812,28.51,,,,
2813,,,,,5.48
2814,,4.03,,,
2815,,,13.78,,
2816,,,,18.98,
2817,,,14.95,,
2818,,,18.94,,
2819,,3.98,,,
2820,,,102.77,,
2821,20.2,,,,
2822,23.33,,,,
2823,,,,98.82,
2824,,,,44.21,
2825,30.54,,,,
2826,,3.42,,,
2827,,,,,4.88
2828,,,18.5,,
2829,23.29,,,,
2830,,3.11,,,
2831,,3.1,,,
2832,,,70.65,,
2833,,,,56.53,
2834,,,49.0,,
2835,,,,,8.78
2836,,3.42,,,
2837,38.53,,,,
2838,,,,29.14,
2839,,,18.84,,
2840,,3.88,,,
2841,,4.0,,,
2842,,,,21.09,
2843,,,,34.77,
2844,,,63.56,,
2845,,4.45,,,
2846,,5.36,,,
2847,,5.88,,,
2848,,,,53.25,
2849,,,28.7,,
2850,29.11,,,,
2851,,3.94,,,
2852,27.66,,,,
2853,,,12.57,,
2854,,3.59,,,
2855,,,,,4.21
2856,33.48,,,,
2857,,,,,6.08
2858,,,,,5.56
2859,33.04,,,,
2860,,,,,5.19
2861,,,15.83,,
2862,,4.13,,,
2863,,,,,5.16
2864,,,,,5.46
2865,,,,,5.9
2866,,,,53.33,
2867,,4.21,,,
2868,,4.11,,,
2869,,3.9,,,
2870,20.98,,,,
2871,,,24.74,,
2872,,,20.83,,
2873,,,,,4.13
2874,13.49,3.66,15.19,18.25,3.06
2875,14.71,,,,
2876,,3.7,,,
2877,,,27.1,,
2878,,,,,7.69
2879,,3.83,,,
2880,,,13.54,,
2881,,,13.21,,
2882,,,,,5.35
2883,,,,19.56,
2884,,4.06,,,
2885,,,,,5.03
2886,,,20.6,,
2887,,,,32.2,
2888,,,,45.64,
2889,,,79.74,,
2890,,4.52,,,
2891,,,,,49.36
2892,,,,,10.34
2893,23.22,,,,
2894,23.15,,,,
2895,,,,29.81,
2896,,,,24.09,
2897,,,,19.7,
2898,,,,20.74,
2899,18.74,,,,
2900,,3.65,,,
2901,,4.38,,,
2902,,,10.19,,
2903,,,,16.12,
2904,,,,,4.62
2905,,,,,5.07
2906,,,,33.28,
2907,,,,,5.45
2908,,,,,8.05
2909,,,96.3,,
2910,,,,,44.01
2911,,4.18,,,
2912,,,,56.61,
2913,,,,,5.55
2914,,3.7,,,
2915,29.44,,,,
2916,,,,,4.71
2917,27.17,,,,
2918,,,16.11,,
2919,,3.62,,,
2920,36.15,,,,
2921,,,14.6,,
2922,,4.31,,,
2923,,,,17.44,
2924,,,,38.77,
2925,,2.83,,,
2926,44.21,,,,
2927,,2.95,,,
2928,37.99,,,,
2929,,3.45,,,
2930,36.26,,,,
2931,,,,,37.33
2932,29.58,,,,
2933,45.52,,,,
2934,,,80.07,,
2935,,5.13,,,
2936,,,,55.68,
2937,,,,59.7,
2938,,,,66.47,
2939,,,,,14.39
2940,29.54,,,,
2941,33.65,,,,
2942,41.48,,,,
2943,,,,78.67,
2944,,4.36,,,
2945,,4.29,,,
2946,44.21,,,,
2947,,,,42.93,
2948,,,39.4,,
2949,,,,68.53,
2950,,,,,7.91
2951,,5.19,,,
2952,,5.2,,,
2953,,5.11,,,
2954,,,,53.74,
2955,,5.39,,,
2956,,,32.33,,
2957,30.89,,,,
2958,,,11.72,,
2959,,4.75,,,
2960,,4.66,,,
2961,31.27,,,,
2962,,,,,10.21
2963,33.05,,,,
2964,,4.54,,,
2965,,4.52,,,
2966,40.7,,,,
2967,,,,,8.27
2968,38.9,,,,
2969,,,,,8.16
2970,,,,,7.71
2971,40.6,,,,
2972,,,,42.41,
2973,,,,,6.95
2974,,,47.19,,
2975,,,,,6.74
2976,,,,,7.19
2977,,,25.52,,
2978,,5.62,,,
2979,,,,,7.04
2980,,,,,7.88
2981,,,,,7.63
2982,,5.35,,,
2983,,5.34,,,
2984,,,,,8.37
2985,,,20.54,,
2986,34.52,,,,
2987,,,,38.47,
2988,,,32.06,,
2989,,,,,19.11
2990,,,,,34.44
2991,,,,,32.17
2992,25.75,,,,
2993,,,148.94,,
2994,20.98,,,,
2995,,,77.93,,
2996,,,104.6,,
2997,,,,157.81,
2998,,,,110.6,
2999,26.77,,,,
3000,,,53.02,,
3001,19.6,,,,
3002,,,,39.97,
3003,,5.08,,,
3004,,5.05,,,
3005,20.89,,,,
3006,,5.43,,,
3007,,,,,25.13
3008,,,,,17.5
3009,,,,94.31,
3010,,,,,18.15
3011,,,36.87,,
3012,18.37,,,,
3013,16.25,,,,
3014,16.78,,,,
3015,,,153.82,,
3016,,,161.96,,
3017,23.88,,,,
3018,,,,158.85,
3019,,,137.73,,
3020,35.34,,,,
3021,,,,,33.89
3022,,,,221.59,
3023,49.93,5.38,122.61,197.65,75.04
3024,,,,,39.97
3025,,,67.36,,
3026,,,,62.84,
3027,29.74,,,,
3028,,,,,30.45
3029,,,,,27.06
3030,,,,71.79,
3031,23.65,,,,
3032,26.71,,,,
3033,,,,,15.83
3034,,,,47.02,
3035,,,,,10.03
3036,,,,40.73,
3037,,6.13,,,
3038,31.93,,,,
3039,,,58.26,,
3040,,,,130.23,
3041,,5.58,,,
3042,,,,236.95,
3043,32.51,,,,
3044,,,87.64,,
3045,,5.62,,,
3046,,,,,10.18
3047,,,,,9.84
3048,,,31.89,,
3049,26.48,,,,
3050,,,22.87,,
3051,,,,,9.82
3052,,,42.42,,
3053,,,,,20.82
3054,,4.4,,,
3055,,,,,22.41
3056,,,,,17.54
3057,,4.3,,,
3058,,,,,13.26
3059,,4.58,,,
3060,24.89,,,,
3061,,,,36.63,
3062,,4.51,,,
3063,,4.38,,,
3064,,,,,11.61
3065,,5.07,,,
3066,,,,,12.61
3067,,,,61.72,
3068,,,42.67,,
3069,,5.01,,,
3070,,,33.19,,
3071,23.8,,,,
3072,20.78,,,,
3073,,,,21.42,
3074,,,16.08,,
3075,,,23.05,,
3076,,5.09,,,
3077,,,,,17.65
3078,24.14,,,,
3079,,,,,12.86
3080,,,,,10.19
3081,,,26.13,,
3082,26.64,,,,
3083,,,,34.67,
3084,,3.67,,,
3085,21.43,,,,
3086,16.25,,,,
3087,,,,178.56,
3088,,,,,101.94
3089,,,,,120.02
3090,23.79,,,,
3091,,,,,89.56
3092,,,,,35.52
3093,,4.2,,,
3094,,,,,4.59
3095,,5.04,,,
3096,,,,,7.23
3097,21.43,,,,
3098,,,,41.04,
3099,,,,,13.52
3100,,5.22,,,
3101,,,56.56,,
3102,26.2,,,,
3103,,,32.6,,
3104,,,,,11.03
3105,,,22.86,,
3106,,5.65,,,
3107,,5.59,,,
3108,,,41.81,,
3109,,5.53,,,
3110,,,56.53,,
3111,,,,,18.42
3112,,,,,24.59
3113,,,90.52,,
3114,22.08,,,,
3115,,,66.15,,
3116,,,,64.21,
3117,,4.94,,,
3118,,,,78.77,
3119,,,28.75,,
3120,,,24.24,,
3121,,,23.5,,
3122,15.38,,,,
3123,19.25,5.16,26.68,38.45,11.77
3124,,,,,12.12
3125,,,,,12.87
3126,,5.23,,,
3127,,5.1,,,
3128,11.76,,,,
3129,,,,,17.49
3130,,5.37,,,
3131,18.59,,,,
3132,,5.26,,,
3133,,5.13,,,
3134,,,48.27,,
3135,22.27,,,,
3136,,,,,4.24
3137,,,13.4,,
3138,12.56,,,,
3139,,,,,5.21
3140,8.25,,,,
3141,9.17,,,,
3142,13.23,4.78,57.14,76.89,19.75
3143,,4.99,,,
3144,,,33.42,,
3145,,,,,10.2
3146,,4.92,,,
3147,,,,39.89,
3148,,,,53.06,
3149,,,,,7.63
3150,,,,,8.49
3151,,,144.03,,
3152,,,,301.92,
3153,,,,332.64,
3154,,,221.2,,
3155,23.63,,,,
3156,,,224.45,,
3157,,,,469.24,
3158,43.77,,,,
3159,,,,,118.84
3160,,,,255.07,
3161,,,,,87.94
3162,,3.92,,,
3163,,,,,51.94
3164,23.49,,,,
3165,,,,266.97,
3166,,,160.58,,
3167,,3.78,,,
3168,34.16,,,,
3169,,,,,26.91
3170,,4.18,,,
3171,,,75.98,,
3172,23.14,,,,
3173,,,,80.79,
3174,,3.82,,,
3175,,,180.5,,
3176,,,,630.1,
3177,,,368.22,,
3178,,,,714.72,
3179,,4.95,,,
3180,,,,,266.42
3181,,4.72,,,
3182,42.35,,,,
3183,42.91,,,,
3184,,4.64,,,
3185,42.68,,,,
3186,,4.95,,,
3187,,,,241.5,
3188,,5.45,,,
3189,33.63,,,,
3190,,,,333.12,
3191,,4.8,,,
3192,,,,226.62,
3193,43.27,,,,
3194,,,,114.29,
3195,,,,,15.74
3196,,5.27,,,
3197,,,,,12.78
3198,,,59.81,,
3199,,,,104.99,
3200,,,288.79,,
3201,,5.81,,,
3202,,5.99,,,
3203,,,,,500.26
3204,,,,563.17,
3205,,5.53,,,
3206,52.49,,,,
3207,,,222.65,,
3208,,,,384.91,
3209,,,210.07,,
3210,,,178.43,,
3211,,,,270.99,
3212,,,,311.51,
3213,,,,293.81,
3214,46.88,5.11,147.81,209.27,61.46
3215,,,,,59.19
3216,,,,190.18,
3217,,,,,12.25
3218,,,45.97,,
3219,,,27.96,,
3220,,,32.22,,
3221,,,42.52,,
3222,20.56,,,,
3223,,,,351.83,
3224,,,,661.08,
3225,,,,782.29,
3226,41.35,,,,
3227,,6.47,,,
3228,54.68,,,,
3229,,,,,475.89
3230,53.73,,,,
3231,,,229.18,,
3232,,,,423.41,
3233,,,,,232.65
3234,,,,434.91,
3235,,,178.87,,
3236,,,,346.43,
3237,42.12,,,,
3238,,,,322.18,
3239,44.88,,,,
3240,,4.69,,,
3241,,5.22,,,
3242,,,,,13.86
3243,,,,,13.91
3244,28.84,5.97,55.56,64.84,9.28
3245,,,,65.93,
3246,,,196.98,,
3247,,6.11,,,
3248,39.04,,,,
3249,,,222.41,,
3250,44.24,,,,
3251,,,,,163.46
3252,42.12,,,,
3253,,,189.47,,
3254,,4.48,,,
3255,37.53,,,,
3256,35.23,,,,
3257,35.73,,,,
3258,31.37,,,,
3259,,,,508.22,
3260,,,,,158.18
3261,,,,,44.18
3262,,4.14,,,
3263,37.5,,,,
3264,,4.27,,,
3265,,,,,12.36
3266,,,29.46,,
3267,,,,37.29,
3268,26.34,,,,
3269,,,42.03,,
3270,,,134.64,,
3271,,,,371.66,
3272,,,,,197.92
3273,,5.49,,,
3274,,5.25,,,
3275,,,,428.86,
3276,36.78,,,,
3277,39.08,4.69,176.92,248.32,71.4
3278,,,134.44,,
3279,,4.56,,,
3280,30.17,,,,
3281,,,78.3,,
3282,,4.95,,,
3283,,,,,359.62
3284,,,194.6,,
3285,,4.93,,,
3286,,,107.72,,
3287,,4.74,,,
3288,46.77,,,,
3289,,,,,13.37
3290,,,,52.62,
3291,,,45.05,,
3292,,,54.88,,
3293,,,,,26.07
3294,,,203.22,,
3295,,,,,86.04
3296,,,,212.63,
3297,,,138.1,,
3298,,,,154.01,
3299,21.19,,,,
3300,,,,,12.43
3301,,4.35,,,
3302,23.32,,,,
3303,,3.49,,,
3304,,,19.58,,
3305,,,,31.09,
3306,25.15,,,,
3307,,,,,28.13
3308,,3.54,,,
3309,17.38,,,,
3310,,,,59.54,
3311,,,,,8.86
3312,14.88,,,,
3313,,3.73,,,
3314,,,185.24,,
3315,,,191.52,,
3316,,,205.02,,
3317,,4.02,,,
3318,36.92,,,,
3319,,3.49,,,
3320,32.23,,,,
3321,,,,38.22,
3322,,,26.75,,
3323,,,,,2.46
3324,21.06,,,,
3325,,,,,4.02
3326,,,,,72.91
3327,,,,157.6,
3328,,,,109.54,
3329,,3.51,,,
3330,30.0,,,,
3331,,,,61.83,
3332,,,52.52,,
3333,,3.66,,,
3334,,4.08,,,
3335,,,,55.06,
3336,,,,,1.98
3337,,,170.94,,
3338,,5.66,,,
3339,,,,489.52,
3340,,5.01,,,
3341,,,,85.15,
3342,,,77.46,,
3343,,,,111.03,
3344,,4.7,,,
3345,,,,,51.05
3346,,,171.21,,
3347,,,160.66,,
3348,,,,,76.08
3349,37.12,,,,
3350,,,,,104.67
3351,,4.5,,,
3352,,,,341.16,
3353,,,,253.54,
3354,44.89,,,,
3355,,,124.96,,
3356,,,94.36,,
3357,,4.53,,,
3358,,4.4,,,
3359,30.4,,,,
3360,,4.27,,,
3361,,,,289.18,
3362,,4.53,,,
3363,,4.25,,,
3364,35.4,,,,
3365,,4.53,,,
3366,,,,71.13,
3367,,,,41.75,
3368,28.36,,,,
3369,24.49,,,,
3370,,,82.63,,
3371,,,103.32,,
3372,28.03,,,,
3373,20.01,,,,
3374,,,,98.64,
3375,,3.78,,,
3376,,,,61.05,
3377,14.85,,,,
3378,13.03,,,,
3379,,4.24,,,
3380,,,32.1,,
3381,,3.37,,,
3382,9.2,,,,
3383,,,,,6.85
3384,,3.41,,,
3385,,,,200.55,
3386,,3.3,,,
3387,,,101.3,,
3388,,3.98,,,
3389,,,,,7.79
3390,39.45,,,,
3391,,,,128.4,
3392,,,,,42.43
3393,,,91.89,,
3394,,,,,24.18
3395,22.47,3.93,54.94,68.9,13.96
3396,,,,51.54,
3397,,4.12,,,
3398,,,,38.67,
3399,,,32.01,,
3400,18.13,,,,
3401,19.73,,,,
3402,,,113.83,,
3403,,,123.44,,
3404,,,,90.06,
3405,,,,,5.71
3406,,,,,5.81
3407,,,,,5.56
3408,,,,65.16,
3409,,,,,6.62
3410,,,,153.98,
3411,,,,150.97,
3412,,,,,33.39
3413,,,,,17.25
3414,,,47.92,,
3415,,2.13,,,
3416,,,87.94,,
3417,,,71.64,,
3418,,,,,7.58
3419,,,,,7.5
3420,,,,256.97,
3421,,,141.99,,
3422,,,,,60.11
3423,,,,,37.09
3424,,,,96.84,
3425,,,,,7.59
3426,28.42,,,,
3427,,,65.62,,
3428,18.54,,,,
3429,14.49,,,,
3430,,,,80.29,
3431,,2.06,,,
3432,,,41.85,,
3433,,,,,7.73
3434,16.5,,,,
3435,,,,,7.69
3436,,,,,7.07
3437,,2.01,,,
3438,,2.15,,,
3439,,,47.43,,
3440,,,,,3.69
3441,,,66.11,,
3442,,,,,2.91
3443,,,,77.48,
3444,,,73.75,,
3445,18.41,,,,
3446,13.64,,,,
3447,,2.11,,,
3448,,,,,4.38
3449,,,28.25,,
3450,,,,,3.34
3451,,2.15,,,
3452,,,,20.13,
3453,,,,,11.62
3454,13.99,,,,
3455,,2.21,,,
3456,,,25.53,,
3457,,,23.92,,
3458,,2.2,,,
3459,,,,39.3,
3460,,,,52.52,
3461,,,,,8.64
3462,,,,46.95,
3463,35.29,,,,
3464,,2.83,,,
3465,,,,,2.97
3466,,,,,9.89
3467,,,,365.04,
3468,,4.31,,,
3469,,,,,285.01
3470,,,,497.05,
3471,85.39,,,,
3472,,3.67,,,
3473,,,,,108.08
3474,61.4,,,,
3475,,,,,45.83
3476,,,91.47,,
3477,47.72,,,,
3478,,,,102.81,
3479,42.23,,,,
3480,,,,,88.54
3481,,,,,78.55
3482,,3.32,,,
3483,,,,83.36,
3484,,,,,7.13
3485,,3.4,,,
3486,35.57,3.4,40.67,43.37,2.7
3487,,,,,1.82
3488,,3.65,,,
3489,,4.54,,,
3490,,,,,251.27
3491,,,258.22,,
3492,,,212.69,,
3493,,,,244.78,
3494,70.79,,,,
3495,,,,,49.02
3496,,,98.53,,
3497,,,,75.41,
3498,,,,36.78,
3499,40.58,,,,
3500,,2.89,,,
3501,,,,62.51,
3502,,,,,9.08
3503,,,,,10.81
3504,,,,,10.29
3505,,,22.8,,
3506,,,,23.12,
3507,,,,,4.73
3508,23.48,,,,
3509,19.85,,,,
3510,,,,42.1,
3511,16.96,,,,
3512,,,,,194.43
3513,,,,468.51,
3514,,,,443.96,
3515,,,195.58,,
3516,,,186.94,,
3517,,,169.17,,
3518,73.27,,,,
3519,,,,250.67,
3520,,,,,52.08
3521,,,66.19,,
3522,,2.54,,,
3523,,2.74,,,
3524,17.49,,,,
3525,,,23.18,,
3526,,,,,2.24
3527,,3.06,,,
3528,,,,,1.56
3529,,,,11.14,
3530,,,,15.43,
3531,,,,18.48,
3532,,,,,8.42
3533,,2.9,,,
3534,,,36.59,,
3535,11.97,,,,
3536,,,,,7.77
3537,18.91,,,,
3538,,,28.48,,
3539,16.21,,,,
3540,,,39.67,,
3541,13.05,,,,
3542,,,,177.37,
3543,17.38,,,,
3544,,,199.94,,
3545,41.76,,,,
3546,,,,,172.19
3547,,,,300.77,
3548,,,,,132.23
3549,,,129.98,,
3550,,,,,75.02
3551,41.46,,,,
3552,,,,109.73,
3553,,2.82,,,
3554,,,88.74,,
3555,,,,,111.92
3556,,,126.26,,
3557,50.46,,,,
3558,,,,106.69,
3559,51.56,,,,
3560,,,,,11.96
3561,,,41.18,,
3562,,,,32.5,
3563,38.32,3.65,41.47,43.87,2.4
3564,,,,217.12,
3565,,5.74,,,
3566,,,,641.89,
3567,68.99,,,,
3568,,,,414.96,
3569,,,,390.86,
3570,,4.46,,,
3571,71.27,,,,
3572,,,,262.18,
3573,,,118.32,,
3574,,3.65,,,
3575,,,,154.35,
3576,,,102.24,,
3577,,3.63,,,
3578,,,109.26,,
3579,44.5,,,,
3580,,,,128.29,
3581,,,,,27.09
3582,,,,58.93,
3583,,,,,7.99
3584,52.11,,,,
3585,,,,24.95,
3586,,,31.78,,
3587,,4.04,,,
3588,,4.32,,,
3589,,4.48,,,
3590,,,,379.36,
3591,,4.91,,,
3592,,,,439.68,
3593,,5.33,,,
3594,78.89,,,,
3595,,,,,136.63
3596,,4.2,,,
3597,61.38,,,,
3598,,,,,139.18
3599,,,112.01,,
3600,,,,,52.26
3601,,,,153.78,
3602,,,103.86,,
3603,59.93,,,,
3604,,,98.07,,
3605,,,,,23.68
3606,,3.76,,,
3607,,,,,24.03
3608,,,65.82,,
3609,,,,34.82,
3610,,,,,15.74
3611,,3.62,,,
3612,,,100.29,,
3613,51.02,,,,
3614,,,199.47,,
3615,,,,,133.65
3616,,,173.92,,
3617,,,,286.64,
3618,,4.51,,,
3619,,,,,103.96
3620,,,,,76.51
3621,68.95,,,,
3622,,,92.02,,
3623,,3.88,,,
3624,47.7,,,,
3625,,3.9,,,
3626,,,,413.55,
3627,,4.17,,,
3628,,,92.96,,
3629,59.42,,,,
3630,,3.57,,,
3631,57.12,,,,
3632,,3.59,,,
3633,,,,,3.29
3634,,,,,2.66
3635,,,23.51,,
3636,28.46,,,,
3637,29.02,,,,
3638,,,,54.8,
3639,,3.21,,,
3640,,,,,35.98
3641,,3.54,,,
3642,32.43,,,,
3643,,,47.73,,
3644,,,,47.47,
3645,,,,55.45,
3646,,,42.72,,
3647,,,25.64,,
3648,24.56,,,,
3649,,,,,2.41
3650,,,,22.96,
3651,,,,,2.7
3652,,,52.18,,
3653,,,,,26.82
3654,22.47,,,,
3655,,,,102.06,
3656,,,25.69,,
3657,,3.27,,,
3658,,,,62.81,
3659,,,64.2,,
3660,,,,130.42,
3661,,,,56.49,
3662,,,,,35.35
3663,,,,68.06,
3664,,,,67.32,
3665,,,,45.12,
3666,,,23.67,,
3667,,,,27.38,
3668,,,17.96,,
3669,,,,,3.42
3670,,4.42,,,
3671,,4.57,,,
3672,,,,,200.4
3673,,4.51,,,
3674,,,,338.99,
3675,45.09,,,,
3676,,3.48,,,
3677,,,,188.7,
3678,40.93,,,,
3679,40.76,,,,
3680,,,,120.12,
3681,,,,185.21,
3682,,,127.63,,
3683,,,,218.59,
3684,,,139.71,,
3685,,,,135.01,
3686,,3.04,,,
3687,,,,53.52,
3688,38.8,,,,
3689,,,23.07,,
3690,24.82,,,,
3691,,3.19,,,
3692,,,,214.2,
3693,,,,479.87,
3694,,,,453.53,
3695,49.64,,,,
3696,,,,,256.77
3697,,,211.34,,
3698,60.84,,,,
3699,,3.16,,,
3700,,3.49,,,
3701,68.39,,,,
3702,,,,232.04,
3703,,,110.62,,
3704,,,117.51,,
3705,53.03,,,,
3706,,,,302.74,
3707,56.05,,,,
3708,66.43,,,,
3709,,,,,56.12
3710,,,91.64,,
3711,,,,,21.89
3712,,,79.64,,
3713,58.85,,,,
3714,,2.9,,,
3715,,,67.08,,
3716,,3.71,,,
3717,,4.7,,,
3718,,,281.05,,
3719,92.28,,,,
3720,,,248.9,,
3721,,,,515.27,
3722,,,,,306.54
3723,,,,,291.34
3724,,5.14,,,
3725,,,,431.55,
3726,,3.81,,,
3727,82.06,,,,
3728,,,,193.51,
3729,,,,,140.81
3730,,,,,120.63
3731,,3.58,,,
3732,,,,,94.59
3733,,,,,33.55
3734,77.61,,,,
3735,73.14,,,,
3736,,,,102.78,
3737,70.55,,,,
3738,64.85,,,,
3739,,3.69,,,
3740,,3.7,,,
3741,81.93,3.59,144.03,233.65,89.62
3742,,,,251.32,
3743,,3.9,,,
3744,,,166.63,,
3745,,,,315.49,
3746,,3.2,,,
3747,,,,,78.72
3748,84.21,,,,
3749,,,,,79.87
3750,80.03,,,,
3751,,,93.62,,
3752,,3.54,,,
3753,,,,284.73,
3754,71.89,,,,
3755,,3.09,,,
3756,,,171.36,,
3757,67.74,,,,
3758,,,,,21.69
3759,,,,33.69,
3760,,,33.01,,
3761,,,87.47,,
3762,,,,,113.72
3763,,4.85,,,
3764,,,,204.19,
3765,,4.21,,,
3766,,,,,253.55
3767,,,,,194.4
3768,,5.47,,,
3769,,,,166.94,
3770,,,,258.37,
3771,,,24.81,,
3772,,,,,2.34
3773,,,18.56,,
3774,,,,,4.27
3775,,,,501.73,
3776,,5.33,,,
3777,,6.35,,,
3778,,,,,181.2
3779,,4.1,,,
3780,,4.04,,,
3781,,,,81.43,
3782,82.14,,,,
3783,,,47.32,,
3784,,,,60.2,
3785,,,,107.12,
3786,,,,349.95,
3787,,5.41,,,
3788,,,,449.49,
3789,,5.68,,,
3790,,,247.28,,
3791,,,218.78,,
3792,96.89,,,,
3793,,,,,156.67
3794,94.16,4.89,182.25,379.28,197.03
3795,,,137.16,,
3796,,,120.33,,
3797,,4.22,,,
3798,,,,,55.03
3799,63.77,,,,
3800,48.39,,,,
3801,,4.67,,,
3802,,,,,67.6
3803,,3.16,,,
3804,,,,69.8,
3805,,,,48.5,
3806,,,37.88,,
3807,55.09,,,,
3808,,,,57.19,
3809,47.21,,,,
3810,,,,,24.79
3811,,2.97,,,
3812,,,70.01,,
3813,,2.92,,,
3814,54.29,,,,
3815,,,67.08,,
3816,49.85,,,,
3817,,,,204.73,
3818,,,72.92,,
3819,,3.14,,,
3820,48.08,,,,
3821,,,,70.7,
3822,,,,,2.26
3823,,,,,10.46
3824,,3.04,,,
3825,,2.96,,,
3826,,,,,6.33
3827,,,,,4.73
3828,,2.98,,,
3829,,,,,4.22
3830,,,,,4.06
3831,64.27,,,,
3832,,3.11,,,
3833,,,119.42,,
3834,,,,342.67,
3835,,,,392.51,
3836,97.79,4.84,225.82,467.83,242.01
3837,101.25,,,,
3838,,,174.68,,
3839,,,,341.3,
3840,,,,299.74,
3841,,4.08,,,
3842,,,117.32,,
3843,,,,197.7,
