,S9_PM10,S9_SO2,S9_NO2,S9_NOX,S9_NO
725,,,,,12.96
726,23.42,,,,
727,,,,,6.34
728,,,,49.72,
729,,,45.48,,
730,,,41.21,,
731,,,,96.87,
732,,,90.92,,
733,,,96.02,,
734,,,,145.98,
735,38.84,2.34,88.46,127.38,38.92
736,,2.67,,,
737,,,,,7.69
738,,,100.75,,
739,,3.71,,,
740,27.57,,,,
741,,3.31,,,
742,,,51.57,,
743,,,,73.51,
744,,,42.45,,
745,22.39,,,,
746,,,,,9.11
747,,2.6,,,
748,,,113.83,,
749,,,,,95.27
750,,2.64,,,
751,38.71,,,,
752,,,,109.82,
753,46.6,,,,
754,,,,,17.77
755,,2.33,,,
756,,,,34.17,
757,,2.26,,,
758,,2.33,,,
759,,2.45,,,
760,,,,38.41,
761,,,,,5.84
762,,,,,5.17
763,,,104.73,,
764,,2.53,,,
765,50.3,,,,
766,,,,,7.8
767,,2.35,,,
768,,,,,19.43
769,,,118.03,,
770,,,94.37,,
771,,,86.16,,
772,,,,,21.88
773,,,,43.13,
774,,,46.59,,
775,1.0,,,,
776,4.46,,,,
777,,2.29,,,
778,,,,,4.02
779,16.39,,,,
780,,2.98,,,
781,,,,30.4,
782,,3.06,,,
783,,,36.94,,
784,,,,52.07,
785,15.99,,,,
786,19.91,,,,
787,,,25.67,,
788,,,40.48,,
789,,,,51.8,
790,,,,,5.91
791,19.68,,,,
792,21.54,,,,
793,,,49.06,,
794,,2.79,,,
795,,,65.46,,
796,,,50.28,,
797,,,,50.87,
798,,,69.7,,
799,,3.72,,,
800,,4.06,,,
801,,,,56.5,
802,23.17,,,,
803,,,59.26,,
804,,,,,4.67
805,,,,,12.31
806,,,,,20.0
807,20.78,,,,
808,,,30.32,,
809,,,,51.99,
810,,,,81.0,
811,,,69.52,,
812,20.59,,,,
813,,3.91,,,
814,,,,73.65,
815,,5.36,,,
816,,,64.02,,
817,23.91,,,,
818,,4.85,,,
819,30.76,,,,
820,42.12,,,,
821,42.23,,,,
822,,,,,7.05
823,35.43,,,,
824,,,,41.08,
825,,,40.86,,
826,,,,,8.04
827,,,,69.32,
828,25.42,,,,
829,27.31,,,,
830,,,,64.86,
831,,,55.18,,
832,13.02,,,,
833,,,,,5.14
834,,,41.47,,
835,16.42,,,,
836,,,,,6.86
837,,,28.41,,
838,,,,,6.81
839,20.93,,,,
840,,,,,5.62
841,,,29.29,,
842,,3.05,,,
843,15.67,,,,
844,,,,,16.17
845,,3.69,,,
846,,3.36,,,
847,,,,139.08,
848,,,119.38,,
849,,,88.63,,
850,,3.19,,,
851,,,,78.47,
852,,3.24,,,
853,,,,74.88,
854,,3.89,,,
855,,,65.6,,
856,,,66.03,,
857,,,60.73,,
858,,,,58.53,
859,23.77,,,,
860,,3.44,,,
861,,3.33,,,
862,50.95,4.24,58.08,70.74,12.66
863,,,48.65,,
864,,,,68.73,
865,,,,,10.62
866,,3.87,,,
867,,,55.19,,
868,,,61.97,,
869,37.44,,,,
870,,,,61.86,
871,,,33.88,,
872,,3.66,,,
873,,,23.78,,
874,,,,,3.18
875,,,23.66,,
876,,,,32.25,
877,,,,33.85,
878,,3.68,,,
879,,,44.59,,
880,12.5,,,,
881,,,21.72,,
882,,,25.84,,
883,,3.31,,,
884,,,,,5.49
885,,,47.94,,
886,20.72,,,,
887,14.51,,,,
888,,2.88,,,
889,,,54.14,,
890,,,,,2.06
891,,2.73,,,
892,17.34,,,,
893,,,,27.82,
894,,2.5,,,
895,,,,31.19,
896,,2.62,,,
897,,,,,5.45
898,,,,,11.47
899,,,,34.03,
900,,2.81,,,
901,,,,30.67,
902,,,27.4,,
903,,,,32.28,
904,,,,30.07,
905,,,44.79,,
906,,3.29,,,
907,16.92,,,,
908,,,,87.38,
909,14.98,,,,
910,,,,,6.2
911,,,,,6.81
912,15.52,,,,
913,,,,,3.66
914,16.62,,,,
915,12.84,2.82,30.11,32.55,2.44
916,,,,28.0,
917,,,,,0.82
918,,2.74,,,
919,,,,,3.42
920,5.62,,,,
921,,,32.2,,
922,,,25.37,,
923,,3.36,,,
924,,3.41,,,
925,,,,149.37,
926,,3.59,,,
927,,4.3,,,
928,,,,226.6,
929,,3.28,,,
930,,,,64.55,
931,,,,,8.25
932,,3.14,,,
933,19.88,,,,
934,23.09,,,,
935,,,104.52,,
936,,,,151.74,
937,,,,169.4,
938,,,99.54,,
939,,,,43.04,
940,,,22.2,,
941,,3.31,,,
942,,,,27.29,
943,,,,,5.35
944,24.54,3.35,19.8,24.78,4.98
945,,,,,3.78
946,,,22.28,,
947,,,,64.55,
948,,,28.19,,
949,,,29.24,,
950,,,,,6.06
951,,,,,9.74
952,,,69.35,,
953,,,146.0,,
954,,,,299.06,
955,,,165.0,,
956,,4.3,,,
957,53.92,,,,
958,55.24,,,,
959,,,,87.65,
960,,3.43,,,
961,,,80.14,,
962,30.79,,,,
963,30.08,,,,
964,,,,90.11,
965,,,,141.28,
966,,3.93,,,
967,,2.91,,,
968,,,,33.14,
969,,2.7,,,
970,,,23.78,,
971,,,,,6.45
972,,,,35.67,
973,,,,,5.93
974,,,50.67,,
975,27.52,,,,
976,30.72,,,,
977,,3.18,,,
978,,,,148.08,
979,,,,140.68,
980,,,,141.17,
981,,,56.73,,
982,35.24,,,,
983,,2.63,,,
984,,2.54,,,
985,,2.49,,,
986,,,,,33.83
987,27.14,,,,
988,29.69,,,,
989,,2.89,,,
990,,,53.28,,
991,,,,,9.01
992,,3.06,,,
993,,,22.99,,
994,,,,,4.91
995,,,,,4.68
996,,,,,4.03
997,,,,43.25,
998,31.86,,,,
999,,,,,9.13
1000,,,89.97,,
1001,31.59,,,,
1002,,2.59,,,
1003,,,,59.2,
1004,,,37.04,,
1005,35.92,,,,
1006,,2.64,,,
1007,,,,,2.7
1008,,,,30.01,
1009,,2.36,,,
1010,,,,54.12,
1011,,,45.11,,
1012,,,38.2,,
1013,,,,,8.15
1014,22.79,,,,
1015,,,,32.18,
1016,,2.94,,,
1017,,,26.12,,
1018,21.64,,,,
1019,,,,22.34,
1020,,3.13,,,
1021,18.6,,,,
1022,,,,29.58,
1023,,2.69,,,
1024,,2.73,,,
1025,,,56.24,,
1026,,,,73.48,
1027,9.85,,,,
1028,,,59.89,,
1029,,2.7,,,
1030,,2.68,,,
1031,,2.76,,,
1032,18.53,,,,
1033,,,28.5,,
1034,,,,,2.13
1035,,2.82,,,
1036,19.05,2.97,19.36,23.18,3.82
1037,,2.9,,,
1038,,,,19.39,
1039,,,,19.63,
1040,22.99,,,,
1041,,,,21.86,
1042,,,,,4.04
1043,17.95,,,,
1044,,,,23.98,
1045,,,,,2.52
1046,,,,40.03,
1047,,3.04,,,
1048,,2.8,,,
1049,,,,57.81,
1050,,,,,3.12
1051,15.3,,,,
1052,,,,31.49,
1053,12.91,,,,
1054,,,,20.34,
