,S2_PM10,S2_PM25,S2_SO2,S2_CO,S2_03,OUT
216,71.9,27.96,5.03,2664.87,5.83,3
217,78.4,33.53,4.46,2197.71,5.78,3
218,84.3,31.35,4.89,2067.67,5.8,3
219,84.6,27.51,4.57,1983.44,5.9,3
220,87.9,26.12,4.4,1839.98,5.66,4
221,91.4,31.28,5.58,1780.79,5.64,3
222,87.9,30.4,5.0,1677.55,6.01,3
223,84.3,29.47,3.92,1544.8,5.96,3
224,83.8,28.2,3.9,1300.75,6.33,3
225,85.0,30.6,3.35,1372.89,5.73,3
226,80.1,26.91,3.41,1259.57,6.72,3
227,79.8,28.77,4.12,1543.56,5.86,3
228,85.1,29.92,4.47,1534.88,6.66,4
229,93.6,40.68,5.87,1830.19,6.66,4
230,124.9,56.01,7.11,2397.5,6.3,4
231,165.2,74.88,6.78,2507.46,6.51,4
232,159.4,70.65,5.56,2064.76,9.06,4
233,133.4,56.71,3.79,1669.02,10.76,4
234,104.5,40.63,5.54,1611.99,7.76,4
235,104.2,36.69,5.13,1470.33,8.24,4
236,94.8,31.74,4.55,1320.13,8.42,3
237,73.1,23.19,4.52,1273.53,7.74,3
238,70.9,20.05,4.13,1166.69,8.86,3
239,61.8,17.62,4.08,1117.2,8.68,1
240,11.8,1.11,2.54,1282.78,6.26,1
241,16.7,0.85,3.07,1184.72,7.22,1
242,16.3,3.68,2.79,1118.47,9.06,1
243,16.8,12.54,3.32,1093.28,10.98,2
244,29.0,16.65,2.93,1025.0,13.19,2
245,46.5,16.67,3.17,941.16,14.22,2
246,41.3,11.67,3.11,871.89,15.24,2
247,40.0,8.23,3.02,841.65,14.54,2
248,44.4,5.96,3.0,907.87,11.95,2
249,35.7,4.16,3.41,904.46,11.31,2
250,31.0,2.91,3.13,945.59,9.98,2
251,33.0,2.04,2.97,1115.29,8.48,1
252,16.2,0.82,2.81,1005.41,7.97,1
253,14.7,1.77,2.57,961.95,10.38,1
254,15.7,5.15,2.68,936.34,10.92,2
255,29.3,2.91,3.08,1555.69,6.94,2
256,32.7,2.77,3.54,1430.19,7.56,2
257,26.6,3.41,3.65,1337.07,8.49,2
258,26.5,6.05,3.06,1275.89,9.25,2
259,29.4,11.05,3.28,1241.48,8.59,2
260,31.1,11.6,3.37,1244.37,9.02,2
261,34.7,11.48,3.2,1241.68,8.53,2
262,33.2,9.72,3.44,1319.96,7.71,2
263,31.9,9.48,3.07,1390.18,6.93,2
264,30.5,11.81,2.93,1305.33,6.02,2
265,32.1,12.13,2.87,1290.54,5.66,2
266,36.0,14.12,2.22,1329.84,5.6,2
267,36.2,11.19,3.03,1451.97,5.8,2
268,44.9,16.42,3.18,1499.68,5.84,2
269,48.6,28.35,2.73,1455.45,6.37,2
270,40.6,22.2,2.35,1232.66,7.7,2
271,39.7,20.74,2.37,1091.18,8.8,2
272,39.2,14.75,1.91,981.91,9.42,2
273,32.0,11.92,1.98,897.51,9.98,2
274,28.7,10.95,1.87,860.75,9.15,1
275,24.1,7.66,1.91,903.66,8.46,1
276,19.8,5.61,2.03,1106.71,6.82,1
277,22.5,4.59,2.91,1434.1,6.28,1
278,24.1,4.26,2.81,1460.13,7.5,2
279,29.5,7.72,2.57,1338.57,8.13,2
280,26.8,13.34,3.32,1276.52,9.55,2
281,29.6,18.02,3.29,1201.33,11.35,2
282,29.9,16.28,3.58,1094.41,11.96,2
283,30.4,9.13,3.88,1280.47,8.17,2
284,43.9,9.55,3.24,1307.59,7.41,2
285,46.2,6.82,3.38,1444.09,6.45,3
286,59.5,5.14,3.15,1387.91,7.14,3
287,58.5,3.6,3.05,1357.88,8.09,3
288,52.6,3.14,2.6,1332.48,8.41,2
289,47.9,3.85,2.47,1195.2,7.95,1
290,21.1,3.51,3.07,1365.79,8.9,1
291,19.1,2.46,2.87,1351.78,8.56,1
292,15.1,1.73,3.29,1308.26,9.28,1
293,15.4,1.21,4.0,1309.19,9.21,1
294,11.1,0.59,3.06,1131.72,11.68,1
295,16.6,0.56,2.69,1043.61,12.04,1
296,21.9,0.78,2.62,1053.2,10.94,1
297,20.4,0.55,2.11,1066.73,12.53,1
298,17.8,0.54,2.14,931.53,13.42,1
299,18.7,0.77,2.44,990.79,13.02,1
300,14.9,0.54,2.44,1249.32,8.73,1
301,20.0,0.38,2.97,1495.86,6.68,2
302,26.7,0.53,2.94,1473.29,7.18,3
303,55.6,4.76,3.2,1494.45,8.72,3
304,71.2,8.92,3.37,1405.26,10.33,3
305,51.8,2.89,3.08,1074.52,11.26,2
306,47.1,2.02,3.09,1131.54,10.43,2
