,S1_PM10,S1_PM25,S1_SO2,S1_NO2,S1_NOX,S1_NO
301,8.61,5.31,1.45,26.41,29.32,2.91
302,5.85,4.68,1.12,24.62,31.79,7.17
303,24.22,21.23,1.59,107.58,169.69,62.11
304,27.98,14.5,1.49,76.36,111.96,35.6
305,16.74,6.56,1.51,17.66,24.24,6.58
306,14.01,5.92,1.65,16.57,23.55,6.98
307,23.61,5.02,1.9,14.78,22.03,7.25
308,16.28,2.98,1.27,40.77,48.6,7.83
309,25.58,6.43,1.23,47.0,56.66,9.66
310,20.1,5.78,1.3,43.7,51.24,7.54
311,13.26,4.53,1.26,41.37,48.36,6.99
312,7.94,7.75,1.9,42.09,49.57,7.48
313,14.8,2.57,2.31,70.98,97.3,26.32
314,25.78,8.47,3.09,60.03,82.29,22.26
315,10.25,6.21,3.38,23.68,34.37,10.69
316,24.59,7.84,1.8,70.75,87.12,16.37
317,22.51,6.81,1.99,58.63,67.54,8.91
318,31.96,15.43,2.31,57.76,66.32,8.56
319,31.96,10.12,1.47,47.0,53.29,6.29
320,20.6,13.19,1.58,58.78,73.62,14.84
321,17.31,11.85,1.98,79.49,106.45,26.96
322,28.12,15.2,1.29,13.95,18.39,4.44
323,22.23,10.78,1.83,18.6,24.02,5.42
324,17.29,6.65,1.55,18.65,23.57,4.92
325,20.51,6.11,1.45,19.84,25.2,5.36
326,31.3,9.84,1.52,19.77,25.3,5.53
327,19.54,6.51,1.63,32.25,37.39,5.14
328,22.11,9.86,1.97,45.79,51.32,5.53
329,13.98,8.53,2.01,61.0,67.55,6.55
330,16.99,7.25,2.29,62.62,69.76,7.14
331,26.75,5.79,2.71,62.39,69.73,7.34
332,28.74,5.33,3.32,66.41,83.71,17.3
333,21.53,5.54,2.78,60.77,68.59,7.82
334,30.68,6.08,2.44,58.51,66.17,7.66
335,37.22,18.22,2.31,49.57,55.23,5.66
336,31.34,15.42,3.71,41.36,45.11,3.75
337,25.77,14.61,3.27,28.19,30.86,2.67
338,23.74,9.53,4.09,29.98,32.92,2.94
339,14.19,10.71,3.93,30.92,35.66,4.74
340,18.25,8.22,3.86,29.32,33.91,4.59
341,12.99,5.34,4.78,39.08,44.4,5.32
342,18.47,3.95,4.99,66.15,81.58,15.43
343,26.86,2.57,5.58,82.64,120.3,37.66
344,26.94,4.36,3.26,33.13,42.86,9.73
345,32.94,9.95,3.68,35.4,45.02,9.62
